,origin,destination,euclidean,nb_0.1_paths,nb_0.2_paths,nb_0.3_paths,nb_0.4_paths,nb_0.5_paths,nb_0.6_paths,nb_0.7_paths,nb_0.8_paths,nb_0.9_paths,nb_1.0_paths,nb_paths
426,-953042437#1,23679523,1.393619044622142,7.0,15.0,39.0,86.0,137.0,164.0,235.0,258.0,291.0,189.0,1983
427,25802990#0,190029471#1,2.1036142435139946,25.0,173.0,569.0,1014.0,1175.0,814.0,444.0,229.0,202.0,287.0,6471
428,24490288,-1053273107#1,6.489380024787825,150.0,500.0,1031.0,1256.0,1201.0,1291.0,1440.0,1555.0,1568.0,1470.0,14852
429,62299055,527297031#0,1.1641341984322997,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
430,-120066553#2,33797546#0,4.34711922332588,693.0,3303.0,3477.0,1995.0,930.0,389.0,219.0,136.0,59.0,26.0,11252
431,280020566#12,206898034#0,1.7751710578124336,7.0,22.0,103.0,206.0,280.0,155.0,48.0,16.0,0.0,7.0,1436
432,232256747#0,698849917,0.6298977401404883,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
433,-145038651#3,-27956778#5,1.6408736532073036,3.0,7.0,24.0,44.0,62.0,61.0,52.0,79.0,68.0,92.0,1464
434,118807724,639372170,2.7400101106100525,17.0,31.0,47.0,91.0,131.0,188.0,161.0,118.0,123.0,62.0,1268
435,343973644#9,145123632#3,7.860939301993586,5.0,95.0,508.0,1192.0,1603.0,1794.0,1980.0,2198.0,1946.0,1389.0,14955
436,195029697#0,53536957#0,9.688310130514834,2.0,27.0,231.0,947.0,2013.0,2609.0,2751.0,2105.0,1518.0,1045.0,15001
437,248205915#0,270666500#0,0.999043480523884,19.0,56.0,102.0,161.0,219.0,304.0,248.0,239.0,143.0,92.0,1655
438,44722521#0,190029469,2.140246275851737,80.0,551.0,1528.0,1541.0,999.0,744.0,674.0,455.0,213.0,73.0,6894
439,52674472#1,-95111075#1,2.691725678971264,93.0,478.0,1265.0,1964.0,2333.0,2096.0,1806.0,1361.0,1065.0,755.0,14531
440,29137507#1,31991934#1,1.218715570358843,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
441,679770707#3,45819348#0,2.508970813262823,35.0,43.0,75.0,144.0,222.0,202.0,284.0,447.0,332.0,415.0,4813
442,45336757#0,329347645,1.4350559763249775,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
443,1086753710,-373912913,0.7917168052065503,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
444,982171265#0,-62253903,3.999232417810725,62.0,652.0,1550.0,1822.0,1606.0,1762.0,1593.0,1368.0,1113.0,803.0,14323
445,-900439225#2,-203671033,5.293916535744554,62.0,845.0,2109.0,2475.0,2144.0,1744.0,1454.0,1036.0,762.0,477.0,13592
446,60699007#1,299450989,9.003697469999496,62.0,657.0,2524.0,2474.0,2244.0,1729.0,1264.0,987.0,854.0,654.0,14720
447,-28191403,-302024339#1,7.750494956646041,3.0,61.0,433.0,1149.0,1663.0,1762.0,1789.0,1538.0,1448.0,1325.0,15001
448,189145628#1,692559001#0,1.013459988691284,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
449,442668750,1051205981,22.020741278001765,1.0,7.0,159.0,498.0,836.0,1290.0,1657.0,1731.0,1664.0,1653.0,15001
450,64312782#2,120191836,3.2225716393654995,461.0,1466.0,2420.0,2298.0,2040.0,1344.0,725.0,374.0,149.0,55.0,11361
451,329347631,939311533,3.4196059498831257,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
452,-50306071#4,-55641550#11,1.4853866007897338,66.0,310.0,516.0,511.0,276.0,114.0,20.0,7.0,0.0,0.0,1820
453,32759084,24552235,5.643991817956898,97.0,462.0,1092.0,1480.0,1880.0,1987.0,1929.0,1661.0,1403.0,902.0,14965
454,-265866355,264567458,2.1261744307684274,22.0,92.0,212.0,290.0,348.0,369.0,496.0,576.0,678.0,681.0,12227
455,941476810#0,145123632#0,4.6363266686399305,50.0,428.0,947.0,1177.0,1751.0,2284.0,1604.0,1097.0,770.0,634.0,13582
456,41520879#0,926294253,1.920885277976707,11.0,4.0,4.0,4.0,3.0,7.0,11.0,12.0,23.0,14.0,164
457,39894345#1,329347628,1.7613718796690558,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
458,211285108#0,274555350#0,2.078282204939004,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
459,33269266#0,24751213,1.7629934588335645,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
460,1046549760,145124411#9,4.815749779095354,98.0,403.0,903.0,1238.0,1517.0,1629.0,1390.0,1013.0,994.0,1008.0,14081
461,52026998,266669650,1.4017534532719234,7.0,15.0,22.0,31.0,53.0,126.0,178.0,170.0,127.0,77.0,1413
462,1051205979#0,4824780,1.9183019565112829,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
463,52026998,186336811#1,3.8957390702845793,3.0,19.0,55.0,169.0,317.0,485.0,659.0,778.0,891.0,976.0,11675
464,343973644#19,-45336748#1,2.3323746122913,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
465,-26192708#4,-145124411#16,7.279376320956359,7.0,124.0,504.0,932.0,1261.0,1496.0,1781.0,1772.0,1755.0,1498.0,15001
466,257917686#1,26192703#0,0.7906167181953413,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
467,161573913#1,964591497,1.8988735864717008,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
468,4969364,350878471,19.864750212441542,1.0,7.0,199.0,1238.0,3002.0,3893.0,3163.0,1931.0,975.0,423.0,15001
469,-743682779,-27655302#6,1.106023655554285,1.0,0.0,5.0,1.0,5.0,1.0,2.0,0.0,1.0,0.0,16
470,202447240#0,-623182790#3,12.47470551618643,700.0,2259.0,1676.0,1505.0,1448.0,1422.0,1583.0,1477.0,1187.0,794.0,14950
471,71502637#0,-272566490,1.0805260688140297,12.0,2.0,10.0,51.0,80.0,130.0,128.0,113.0,98.0,74.0,759
472,183442889#0,23820762#0,1.1333651702042296,13.0,77.0,227.0,420.0,674.0,813.0,792.0,662.0,465.0,248.0,4704
473,931673333,211258490,2.908888255633689,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
474,163252814,32707901#7,0.8059827899539823,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
475,144277522,329347629,10.356991950456376,2.0,79.0,519.0,1580.0,2404.0,2553.0,2212.0,1799.0,1566.0,1103.0,14960
476,-64469595,30336958#0,3.630087663143756,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
477,44157798#2,-961696930,0.9234049709523964,9.0,11.0,40.0,24.0,10.0,1.0,0.0,0.0,0.0,0.0,95
478,25802990#0,232256747#0,3.0666675165378816,22.0,68.0,234.0,525.0,688.0,724.0,412.0,147.0,37.0,5.0,2863
479,44722475#0,329347640,2.005089631524968,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
480,25608650#0,206898034#0,10.006869276225574,10.0,142.0,358.0,524.0,676.0,918.0,1347.0,1424.0,1408.0,1235.0,14990
481,299891425,284300668#0,8.435198754119124,102.0,420.0,917.0,1301.0,1471.0,1614.0,1635.0,1541.0,1323.0,1101.0,14629
482,-286564805,85890895,3.3548079134905,112.0,539.0,1081.0,1353.0,1507.0,1532.0,1639.0,1612.0,1492.0,1279.0,14947
483,190916868,49810106#0,0.9676776072874028,26.0,26.0,23.0,10.0,7.0,8.0,1.0,0.0,0.0,0.0,101
484,295269618#0,340151719#1,1.281509986511783,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
485,-255726907,44128866,12.76856514454609,23.0,342.0,1173.0,1867.0,2221.0,2453.0,2240.0,1738.0,1230.0,711.0,15001
486,-64312782#1,336658021#0,1.9335798474616603,3.0,10.0,22.0,35.0,52.0,37.0,31.0,6.0,0.0,0.0,196
487,-186340805#4,36566314#0,1.3258862160066955,16.0,70.0,149.0,264.0,366.0,407.0,482.0,490.0,388.0,311.0,3513
488,55936539-AddedOnRampEdge,25245894,1.58647643133314,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
489,196023014#0,1112991992,1.5171557700248264,4.0,4.0,2.0,2.0,3.0,2.0,3.0,2.0,2.0,2.0,63
490,109077968,185455070,1.2190995348870202,8.0,0.0,4.0,4.0,7.0,0.0,1.0,4.0,0.0,0.0,28
491,244564998,30336752#3,23.004070239616887,86.0,379.0,614.0,1158.0,1458.0,1679.0,1659.0,1412.0,1196.0,963.0,14876
492,50957511,52834984,2.095081549696372,92.0,240.0,645.0,707.0,644.0,400.0,221.0,197.0,191.0,264.0,4758
493,345533157#0,-34181698#1,1.2049461411434093,2.0,10.0,1.0,9.0,8.0,6.0,15.0,10.0,10.0,3.0,83
494,56141410,29026699,1.1924438220275708,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
495,954733444,-33421760#2,15.762750565821383,2.0,24.0,124.0,350.0,680.0,1526.0,2507.0,3024.0,2645.0,1791.0,15001
496,50923032#1,-145124411#11,0.760778199315116,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
497,44934223#2,339607735,3.990435286011068,124.0,420.0,529.0,567.0,1124.0,1038.0,649.0,430.0,481.0,603.0,10931
498,-24959660#4,280015747,0.8973130484941769,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
499,587824505,41432210#1,3.029676922993633,10.0,61.0,182.0,353.0,389.0,272.0,151.0,36.0,19.0,11.0,1495
500,1121378393,50300862#0,4.799151837208262,74.0,473.0,1130.0,1710.0,1834.0,1861.0,1732.0,1385.0,1171.0,953.0,14698
501,400609070#0,281309086,0.886392990554796,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
502,668139707,95052294#0,6.889689333558533,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
503,4594577,4990727,14.443902430406746,4.0,12.0,248.0,889.0,1043.0,918.0,944.0,1199.0,1526.0,1544.0,14187
504,-45336710,191694300,1.2958678845649836,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
505,185455061#0,305541275,8.705008847468052,310.0,1684.0,1728.0,1101.0,848.0,723.0,642.0,624.0,536.0,483.0,10317
506,427605572#2,-31539904,2.114760378311789,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
507,-50300862#2,-33806881#7,11.423961262070009,6.0,64.0,315.0,748.0,1246.0,1460.0,1425.0,1392.0,1207.0,1008.0,15001
508,248034445,31770597,6.134931502265971,483.0,736.0,1129.0,1718.0,1867.0,1816.0,1444.0,1221.0,1020.0,639.0,12927
509,248637522#1,27654595,17.851286235075545,1.0,0.0,28.0,309.0,1355.0,2676.0,3376.0,3013.0,2028.0,1174.0,15001
510,23791955,-44722483#1,4.35927818128056,42.0,267.0,578.0,735.0,975.0,1196.0,1208.0,1249.0,1158.0,1179.0,14988
511,273247596#0,4494326#0,6.167940555502213,5.0,84.0,359.0,816.0,1104.0,1402.0,1524.0,1537.0,1447.0,1377.0,15001
512,51858253#0,85521035#0,1.7751001382096292,7.0,33.0,79.0,143.0,261.0,313.0,452.0,473.0,409.0,384.0,4218
513,44722483#0,277614518,2.3588100319279546,8.0,51.0,228.0,519.0,728.0,639.0,451.0,416.0,425.0,450.0,5273
514,-45336715#1,658279899,2.761832479850722,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
515,-114457609#3,29372526#2,1.5011519777680045,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
516,15969108#1,277614518,2.318306080067371,7.0,30.0,135.0,373.0,620.0,710.0,562.0,416.0,364.0,350.0,5604
517,270973187#0,243051429#0,3.322793252731453,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
