origin,destination,euclidean,nb_0.1_paths,nb_0.2_paths,nb_0.3_paths,nb_0.4_paths,nb_0.5_paths,nb_0.6_paths,nb_0.7_paths,nb_0.8_paths,nb_0.9_paths,nb_1.0_paths,nb_paths,theta
28674038#0,122185766#0,1.854776210568252,57.0,412.0,1570.0,3425.0,5566.0,7519.0,8873.0,9662.0,10097.0,10323.0,10493,0.7967513871307118
28674038#0,28676913#0,1.8530583743753792,6.0,26.0,72.0,205.0,571.0,1225.0,2120.0,3161.0,4318.0,5385.0,9237,0.5689515339892834
183920511,28117579#1,10.784975788836038,8.0,12.0,118.0,302.0,686.0,1257.0,1886.0,2591.0,3457.0,4368.0,10641,0.2790229909304643
232886171#6,28674038#0,1.9146665365960032,57.0,242.0,713.0,1462.0,2302.0,3260.0,4291.0,5338.0,6524.0,7537.0,13306,0.6630546188020973
-442245186#0,-116574763#7,22.62352246473916,1.0,2.0,13.0,124.0,522.0,1329.0,2545.0,3994.0,5544.0,7209.0,15001,0.8355523099421297
26801069#2,-192110348#2,1.5191951220890745,2.0,5.0,11.0,17.0,36.0,72.0,119.0,181.0,274.0,388.0,1778,0.2096955929867249
26592323#0,128648701,4.555006009864678,51.0,354.0,1143.0,2341.0,4001.0,5932.0,7820.0,9577.0,11122.0,12406.0,15000,0.766478013845266
-118569836#4,202591022#1,2.324833181835062,20.0,229.0,611.0,1250.0,2052.0,2923.0,3808.0,4685.0,5510.0,6302.0,10171,0.34433986535167427
-116574763#7,-164752118,21.66281066404402,1.0,1.0,2.0,34.0,217.0,808.0,1961.0,3610.0,5542.0,7555.0,15001,0.9333796512232416
10142191#1,-124046218#1,4.41033959409087,9.0,157.0,632.0,1516.0,2811.0,4331.0,5882.0,7304.0,8643.0,9892.0,14994,0.7491856518690921
463432074#0,122185766#0,1.2379908951995044,4.0,47.0,140.0,363.0,626.0,920.0,1252.0,1591.0,1833.0,2008.0,2243,0.4093665791938797
34491765#0,105351000,16.653371750108434,2.0,15.0,80.0,280.0,788.0,1674.0,3040.0,4606.0,6398.0,8125.0,15001,0.5133858181033638
-603411412,292494318#0,1.5282210076087663,82.0,459.0,841.0,1145.0,1806.0,2522.0,3278.0,4269.0,5174.0,5862.0,7232,0.18702598841033485
-201419943#1,128665321,0.8235912923186443,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,0.2096372867368597
27340399#0,-143571769#4,9.37348343928548,1.0,39.0,444.0,1802.0,4318.0,7411.0,10280.0,12443.0,13692.0,14415.0,15001,0.7571882163215804
22885424#0,128648701,2.201807826946611,7.0,12.0,32.0,70.0,112.0,150.0,247.0,334.0,422.0,496.0,900,0.30821002298774214
-122291185,-26943239#3,1.042683380652015,2.0,4.0,5.0,6.0,8.0,8.0,8.0,8.0,8.0,8.0,8,0.04856555871966033
202294089#1,27317814,8.001049857852346,109.0,702.0,1745.0,3366.0,5633.0,8181.0,10512.0,12395.0,13700.0,14452.0,14998,0.49177690391377493
32819285#0,27634237,23.22160233563587,4.0,24.0,74.0,234.0,549.0,1073.0,1843.0,2972.0,4309.0,5819.0,15001,0.7428191836504667
200858515#0,22885903#1,1.3391501824389378,30.0,115.0,345.0,913.0,1649.0,2488.0,3311.0,4115.0,4715.0,5199.0,5782,0.43728119139198024
100304834#0,24866085#0,1.545560509300984,76.0,646.0,1987.0,3686.0,5138.0,6472.0,7800.0,8958.0,9787.0,10307.0,10906,0.5218418305901961
876031410#0,-164752118,22.153843918939742,1.0,1.0,2.0,52.0,358.0,1275.0,2972.0,5072.0,7139.0,8930.0,15001,0.6907776014801437
24162878#0,202591022#1,2.7964435047442606,123.0,482.0,1007.0,1827.0,2912.0,4106.0,5444.0,6907.0,8382.0,9749.0,14176,0.40478672641732344
-26943239#3,86198184#0,12.92016692161702,1.0,10.0,104.0,468.0,1213.0,2352.0,3743.0,5254.0,6768.0,8262.0,15001,0.9851452101479473
128669220#6,664645393,11.852154118661966,3.0,58.0,324.0,1090.0,2444.0,4156.0,5979.0,7683.0,9159.0,10463.0,15001,0.7964391748945099
184817931#0,202294089#1,8.277189773073212,35.0,130.0,502.0,1312.0,2894.0,5077.0,7483.0,9645.0,11471.0,12784.0,14999,0.47099102011538263
81754940,10142191#1,5.048990822691231,23.0,144.0,343.0,743.0,1440.0,2432.0,3642.0,5067.0,6620.0,8286.0,15000,0.861668873528223
191483812#0,-94827734#6,6.74249147454623,731.0,5112.0,8694.0,11545.0,13001.0,13459.0,13579.0,13603.0,13605.0,13606.0,13606,0.18648545238119812
32819285#0,-164752118,23.59574384554843,1.0,1.0,4.0,74.0,412.0,1407.0,3095.0,5185.0,7229.0,9018.0,15001,0.8993102159095883
23645960#0,128676656#2,3.8779870335850393,11.0,107.0,650.0,1750.0,3239.0,4959.0,6551.0,8047.0,9396.0,10650.0,15001,0.7277863126991277
166716866#0,-27671815,9.153776196503795,1.0,5.0,76.0,393.0,1033.0,2046.0,3325.0,4885.0,6704.0,8590.0,15001,0.6948920473619226
-26943239#3,128669220#6,1.505789661221249,10.0,49.0,207.0,511.0,856.0,1147.0,1400.0,1590.0,1845.0,2273.0,4094,0.08136767920650177
-603411412,-4245346#1,1.2069847031322063,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,0.1533448503269469
227764339#0,-94827734#6,26.796245045590062,1.0,2.0,21.0,134.0,465.0,1221.0,2626.0,4658.0,6943.0,8946.0,15001,0.9974131122998813
22885424#0,128648701,2.201807826946611,7.0,12.0,32.0,73.0,120.0,160.0,256.0,341.0,433.0,514.0,948,0.30821002298774214
184817931#0,217582008#5,12.76454434398505,1.0,2.0,22.0,165.0,590.0,1458.0,2543.0,3811.0,4990.0,6135.0,15001,0.8198583950167959
-164752118,-116574763#7,22.137933635552955,1.0,1.0,2.0,36.0,227.0,799.0,1890.0,3397.0,5066.0,6820.0,15001,0.9333796512232416
26801007#2,22885424#0,3.703236691378215,15.0,175.0,685.0,1787.0,3293.0,5012.0,6847.0,8665.0,10376.0,11824.0,15001,0.7355683372608355
22943369,-122291185,3.5658807442224885,111.0,474.0,1317.0,2565.0,4169.0,5970.0,7681.0,9142.0,10384.0,11374.0,14809,0.1870766874463392
184688750,292494318#0,5.216990590906982,21.0,288.0,1110.0,2592.0,4314.0,5915.0,7389.0,8795.0,10214.0,11482.0,15001,0.8378832425621268
