origin,destination,euclidean,nb_0.1_paths,nb_0.2_paths,nb_0.3_paths,nb_0.4_paths,nb_0.5_paths,nb_0.6_paths,nb_0.7_paths,nb_0.8_paths,nb_0.9_paths,nb_1.0_paths,nb_paths,theta
168553861#0,273260698#0,2.2224104690822544,119.0,332.0,557.0,908.0,1445.0,2161.0,2898.0,3444.0,3774.0,3991.0,4216,0.8477367278171067
277216237,266478003#0,5.565524411373703,5.0,30.0,126.0,319.0,664.0,1123.0,1611.0,2148.0,2693.0,3261.0,5001,0.9560459521772671
286801529#0,30644507#0,2.791459043818434,131.0,607.0,1367.0,2196.0,2940.0,3497.0,3935.0,4233.0,4438.0,4542.0,4710,0.43590724501703143
264566222,266478003#0,2.765234819344386,30.0,152.0,426.0,864.0,1447.0,2090.0,2752.0,3389.0,3890.0,4277.0,4998,0.3670319747401828
164070452#0,285197074#0,2.7249555628669624,170.0,578.0,915.0,1346.0,1879.0,2409.0,2904.0,3378.0,3805.0,4100.0,4616,0.9269315488932433
182821974,27938300#0,2.326423470148977,283.0,1127.0,2410.0,3440.0,4037.0,4226.0,4331.0,4382.0,4405.0,4410.0,4419,0.7632213630531851
44937066#0,273644584#0,2.602883567834529,181.0,768.0,1389.0,2051.0,2738.0,3461.0,3969.0,4358.0,4595.0,4714.0,4815,0.3258974970208605
188280037#0,279396997,3.74408999628916,13.0,84.0,423.0,1120.0,2064.0,2993.0,3778.0,4377.0,4702.0,4870.0,5001,0.6598836232839731
266478003#0,-374801261#1,0.9778371366302502,1.0,15.0,33.0,89.0,187.0,340.0,518.0,688.0,837.0,915.0,1025,0.12092094424923319
41898159#0,24692888#0,9.524609650981697,1.0,11.0,51.0,217.0,554.0,1156.0,1914.0,2736.0,3442.0,4027.0,5001,0.5906378356945896
41773063#0,264526650#0,1.1790738412873936,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,0.2924168350767505
-93470258#6,671578063,3.658140275347129,423.0,570.0,966.0,1846.0,2533.0,2936.0,3201.0,3307.0,3347.0,3367.0,3372,0.07276301648342953
264338797#0,-306799128,3.657495105533161,19.0,131.0,440.0,1015.0,1732.0,2484.0,3215.0,3827.0,4307.0,4613.0,5001,0.5560876356679585
182821974,43061361,0.8127334989454411,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,0.19104021956676132
43061361,273260698#0,2.2475021786104863,48.0,105.0,200.0,344.0,505.0,675.0,905.0,1166.0,1487.0,1790.0,3498,0.6308551387059085
