,origin,destination,euclidean,nb_0.1_paths,nb_0.2_paths,nb_0.3_paths,nb_0.4_paths,nb_0.5_paths,nb_0.6_paths,nb_0.7_paths,nb_0.8_paths,nb_0.9_paths,nb_1.0_paths,nb_paths
275,27808607,43129262,7.775862246955903,132.0,250.0,365.0,322.0,261.0,218.0,240.0,245.0,310.0,342.0,4993
276,24024238#0,185140332#8,1.1742089473039703,4.0,2.0,19.0,10.0,27.0,23.0,38.0,13.0,68.0,28.0,336
277,27420526,346995403#14,0.9049023393768644,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
278,27620902,27285800#6,0.8306376320480386,2.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
279,219307210#0,26828023#1,0.9483222241985432,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
280,24391309,123974277#6,1.066569651713876,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
281,-24391388,123974277#6,1.0503533054654952,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
282,32572650,27359188#1,10.88384246373276,65.0,328.0,709.0,730.0,694.0,693.0,504.0,348.0,224.0,114.0,4543
283,32572650,-27798022#0,12.215283588002173,133.0,389.0,672.0,1002.0,1129.0,731.0,413.0,265.0,140.0,76.0,4995
284,197448006,665218406#2,17.60844105627086,27.0,84.0,171.0,240.0,293.0,348.0,382.0,374.0,421.0,417.0,4974
285,29470677#1,-30965265#0,0.6519122264524667,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
286,94887709#1,99475427,0.9589076376694332,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
287,-26173127#1,123974277#5,16.214304187183075,1.0,12.0,87.0,261.0,486.0,654.0,660.0,604.0,605.0,548.0,5001
288,189536608,135417826#2,0.9673669161528812,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
289,-22897852#3,167578356#0,8.667485331427551,2.0,13.0,55.0,134.0,259.0,370.0,445.0,562.0,583.0,610.0,5001
290,20900287#0,25753385#0,0.8630712369736799,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
291,32558969#0,194823526#0,1.2858854344824535,3.0,8.0,10.0,15.0,23.0,20.0,29.0,30.0,21.0,16.0,185
292,32601842,-123974278,7.476343642436869,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
293,136211687,179536338,3.427624243251063,33.0,94.0,145.0,243.0,337.0,447.0,576.0,577.0,599.0,493.0,4972
294,32601842,27897404,14.878776915865677,138.0,287.0,487.0,522.0,605.0,592.0,500.0,435.0,378.0,328.0,5001
295,82724534#0,132617728#3,23.52937406656612,1.0,4.0,48.0,214.0,371.0,615.0,653.0,669.0,598.0,472.0,5001
296,572824576#0,27798065#2,25.096376391226208,1.0,1.0,25.0,100.0,285.0,461.0,653.0,678.0,666.0,581.0,5001
297,164719711#0,29267890#0,0.7800307829407567,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
298,-24391309,-212517335,1.1248953534531676,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
299,60007103,27249970#0,0.9001321851273337,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
300,164719711#11,25699710#0,3.16522359944357,9.0,18.0,35.0,54.0,83.0,97.0,107.0,93.0,104.0,67.0,802
301,164719711#0,27695459,7.576115969362777,36.0,97.0,169.0,336.0,400.0,474.0,510.0,471.0,490.0,405.0,5001
302,24210584#18,165182317#0,13.85717622392689,1.0,4.0,22.0,106.0,228.0,502.0,702.0,842.0,746.0,657.0,5001
303,-25699679#1,-607644567#2,6.763748426737595,49.0,210.0,365.0,454.0,592.0,669.0,671.0,545.0,441.0,337.0,5001
304,190502846#0,-121906079#2,1.337132682691896,0.0,6.0,51.0,103.0,240.0,297.0,372.0,334.0,273.0,194.0,2171
305,105003389#0,155876897#0,1.2038519950625624,1.0,4.0,8.0,22.0,25.0,26.0,27.0,18.0,11.0,5.0,150
306,572824576#0,836759258#0,6.5780417436813945,21.0,252.0,555.0,808.0,821.0,802.0,682.0,471.0,295.0,144.0,4994
307,184508804,27054625#0,9.459208254105468,90.0,214.0,324.0,226.0,356.0,450.0,603.0,675.0,559.0,456.0,4919
308,197448006,572824576#0,17.14710286031884,39.0,195.0,340.0,415.0,446.0,435.0,463.0,468.0,420.0,421.0,4945
309,27541944#0,-50639429,6.94545902225953,198.0,1043.0,1499.0,1097.0,544.0,273.0,132.0,60.0,40.0,20.0,4914
310,23569661,23206644,18.57836829217736,3.0,28.0,139.0,365.0,574.0,795.0,826.0,687.0,537.0,386.0,5001
311,26585997#0,227764344,9.311415657458044,38.0,144.0,168.0,144.0,174.0,206.0,241.0,283.0,336.0,338.0,5001
