origin,destination,euclidean,nb_paths,nb_0.1_paths,nb_0.2_paths,nb_0.3_paths,nb_0.4_paths,nb_0.5_paths,nb_0.6_paths,nb_0.7_paths,nb_0.8_paths,nb_0.9_paths,nb_1.0_paths
-252472885#0,-1028638193,1.091071669568114,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
145123632#0,94963031,2.223018173873122,6795,468.0,1606.0,3010.0,4410.0,5439.0,6155.0,6515.0,6689.0,6769.0,6789.0
273815522,59995451#0,2.761273364041492,2901,67.0,256.0,461.0,633.0,926.0,1390.0,1810.0,2100.0,2391.0,2604.0
191702416,1030407888#0,8.846756157270107,10001,7.0,79.0,438.0,1305.0,2590.0,4044.0,5499.0,6751.0,7778.0,8523.0
185455061#0,109077968,1.0251251128494336,17,1.0,1.0,4.0,6.0,6.0,10.0,10.0,12.0,16.0,16.0
120226225,-4857361#11,2.137639622395532,6593,39.0,229.0,703.0,1360.0,2042.0,2610.0,3193.0,3816.0,4471.0,5085.0
241070868,26192703#0,0.951229753494223,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
-427605572#3,283787587#0,17.110331752756778,10001,1.0,1.0,19.0,153.0,644.0,1453.0,2700.0,4103.0,5516.0,6771.0
-45774385#2,209670389-AddedOnRampEdge,0.9372037241910012,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
280227937#5,339710130#0,5.122218514218877,9226,465.0,1525.0,2184.0,2632.0,3621.0,4950.0,6258.0,7494.0,8277.0,8780.0
202443142#3,350878471,23.327228530595484,10001,1.0,1.0,18.0,248.0,1041.0,2635.0,4516.0,6222.0,7660.0,8700.0
241070868,1028638193,19.109205662884865,10001,1.0,6.0,51.0,279.0,794.0,1575.0,2404.0,3123.0,3737.0,4198.0
184290231,-42465208#1,3.2320024389750155,9125,52.0,477.0,1498.0,2990.0,4597.0,5911.0,7067.0,7900.0,8478.0,8881.0
378465226#0,-342853447#2,15.08836065442912,10001,1.0,4.0,85.0,448.0,1240.0,2370.0,3800.0,5215.0,6537.0,7606.0
-44308005#0,44722491,1.599533269978074,25,8.0,14.0,21.0,23.0,25.0,25.0,25.0,25.0,25.0,25.0
329347636,27549173,3.7004958299486135,763,4.0,5.0,5.0,8.0,10.0,18.0,20.0,38.0,69.0,123.0
44776737#0,274938263#0,0.7314574993747703,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
16967169#3,-30018725#0,2.102590873207148,9396,23.0,99.0,251.0,530.0,859.0,1305.0,1900.0,2673.0,3523.0,4404.0
25802990#0,-44308005#0,1.4567504351101963,978,3.0,7.0,21.0,59.0,115.0,209.0,324.0,444.0,498.0,531.0
45831503#1,60787937,1.1701430354508848,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
243051430#2,169770004#0,7.196603578838307,9999,43.0,327.0,1126.0,2335.0,3814.0,5163.0,6292.0,7301.0,8062.0,8591.0
353028458#0,-172410734#5,1.795513506683129,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
172431733,-167107651#5,1.4728998091727292,435,13.0,45.0,169.0,308.0,386.0,428.0,435.0,435.0,435.0,435.0
-45255244#15,-109077968,11.75873239704689,10001,27.0,141.0,477.0,1075.0,1838.0,2654.0,3395.0,4061.0,4776.0,5605.0
51730640,96071996#0,1.201883446696822,65,1.0,2.0,5.0,7.0,9.0,13.0,21.0,25.0,30.0,38.0
29165244,30149776,1.5548255436715976,1760,23.0,63.0,153.0,274.0,398.0,580.0,804.0,1034.0,1221.0,1419.0
-145123632#2,30337183#1,11.866508238940987,10001,1.0,32.0,310.0,695.0,1201.0,1806.0,2424.0,3093.0,3843.0,4729.0
329347636,568674277,4.847623101757474,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
668139707,271131034,5.811706999103136,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
271410528,236789965,6.200006192580407,9157,350.0,1665.0,3908.0,5813.0,6958.0,7599.0,8066.0,8386.0,8635.0,8827.0
434350348#0,273814495,2.680054764129099,6271,944.0,3678.0,5631.0,6169.0,6250.0,6264.0,6268.0,6271.0,6271.0,6271.0
30336752#2,537191925#1-AddedOnRampEdge,2.0805478752393123,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
340526122,-257917686#1,1.216210374862815,22,4.0,8.0,14.0,20.0,22.0,22.0,22.0,22.0,22.0,22.0
120066566,189333224#2,1.7689401733890482,12,3.0,7.0,8.0,11.0,12.0,12.0,12.0,12.0,12.0,12.0
4969364,263638824,10.020661419556196,9945,292.0,807.0,1525.0,2585.0,3954.0,5373.0,6732.0,7837.0,8644.0,9185.0
267219951#0,350878471,12.033838196743757,8668,2.0,103.0,501.0,1332.0,2427.0,3534.0,4511.0,5233.0,5829.0,6324.0
-264651287#1,-353002775#3,7.469818342464645,9997,14.0,141.0,496.0,1096.0,1923.0,2804.0,3733.0,4646.0,5590.0,6476.0
-273933015,565718382,2.6433082112245474,1561,68.0,148.0,369.0,566.0,853.0,1074.0,1211.0,1307.0,1352.0,1372.0
353012710#0,-203301254,15.609518901015493,10001,1.0,26.0,204.0,978.0,2538.0,4407.0,6098.0,7495.0,8631.0,9357.0
188742270,58444810#0,1.1085447901725476,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
394317168,30337183#1,26.30313924801252,10001,1.0,1.0,58.0,458.0,1667.0,3553.0,5335.0,6715.0,7777.0,8605.0
299456211,1008827546#1,2.6431155507900668,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
25802990#0,25802994,1.3234876693885027,435,3.0,4.0,7.0,13.0,20.0,38.0,71.0,119.0,180.0,241.0
15969108#1,34761282#4,16.230448185715247,10001,1.0,26.0,176.0,725.0,1959.0,3723.0,5639.0,7101.0,8155.0,8865.0
591311355#0,370411957#0,6.257742250448172,8720,341.0,2089.0,4329.0,5878.0,6847.0,7341.0,7676.0,7915.0,8138.0,8287.0
1125247879#0,520743848,26.882115866562746,10001,1.0,3.0,45.0,189.0,583.0,1282.0,2321.0,3650.0,5124.0,6577.0
301388491#0,23561564,4.535736429321605,4092,74.0,218.0,478.0,844.0,1174.0,1598.0,2081.0,2499.0,2903.0,3322.0
-953042437#2,398235708,1.370105659014336,1253,7.0,28.0,78.0,175.0,301.0,448.0,640.0,816.0,934.0,1020.0
14580803#0,44157788#2,10.42289493046088,10001,14.0,122.0,506.0,1435.0,2982.0,4947.0,6680.0,8038.0,8837.0,9363.0
1012809774#0,-899831802,27.545937653537568,10001,1.0,12.0,192.0,1078.0,2689.0,4722.0,6427.0,7639.0,8487.0,9025.0
394316203,30336998#0,4.169181876621068,2177,287.0,476.0,480.0,825.0,1170.0,1396.0,1544.0,1750.0,1918.0,2021.0
43760392#1,166475251#0,2.849580199206524,8693,119.0,507.0,1087.0,1872.0,2747.0,3823.0,4972.0,6065.0,6940.0,7558.0
4969364,-442465063#2,26.189245443792764,10001,1.0,3.0,53.0,466.0,1548.0,3170.0,4699.0,5963.0,6984.0,7791.0
-55641550#11,195650730#0,2.0703175022211364,5608,0.0,59.0,496.0,1334.0,2176.0,2880.0,3848.0,4602.0,5089.0,5368.0
397978443#5,202405278,10.690139574202298,9991,329.0,895.0,1405.0,2055.0,2972.0,4101.0,5227.0,6209.0,7075.0,7810.0
-565727007#4,-900439225#0,19.05434060702189,10001,2.0,13.0,166.0,884.0,2683.0,5110.0,7269.0,8715.0,9542.0,9852.0
4969364,-428181340,23.116803051529203,9994,47.0,117.0,278.0,594.0,1218.0,2227.0,3496.0,4872.0,6206.0,7424.0
4968774,-722586614#2,1.8650112015795324,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
50923032#0,624242875,20.859559186336952,10001,1.0,6.0,41.0,368.0,1297.0,2716.0,4260.0,5808.0,7162.0,8320.0
134383650#0,273272866#0,0.9830509474381866,57,0.0,0.0,3.0,9.0,11.0,14.0,19.0,32.0,35.0,49.0
14580806#2,30336959#2,3.368240626849866,6597,53.0,231.0,523.0,742.0,941.0,1290.0,1741.0,2323.0,2981.0,3611.0
852174433,26603867#0,22.28878441223837,10001,1.0,3.0,107.0,531.0,1389.0,2767.0,4535.0,6394.0,7762.0,8732.0
-11479251#2,154635209,11.85481553141429,10001,1.0,1.0,3.0,67.0,436.0,1433.0,2952.0,4753.0,6520.0,7942.0
1086753709,32597220#0,16.012558275979934,10001,1.0,3.0,105.0,351.0,857.0,1619.0,2509.0,3361.0,4098.0,4714.0
250328447,1043587206#0,2.5762687107983027,1740,50.0,276.0,685.0,1057.0,1325.0,1584.0,1713.0,1736.0,1740.0,1740.0
181156628#0,44128866,13.05785390685709,9999,7.0,209.0,793.0,1838.0,2904.0,3815.0,4620.0,5483.0,6364.0,7220.0
-211314861#19,172431710#3,18.391629664395506,10001,8.0,43.0,136.0,338.0,648.0,1196.0,2187.0,3631.0,5475.0,7160.0
196204239#0,-186340805#2,2.608778742948233,7497,99.0,395.0,918.0,1470.0,1912.0,2396.0,3261.0,4274.0,4996.0,5520.0
95141872,690046120,5.922098092819419,8593,71.0,626.0,2010.0,3410.0,4709.0,5764.0,6476.0,6935.0,7226.0,7465.0
854843001#0,1076004492#1,10.381102660744864,9999,38.0,109.0,369.0,1377.0,3250.0,4960.0,6346.0,7395.0,8253.0,8950.0
44722521#0,-44124733#0,18.721047435263003,10001,1.0,2.0,71.0,402.0,1027.0,1933.0,3408.0,5081.0,6668.0,7961.0
329347631,-33830645,24.337555776837792,10001,2.0,178.0,509.0,1259.0,2482.0,3688.0,4599.0,5297.0,5962.0,6575.0
4968774,378108605,2.8625164427724745,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
668139707,-25941412#2,4.252647799415995,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
45666776,-201671811#6,10.17589715108759,9138,145.0,565.0,1217.0,2055.0,2770.0,3604.0,4568.0,5563.0,6495.0,7348.0
169327608#0,-263386385#1,1.137098193640738,1423,15.0,29.0,126.0,276.0,450.0,672.0,881.0,1061.0,1223.0,1298.0
