origin,destination,euclidean,nb_paths,nb_0.1_paths,nb_0.2_paths,nb_0.3_paths,nb_0.4_paths,nb_0.5_paths,nb_0.6_paths,nb_0.7_paths,nb_0.8_paths,nb_0.9_paths,nb_1.0_paths
687286791,246809608#0,10.907276961403952,10001,2.0,144.0,880.0,2215.0,3963.0,5600.0,7116.0,8251.0,9051.0,9576.0
25688334,-26272940#1,1.6985254588010308,1463,2.0,3.0,8.0,11.0,22.0,49.0,64.0,154.0,197.0,253.0
244564998,210456867,4.900105274531535,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
802438416,-353003961#1,2.5817918265071405,6786,162.0,625.0,1299.0,2564.0,3852.0,5078.0,6008.0,6438.0,6678.0,6762.0
1079242089,375779408#1,2.9843629449673563,5529,10.0,23.0,80.0,167.0,346.0,537.0,923.0,1633.0,2388.0,2851.0
323217056#0,-35272280,0.91182190333955,28,3.0,16.0,23.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0
275004228#0,271129048,17.404672841384198,10001,1.0,1.0,4.0,49.0,273.0,883.0,1817.0,2854.0,3889.0,4900.0
210640965#1,32059407#0,18.42246146233158,10001,1.0,3.0,71.0,273.0,632.0,1178.0,2051.0,3123.0,4314.0,5576.0
264519575#0,248637522#6,17.293097978964077,10001,1.0,8.0,104.0,692.0,2018.0,3838.0,5690.0,7163.0,8191.0,8855.0
220466414,-217766979#0,15.73741495777224,10001,2.0,18.0,131.0,664.0,1860.0,3516.0,5256.0,6915.0,8200.0,9125.0
826409418#9,93258468#2,1.3795002667700604,3572,182.0,336.0,689.0,1112.0,1559.0,2017.0,2385.0,2685.0,2954.0,3154.0
-154819909,197048283,2.0468048223545607,5752,31.0,89.0,237.0,435.0,770.0,1057.0,1389.0,1731.0,2130.0,2541.0
299456211,26626088,1.7383203150589466,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
60311634,86768887#1,0.7663839474509102,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
24552235,-353017627,3.072742810849294,5037,511.0,1609.0,3070.0,4602.0,4987.0,5035.0,5037.0,5037.0,5037.0,5037.0
45774385#0,329347634,1.937205754902119,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
886485125#0,228691364,13.26716453928228,10001,1.0,16.0,175.0,681.0,1657.0,2975.0,4543.0,5907.0,7219.0,8244.0
-49031361#1,-31539641#4,1.3241613476953156,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
-26192710#1,174286971#1,3.6907884294914286,7471,53.0,298.0,881.0,1663.0,2676.0,3903.0,5101.0,6003.0,6569.0,6973.0
643058400#0,184796708,2.418667762790405,4312,26.0,128.0,284.0,444.0,631.0,947.0,1436.0,2041.0,2580.0,3025.0
4969364,-34761282#4,2.081239144798986,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
191320570,-264501976#1,5.162516587083069,10001,1.0,4.0,39.0,185.0,549.0,1197.0,2050.0,3052.0,4136.0,5266.0
203301275,102430557#0,2.3037365676659336,5846,71.0,315.0,774.0,1593.0,2521.0,3434.0,4167.0,4641.0,5012.0,5242.0
14581116#2,-30336959#0,3.4943208317751595,3418,19.0,136.0,371.0,866.0,1366.0,1846.0,2261.0,2434.0,2554.0,2591.0
145038661#0,940482583#1,11.255773290884228,10001,1.0,17.0,149.0,564.0,1336.0,2208.0,3073.0,3886.0,4714.0,5518.0
244552334#0,189333224#2,18.084766220853467,10001,1.0,2.0,19.0,168.0,708.0,1741.0,3085.0,4531.0,5806.0,6880.0
340526131#0,-95108499#2,1.3915374326035792,323,1.0,7.0,15.0,29.0,67.0,100.0,170.0,215.0,251.0,281.0
-770270882,407291029#0,21.56884938974681,9967,1.0,92.0,523.0,1445.0,2430.0,3285.0,4142.0,4970.0,5792.0,6627.0
264517777#0,-722584443,17.037736764790417,10001,1.0,7.0,184.0,961.0,2590.0,4578.0,6371.0,7710.0,8548.0,9128.0
192227215,1093009826,1.464664530840933,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
378465233#0,-32760790#1,15.754138640555889,10001,1.0,1.0,61.0,359.0,1092.0,2114.0,3328.0,4649.0,5955.0,7062.0
-265317023#2,900439226,9.043859942716312,9958,129.0,599.0,1842.0,3689.0,5256.0,6518.0,7623.0,8523.0,9201.0,9592.0
77767390#3,28248359,2.443776681203359,7036,54.0,298.0,892.0,1943.0,3108.0,4216.0,5035.0,5599.0,5930.0,6162.0
424190057,189333224#2,0.8717485831239363,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
-854916723,184231212,3.713776753161476,8288,16.0,90.0,233.0,442.0,745.0,1333.0,2208.0,3063.0,3798.0,4567.0
912309235,172345941,2.149451070125283,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
-39894343#1,-141516570#0,2.199665873244509,5528,84.0,487.0,1277.0,2161.0,2767.0,3203.0,3511.0,3934.0,4408.0,4835.0
329347624,722586614#1,19.354158505405035,10001,1.0,2.0,142.0,1145.0,3617.0,6389.0,8383.0,9414.0,9846.0,9961.0
59465371#0,32059411,5.782312976132086,8124,368.0,1603.0,2529.0,2973.0,3330.0,3924.0,4558.0,5104.0,5570.0,6008.0
1021103984#0,1043681402#0,3.3596760208949568,6214,18.0,154.0,479.0,1037.0,1631.0,2274.0,3042.0,4028.0,4795.0,5269.0
23126064,142373483,2.15101560949244,339,4.0,8.0,24.0,55.0,97.0,137.0,195.0,240.0,276.0,307.0
-377381239,-34334482,2.6193187753035803,6853,55.0,284.0,741.0,1581.0,3001.0,4025.0,4824.0,5398.0,5744.0,5922.0
266477999#0,940482583#2,10.49651122101748,10001,1.0,3.0,33.0,247.0,966.0,2364.0,4091.0,5885.0,7437.0,8472.0
340526131#0,-565727007#2,3.311934741335765,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
23331990,-342633569,5.977937266327599,10001,28.0,205.0,655.0,1273.0,2042.0,2882.0,3825.0,4776.0,5692.0,6628.0
28878000,-123809106#1,4.33163259341129,9989,49.0,236.0,620.0,1252.0,2060.0,3153.0,4222.0,5453.0,6579.0,7512.0
112426157#0,274918302#0,3.664336439260704,9997,36.0,271.0,1033.0,2459.0,4379.0,6183.0,7701.0,8740.0,9395.0,9737.0
-1022680261,537191925#0-AddedOnRampEdge,4.496285015783095,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
77767390#2,34761131#1,15.938394298381242,10001,4.0,14.0,111.0,498.0,1517.0,3076.0,4814.0,6261.0,7423.0,8336.0
350878472,-167107651#5,21.153052880057693,9999,1.0,17.0,310.0,1315.0,2660.0,3826.0,4623.0,5235.0,5671.0,6073.0
285272385#0,1051205981,10.005790865920526,10001,12.0,137.0,519.0,1042.0,1522.0,1977.0,2550.0,3384.0,4480.0,5587.0
23126599,196204302,1.472492424258975,335,8.0,10.0,15.0,17.0,19.0,21.0,24.0,26.0,31.0,41.0
266466739,45406468#0,15.625368355007382,10001,1.0,59.0,206.0,590.0,1198.0,2139.0,3346.0,4662.0,5927.0,7045.0
37130677#0,196664114#0,10.143295032045655,10001,1.0,14.0,119.0,391.0,955.0,1760.0,2775.0,3926.0,5040.0,6143.0
4969364,34761131#5,3.1223098087320964,450,30.0,52.0,249.0,337.0,435.0,444.0,450.0,450.0,450.0,450.0
86072223,370461999,12.716943747732614,10001,2.0,48.0,330.0,1075.0,2152.0,3353.0,4532.0,5489.0,6323.0,7032.0
-378950413#2,274928868-AddedOnRampEdge,1.6494927199672524,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
396874142#0,141209712,1.7484507755618108,3737,35.0,167.0,532.0,1174.0,1817.0,2508.0,3102.0,3395.0,3597.0,3690.0
94610713#2,277593741,0.946396505909827,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
25802990#0,134017542,2.950404665165474,4828,7.0,30.0,74.0,201.0,448.0,790.0,1122.0,1614.0,2140.0,2556.0
250328448,621999023,6.832092528913481,6812,285.0,989.0,1704.0,2368.0,2821.0,3151.0,3670.0,4498.0,5381.0,6041.0
668139707,350878471,1.1848475208997291,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
-900439225#0,26603867#0-AddedOnRampEdge,1.144156585961749,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
161564548#0,120191829,9.953173158916998,10001,1.0,8.0,59.0,198.0,534.0,1038.0,1692.0,2483.0,3383.0,4237.0
529181612,1101879904,0.968717084370226,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
-34374688,265630459#0,13.588511119141597,10001,1.0,5.0,41.0,313.0,878.0,2017.0,3557.0,5194.0,6662.0,7770.0
-33421760#2,197094385#0,5.89863700507347,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
-264979268#1,27951130#0,1.0587163321800803,52,0.0,1.0,4.0,12.0,24.0,28.0,32.0,38.0,46.0,50.0
23229778#0,-577584841,13.508078728528451,10001,2.0,7.0,51.0,282.0,936.0,2105.0,3544.0,4992.0,6383.0,7638.0
939311539,282680828,1.80438335241322,593,7.0,17.0,46.0,89.0,150.0,224.0,301.0,382.0,456.0,515.0
117421469#0,250328448,14.944590661796228,10001,1.0,58.0,447.0,1298.0,2291.0,3376.0,4395.0,5447.0,6477.0,7440.0
-30654403#3,4836536,19.106741524960352,10001,13.0,42.0,164.0,639.0,1694.0,3415.0,5438.0,7196.0,8448.0,9208.0
4968774,44307993#1,15.932625040452963,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
45336748#0,41433107,1.2680490451223343,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
832595481,1016920590,11.988884205420034,9997,5.0,88.0,459.0,1171.0,2123.0,3173.0,4358.0,5457.0,6429.0,7361.0
406245316-AddedOnRampEdge,118229839#0,1.5712071768223703,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
28815541#0,343020543#0,0.8278881793805669,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
329347636,-39894345#1,2.0558326624111207,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
184343038,273256045,1.2918673321053509,2070,17.0,46.0,104.0,270.0,499.0,789.0,1062.0,1256.0,1403.0,1550.0
4968774,-34761131#4,2.331317100481943,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
-25133812,-236789965,17.799103667924456,10000,1.0,6.0,122.0,471.0,1037.0,1848.0,2767.0,3820.0,4899.0,5987.0
52026998,1051205981,22.32445886575197,10001,1.0,4.0,95.0,407.0,934.0,1830.0,2957.0,4148.0,5358.0,6518.0
520623302,64312806,6.11405351862464,6864,116.0,333.0,604.0,1158.0,1822.0,2399.0,2869.0,3323.0,4004.0,4639.0
-577584841,211147449,1.6724488021459492,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
442668750,1051205981,22.020741278001765,10001,1.0,4.0,100.0,446.0,999.0,1848.0,2960.0,4052.0,5181.0,6328.0
394316203,-167107651#5,2.993404283563297,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
173957702#0,264627776#0,2.350923678159939,238,11.0,30.0,77.0,125.0,157.0,173.0,181.0,183.0,190.0,199.0
-900439225#2,53420585#7,2.0237002868459952,226,7.0,28.0,87.0,143.0,180.0,199.0,215.0,226.0,226.0,226.0
285135596#0,267457722,1.2810854464971335,1240,1.0,1.0,1.0,1.0,15.0,79.0,158.0,332.0,506.0,692.0
-111502227,34761131#4,2.695152380075628,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
138145880,-364266009#4,4.312116849890088,9882,16.0,266.0,903.0,1840.0,3026.0,4578.0,6159.0,7430.0,8364.0,9073.0
-267706576,10752280#0,2.714294789968153,8546,337.0,2148.0,4550.0,6400.0,7560.0,8153.0,8420.0,8515.0,8539.0,8542.0
-236789965,216265131#0,2.3019722681396875,2112,9.0,41.0,184.0,471.0,975.0,1363.0,1808.0,2080.0,2112.0,2112.0
170156972#0,283839713,1.241021763832343,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
44307983,315676789,1.970973161571872,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
403267469,244949437#0,12.62961812851779,10001,1.0,6.0,94.0,538.0,1590.0,3202.0,5154.0,6951.0,8210.0,8987.0
162028015,565324119#1,1.4432329865082048,2791,28.0,87.0,142.0,244.0,400.0,661.0,970.0,1263.0,1595.0,1917.0
-356117987,-203301204#0,1.2805492575341415,38,2.0,2.0,6.0,10.0,19.0,36.0,38.0,38.0,38.0,38.0
162729508#0,1036977388,3.827659687094109,10001,8.0,70.0,323.0,946.0,1868.0,2908.0,4018.0,5129.0,6154.0,7059.0
237165177#0,64312784#0,3.1109721517854645,4699,1.0,1.0,1.0,1.0,1.0,7.0,49.0,132.0,238.0,363.0
-277593745,145593789#0,4.073965952314713,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
-967094042#1,528121830,0.617432159420792,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1086753709,250328447,30.13126091349066,10001,1.0,1.0,21.0,296.0,1397.0,3496.0,5803.0,7474.0,8571.0,9259.0
352285199,137216977#0,0.7180187997582782,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
37455490#1,41952928#1-AddedOnRampEdge,1.9973943345181708,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
140579408#2,-23963538#2,4.679431168309297,5958,163.0,719.0,1594.0,2612.0,3401.0,4076.0,4680.0,5146.0,5505.0,5723.0
-145038651#3,120066579,10.81142847801955,10000,4.0,61.0,299.0,835.0,1596.0,2328.0,2966.0,3543.0,4125.0,4696.0
50309901,172431733,11.432232107923886,10001,1.0,24.0,145.0,493.0,1101.0,1935.0,2925.0,3920.0,4873.0,5619.0
49807743#0,342649440#2-AddedOnRampEdge,20.40564888399728,10001,1.0,5.0,65.0,448.0,1456.0,2865.0,4439.0,5945.0,7279.0,8327.0
28048230#2,350878471,17.132907648213806,9994,1.0,13.0,335.0,1276.0,2310.0,3311.0,4155.0,4891.0,5508.0,5993.0
378950436#2,210943686#0,4.085438598136105,7815,191.0,528.0,1019.0,1749.0,2542.0,3285.0,3800.0,4190.0,4564.0,5057.0
-315455713#1,369244036,1.3521568434995372,1870,3.0,6.0,41.0,114.0,186.0,292.0,487.0,663.0,796.0,954.0
25802990#0,939311538,2.213320650470364,1632,3.0,7.0,13.0,19.0,59.0,128.0,248.0,398.0,550.0,693.0
149158281,-30337183#0,14.948826362330948,10001,1.0,1.0,27.0,159.0,565.0,1188.0,1992.0,2858.0,3789.0,4779.0
668139707,-183693139#2,16.275629288053146,10001,1.0,7.0,162.0,1137.0,3379.0,5903.0,7760.0,8928.0,9560.0,9838.0
85890899#0,273229884#0,0.503956180923771,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
266466739,24871207,1.2097799854149962,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
191702416,1030407888#0,8.846756157270107,10001,9.0,96.0,441.0,1277.0,2529.0,4041.0,5517.0,6782.0,7767.0,8536.0
178805741#0,249760002#0,1.028067165645524,20,2.0,12.0,12.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0
4969364,34761131#5,3.1223098087320964,444,28.0,50.0,237.0,322.0,425.0,437.0,444.0,444.0,444.0,444.0
51863701#0,-248440500,0.7511036716680864,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
196204283#0,-81130465#1,8.097762117797764,9919,1.0,67.0,365.0,967.0,1772.0,2708.0,3601.0,4384.0,5137.0,5743.0
-427036031,442468868,10.659817833282563,10001,6.0,50.0,225.0,597.0,1290.0,2361.0,3849.0,5393.0,6754.0,7843.0
442909173#2,-156888742#9,9.412210364049058,10001,1.0,3.0,23.0,147.0,532.0,1290.0,2432.0,3997.0,5538.0,6887.0
264617025#0,266536710,1.5079444285732244,4933,207.0,1010.0,1756.0,2446.0,3398.0,4018.0,4385.0,4652.0,4788.0,4863.0
283843332#0,211285108#0,2.7902183299489263,7268,51.0,281.0,702.0,1597.0,2988.0,4371.0,5629.0,6525.0,6954.0,7145.0
38341675#0,166257413#0,1.1538564628307066,212,6.0,6.0,12.0,21.0,27.0,33.0,51.0,67.0,76.0,83.0
25245989#0,41433107,1.959121858513389,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
997572387,33806832#0,1.553172718790405,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
-297192626#1,145593789#0,3.0004044250952493,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
584191147#0-AddedOffRampEdge,199401149#1,0.6457357618049452,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
4969364,34761131#5,3.1223098087320964,439,31.0,53.0,237.0,326.0,419.0,433.0,439.0,439.0,439.0,439.0
424190058,52878115#0,6.981246426868686,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
274957213,34761131#0,8.253063809949248,9948,132.0,716.0,2139.0,3984.0,5489.0,6638.0,7699.0,8555.0,9276.0,9659.0
-495946545#3,132382957,5.244588193468465,7691,192.0,916.0,1961.0,3749.0,5142.0,5969.0,6444.0,6761.0,6962.0,7124.0
4604786#0,277519159,1.4059403142428282,4539,32.0,244.0,628.0,908.0,1270.0,1736.0,2199.0,2632.0,3003.0,3344.0
14580803#0,373912913,3.1697927135488126,9118,232.0,1105.0,3356.0,5457.0,6654.0,7143.0,7315.0,7391.0,7510.0,7919.0
78009542#3,-45336711#2,3.461020940863654,8747,99.0,687.0,1972.0,3557.0,5335.0,6696.0,7646.0,8224.0,8506.0,8639.0
78825081#0,264393976,19.83923329963548,10001,1.0,1.0,19.0,171.0,677.0,1520.0,2513.0,3372.0,4106.0,4814.0
24526859,1060553507,11.17279213417908,9978,4.0,53.0,295.0,844.0,1726.0,2686.0,3739.0,4844.0,5950.0,6994.0
156964938,340151707,3.916719067689776,9337,176.0,675.0,1587.0,2968.0,4507.0,5822.0,6798.0,7459.0,8007.0,8571.0
-257917686#1,340526118,1.2984498247449483,2416,74.0,219.0,346.0,414.0,498.0,609.0,691.0,803.0,1146.0,1620.0
-44130918,201671810#5,1.07519071204814,6,4.0,4.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
277565910#0,109077968,7.214419053291709,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
4968774,-722586614#0,4.792259347940305,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
32707901#3,134013032#0,1.7666818077119024,1646,131.0,317.0,660.0,936.0,1187.0,1429.0,1537.0,1612.0,1631.0,1639.0
274926560#1-AddedOffRampEdge,145593789#0,2.877286911117149,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
204902850,25802994,2.622086002695988,4653,11.0,86.0,347.0,892.0,1589.0,2219.0,2818.0,3338.0,3753.0,4087.0
244564998,41518228#0,3.52881801928672,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
32060855,248637521#1,29.24371644808208,10001,1.0,15.0,224.0,1127.0,2679.0,4445.0,6087.0,7376.0,8308.0,8966.0
-30337183#2,-290560387#0,3.1266234680089715,4464,30.0,162.0,286.0,321.0,325.0,329.0,439.0,835.0,1521.0,2234.0
-255064700#1,379059897#0,7.085071623248631,9998,29.0,329.0,1126.0,2152.0,3142.0,4007.0,4886.0,5895.0,6815.0,7667.0
175228115,30654178,1.6693206018890998,288,17.0,44.0,63.0,114.0,166.0,216.0,228.0,239.0,247.0,255.0
-164701844#2,172708667#0,1.7059028046335127,6123,30.0,193.0,612.0,1299.0,2062.0,2841.0,3644.0,4312.0,4823.0,5232.0
189145635,100966857#2,0.7927313453349933,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
25764506#0,-22493435#2,3.418051805834949,9971,109.0,476.0,1015.0,1813.0,2761.0,3774.0,4681.0,5568.0,6468.0,7304.0
140657025#10,24725467#1,1.7624021424674947,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
37455490#0,25765022#0,2.493692032581258,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
-275310911#2,275280125#0,0.7274547546921406,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
918335382#0,-236789965,14.003097174230216,10001,6.0,91.0,362.0,809.0,1529.0,2706.0,4156.0,5774.0,7210.0,8271.0
1035805458,162242389,9.142001469375469,10001,10.0,180.0,743.0,1647.0,2928.0,4356.0,5677.0,6865.0,7850.0,8597.0
-30149776,-195034433#7,1.4490102574237596,1742,10.0,16.0,35.0,77.0,177.0,271.0,459.0,683.0,870.0,1019.0
15495453#0,329347634,1.234136295719256,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
78009542#3,689695310#0-AddedOffRampEdge,0.652703925954041,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
44722581#1,575728051,20.931619116016986,10001,1.0,3.0,71.0,421.0,1267.0,2520.0,3915.0,5303.0,6655.0,7793.0
1086753709,-30336999#0,4.228976774597115,9991,162.0,933.0,2522.0,4383.0,5945.0,7205.0,8281.0,9022.0,9475.0,9724.0
111507186#0,-201671802#0,1.1027367758824176,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
-899831802,-356117987,1.3765771377437948,15,4.0,10.0,13.0,13.0,13.0,13.0,15.0,15.0,15.0,15.0
323217245#4,28248357#0,3.453960944342862,6833,43.0,427.0,1566.0,3238.0,4558.0,5410.0,6007.0,6381.0,6593.0,6721.0
295269618#0,41433107,3.29657611912457,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
-1022680261,1028638193,1.7417842645727204,4,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
-900439225#2,394317168,1.6963336351465588,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
32382158#0,43760383,0.6417182154479013,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
22884320,197146795#0,3.7122746328521217,9676,113.0,540.0,1193.0,2112.0,3272.0,4388.0,5392.0,6281.0,7092.0,7755.0
-397978440#0,219836104#0,3.158288305355076,9158,322.0,1101.0,1951.0,2742.0,3520.0,4285.0,5177.0,6101.0,6970.0,7625.0
668139707,939311537#0,4.042924919913208,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
668139707,191695031#0,2.2037728787491915,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
168042028,196204230#0,6.608952903202269,9989,1.0,42.0,305.0,1155.0,2846.0,4794.0,6592.0,7884.0,8745.0,9275.0
-232256747#1,194296878#2,21.30475295363744,10001,1.0,1.0,11.0,220.0,805.0,1796.0,2819.0,3916.0,5128.0,6375.0
-343973644#18,-565727007#4,3.002470617305876,3180,5.0,61.0,277.0,682.0,1262.0,1985.0,2562.0,2870.0,3008.0,3104.0
4968774,34761131#5,2.935383125320362,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
587824507,166265608#2,1.7718678872209068,4263,14.0,92.0,579.0,1064.0,1345.0,1576.0,1788.0,2064.0,2402.0,2654.0
-370037162#2,52835940#1-AddedOnRampEdge,1.3505522979738696,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
184817376#0,33829998#0,1.5193441743945824,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
-900439225#0,201669212#2,1.1647721464652463,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
323217056#0,277614518,3.027628734237085,7154,28.0,377.0,1183.0,2055.0,2767.0,3392.0,4050.0,4806.0,5553.0,6094.0
-29200757#1,82246496#4,1.8099829565187804,1922,25.0,90.0,158.0,259.0,375.0,502.0,714.0,931.0,1140.0,1357.0
243051429#0,-33806802#1,2.9078107431309297,8216,329.0,1240.0,2200.0,3484.0,5189.0,6606.0,7401.0,7804.0,7985.0,8088.0
329347636,-39894343#1,2.194768668153988,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
-244949437#1,274928868-AddedOnRampEdge,2.532703718107688,5213,78.0,240.0,489.0,849.0,1267.0,1750.0,2352.0,3023.0,3618.0,4005.0
900439226,41952924,5.974305532381357,8962,37.0,451.0,1509.0,2946.0,4352.0,5504.0,6491.0,7422.0,8134.0,8507.0
770270886,154231280,1.4586731376266793,214,2.0,4.0,4.0,4.0,4.0,6.0,6.0,7.0,10.0,28.0
250328448,342649440#2-AddedOffRampEdge,0.7867448509901613,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
264485083#0,264501968#0,0.6065007388930951,2,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
135287706#0,4620824,16.622098041947506,10001,2.0,40.0,303.0,1003.0,2032.0,3311.0,4822.0,6324.0,7563.0,8469.0
-170476403,59995423,2.824414749702957,5610,59.0,332.0,941.0,1669.0,2483.0,3263.0,3824.0,4284.0,4737.0,5022.0
22821253,192130971#2,13.949811814173096,10001,3.0,35.0,146.0,426.0,979.0,1964.0,3419.0,5162.0,6791.0,7989.0
-565727007#4,940482583#2,1.0846786173541498,5,1.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
-81130450#5,22736051#5,6.407056569211083,10001,9.0,67.0,233.0,509.0,933.0,1497.0,2215.0,3026.0,3853.0,4731.0
264913678#0,264520563#0,1.2266145407933255,5602,10.0,57.0,212.0,557.0,1039.0,1641.0,2421.0,3198.0,3915.0,4494.0
-23313547#7,-203280737#4,2.8180103861352515,8652,0.0,5.0,178.0,807.0,1871.0,3177.0,4279.0,5220.0,6025.0,6740.0
1036789795,4620824,31.42729579203284,10001,2.0,37.0,317.0,1139.0,2534.0,4168.0,5747.0,7033.0,8039.0,8774.0
294556832#1,210625215#0,0.969438599108946,15,4.0,6.0,7.0,11.0,13.0,13.0,15.0,15.0,15.0,15.0
44722483#0,33268412#0,0.8939816871129912,5,1.0,1.0,2.0,3.0,5.0,5.0,5.0,5.0,5.0,5.0
350878472,900439225#2,18.942945939068657,10001,1.0,3.0,177.0,1367.0,3920.0,6729.0,8634.0,9509.0,9868.0,9967.0
397978440#0,134151177#0,3.0447058666833766,8494,54.0,179.0,621.0,1048.0,1486.0,1940.0,2361.0,2739.0,3041.0,3234.0
55936539-AddedOnRampEdge,78009829,3.3652789574334525,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
-44157788#1,692770271#0,4.296686369530049,9323,148.0,662.0,1351.0,2094.0,2797.0,3708.0,4524.0,5137.0,5563.0,6017.0
-319800584,370411953#0,16.760880278844297,10001,1.0,3.0,34.0,147.0,453.0,996.0,1814.0,2618.0,3329.0,3960.0
-243051430#1,120213604#15,4.365544909354336,8526,250.0,947.0,1711.0,2528.0,3716.0,4836.0,5705.0,6269.0,6703.0,7038.0
