origin,destination,euclidean,nb_0.1_paths,nb_0.2_paths,nb_0.3_paths,nb_0.4_paths,nb_0.5_paths,nb_0.6_paths,nb_0.7_paths,nb_0.8_paths,nb_0.9_paths,nb_1.0_paths,nb_paths,theta
-201419943#1,126432001#2,2.3011549855987625,6.0,53.0,237.0,563.0,982.0,1544.0,2153.0,2709.0,3217.0,3654.0,4635,0.8742288076404502
22885903#1,-23800711,2.1403982619784667,64.0,253.0,637.0,1188.0,1809.0,2404.0,2953.0,3385.0,3809.0,4140.0,4950,0.9776310828486882
225105091#1,-103271294#1,25.02819473709151,1.0,1.0,4.0,25.0,128.0,405.0,917.0,1677.0,2502.0,3202.0,5001,0.9001879548971762
49089747#0,28676913#0,2.207634461604788,90.0,310.0,845.0,1464.0,2129.0,2900.0,3567.0,4050.0,4425.0,4645.0,4929,0.9935755116409222
24865859#0,278328412#0,3.102791426607544,68.0,329.0,838.0,1410.0,1963.0,2452.0,2910.0,3325.0,3667.0,3904.0,4584,0.8943474790557279
-52031786#4,227764339#0,16.11574573409522,79.0,394.0,1108.0,1908.0,2643.0,3375.0,3937.0,4341.0,4626.0,4809.0,4998,0.4484950399293305
-424551716#3,26801069#2,2.1356659651595886,74.0,385.0,873.0,1498.0,2067.0,2561.0,2987.0,3325.0,3619.0,3830.0,4355,0.2941202313562476
34491765#0,-442245186#0,8.021641587945416,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,0.22451522108199146
202591022#1,292494318#0,3.1352556364912,82.0,538.0,1520.0,2632.0,3489.0,4049.0,4447.0,4684.0,4841.0,4922.0,4992,0.47448124943224784
-27635011,183920511,2.318580838202167,30.0,167.0,410.0,561.0,609.0,616.0,617.0,617.0,617.0,617.0,617,0.041157727533842024
27896854#1,27317814,6.64245551714932,1.0,12.0,84.0,331.0,802.0,1493.0,2169.0,2859.0,3508.0,4000.0,5001,0.3751184291255189
50281042,757342085,9.94097261188429,1.0,2.0,24.0,171.0,574.0,1233.0,2016.0,2826.0,3538.0,4104.0,5001,0.86618732909319
192076282,100304834#0,2.342519953133734,22.0,82.0,287.0,594.0,1042.0,1517.0,1909.0,2277.0,2587.0,2864.0,4242,0.7041218133236078
278328412#0,100304834#0,1.84192603800546,20.0,199.0,531.0,890.0,1210.0,1530.0,1840.0,2110.0,2302.0,2441.0,2670,0.5717985306721642
81754940,26785991#0,5.060390315207655,22.0,244.0,640.0,1122.0,1608.0,2095.0,2525.0,2944.0,3341.0,3702.0,5000,0.9867210858487541
-126146476,24162878#0,4.812101261967963,2.0,15.0,70.0,214.0,450.0,791.0,1206.0,1683.0,2199.0,2725.0,5001,0.9869329169144349
34491765#0,27237324,2.266144197976855,14.0,57.0,151.0,299.0,526.0,835.0,1285.0,1669.0,1979.0,2157.0,2366,0.07092704333305698
-27671815,22943369,4.629522470666685,107.0,507.0,956.0,1434.0,1971.0,2520.0,3042.0,3516.0,3871.0,4177.0,4793,0.2959617086123065
202294089#1,86198184#0,10.100376745308647,4.0,105.0,461.0,1058.0,1754.0,2427.0,3019.0,3560.0,4024.0,4380.0,5001,0.6803162824139467
95644996#1,128648701,1.6477268228826591,4.0,17.0,30.0,40.0,41.0,42.0,42.0,42.0,44.0,53.0,55,0.18166546719946758
34491765#0,625321643,13.215107664855152,10.0,48.0,150.0,342.0,572.0,859.0,1185.0,1597.0,2104.0,2694.0,5001,0.4138078872376493
-28676357#2,23590149#0,1.762112126110697,29.0,137.0,378.0,839.0,1373.0,1899.0,2326.0,2597.0,2766.0,2859.0,2940,0.553432227785125
27317814,184817931#0,12.75094844748712,1.0,2.0,8.0,71.0,205.0,482.0,899.0,1372.0,1907.0,2465.0,5001,0.9627679240291578
24164250#2,26592323#0,1.704732167891415,37.0,353.0,1038.0,1834.0,2503.0,2978.0,3219.0,3327.0,3397.0,3430.0,3472,0.21630230839101527
217582008#5,27317814,4.2771909647298845,45.0,180.0,399.0,728.0,1149.0,1612.0,2116.0,2578.0,3038.0,3461.0,4988,0.21737368095404663
183920511,34491765#0,17.374657738191146,1.0,1.0,3.0,109.0,503.0,1328.0,2311.0,3116.0,3746.0,4154.0,5001,0.5751773513157442
23914013#3,463432074#0,1.7031086323502382,60.0,350.0,1071.0,2030.0,2840.0,3374.0,3660.0,3770.0,3812.0,3826.0,3830,0.5919005293771137
22890785#1,247815600#0,4.069670893826635,5.0,56.0,266.0,735.0,1523.0,2532.0,3400.0,4095.0,4515.0,4763.0,5001,0.7825328073330754
35741203#0,1029004063,11.969777094394336,1.0,4.0,58.0,244.0,640.0,1145.0,1839.0,2537.0,3175.0,3734.0,5001,0.8577311184850575
220274291,-424551716#3,5.253012982287124,9.0,47.0,139.0,326.0,543.0,818.0,1104.0,1424.0,1775.0,2177.0,4999,0.8665158984397272
858876401#0,26801007#2,2.5637657664435665,40.0,234.0,714.0,1406.0,2102.0,2744.0,3298.0,3775.0,4163.0,4438.0,4957,0.33091378561869966
200858512#0,23914013#3,0.8547365008185556,2.0,2.0,3.0,3.0,3.0,7.0,13.0,23.0,28.0,32.0,98,0.2738176282725835
136065305#2,223345795#3,4.654071207953507,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,0.23052751171508304
28117579#1,-27635011,10.442813243241744,80.0,215.0,354.0,642.0,1194.0,1912.0,2656.0,3366.0,3914.0,4283.0,4937,0.32018071846430657
108327352#0,100304834#0,0.9897806206438452,2.0,10.0,16.0,22.0,29.0,36.0,39.0,58.0,71.0,84.0,195,0.24789267630927628
27374273#1,128669220#6,12.388536955919344,1.0,1.0,14.0,98.0,323.0,780.0,1423.0,2189.0,2908.0,3532.0,5001,0.8313045571078311
858876401#0,28677439#0,5.02291145428882,79.0,638.0,1585.0,2613.0,3372.0,3913.0,4295.0,4571.0,4740.0,4839.0,4957,0.8368707202418088
232886171#0,49089747#0,1.0965500841195246,2.0,4.0,10.0,17.0,24.0,36.0,51.0,77.0,106.0,137.0,482,0.301460522719929
34491765#0,876031410#0,18.15274785762787,1.0,2.0,12.0,71.0,280.0,753.0,1488.0,2278.0,3052.0,3646.0,5001,0.5640897216792639
128648701,-192110348#2,3.7627744930321865,16.0,148.0,419.0,875.0,1454.0,1992.0,2605.0,3166.0,3702.0,4125.0,5001,0.681782736266719
22801764#5,136065305#2,7.590720513374121,5.0,55.0,135.0,283.0,517.0,797.0,1159.0,1646.0,2175.0,2744.0,5001,0.48308407921592506
184817931#0,122599933#2,9.713599476403347,2.0,19.0,90.0,407.0,1088.0,2051.0,3011.0,3752.0,4294.0,4591.0,5001,0.6193169730823804
35306338#1,192076282,2.0360585389050385,11.0,84.0,390.0,810.0,1205.0,1611.0,2020.0,2363.0,2676.0,2917.0,3280,0.662265412369273
199249790,100304834#0,0.9262749117956112,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,0.22218256939575334
278328412#0,23895836#0,2.393566711808124,5.0,278.0,792.0,1384.0,2041.0,2657.0,3249.0,3725.0,4099.0,4360.0,4777,0.9524227508464709
