origin,destination,euclidean,nb_0.1_paths,nb_0.2_paths,nb_0.3_paths,nb_0.4_paths,nb_0.5_paths,nb_0.6_paths,nb_0.7_paths,nb_0.8_paths,nb_0.9_paths,nb_1.0_paths,nb_paths,theta
277313731#0,28683825#0,4.2425811367571375,57.0,440.0,1433.0,3363.0,5989.0,8595.0,10756.0,12333.0,13481.0,14155.0,15000,0.766918824527819
270668145#0,30644507#0,4.897998839703475,12.0,271.0,1168.0,2884.0,5396.0,8118.0,10599.0,12410.0,13603.0,14299.0,15001,0.9986991068848681
266478003#0,-183706085#2,5.183975855370263,44.0,218.0,636.0,1340.0,2379.0,3817.0,5579.0,7605.0,9525.0,11320.0,15001,0.921017069496998
23729246#0,168734385#0,1.4841028868756394,44.0,464.0,1606.0,2794.0,3728.0,4525.0,4929.0,5134.0,5248.0,5288.0,5299,0.4589054201430595
848208117#0,23963458#0,6.3426930872328855,3.0,20.0,112.0,512.0,1714.0,3581.0,5959.0,8472.0,10605.0,12281.0,14993,0.34250706097997485
182821974,168773906#0,2.359306628717518,336.0,1487.0,3524.0,5734.0,7517.0,9047.0,10429.0,11360.0,11884.0,12086.0,12225,0.7192711951708544
252418522#0,273644584#0,4.8769770071552525,72.0,515.0,1537.0,3164.0,5343.0,7663.0,9837.0,11632.0,12978.0,13822.0,15001,0.8401601663242817
286603676#0,-5110309#2,1.273499647127584,2.0,3.0,4.0,7.0,7.0,12.0,12.0,12.0,12.0,12.0,12,0.3291906951195246
4858693#0,24492702#0,0.8706098283364088,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,0.24316985742252642
264338797#0,273909489#0,4.332200689891359,18.0,187.0,856.0,2270.0,4160.0,6401.0,8655.0,10748.0,12438.0,13573.0,15001,0.7302966917586061
-24599250#1,23275822#0,5.30818137156554,8.0,63.0,231.0,649.0,1456.0,2659.0,4298.0,6225.0,8153.0,9913.0,15000,0.26634022234028293
28683825#0,44937066#0,4.034349370956863,20.0,185.0,679.0,1675.0,3002.0,4500.0,6125.0,7678.0,9140.0,10442.0,15001,0.60635584300397
-140425776,266384990,13.058063671107885,1.0,1.0,4.0,45.0,360.0,1304.0,3032.0,5220.0,7417.0,9317.0,15001,0.8801814103035484
-43079541#5,-218777681#1,20.970107932414848,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,0.9960015328463345
188280037#0,7980203#0,4.229682023250796,81.0,392.0,1114.0,2132.0,3449.0,5007.0,6529.0,7983.0,9306.0,10622.0,15000,0.657727201196358
378108605,-201671810#0,1.7575344064138394,36.0,154.0,242.0,462.0,903.0,1220.0,1563.0,1880.0,1988.0,2016.0,2041,0.051596256923553165
-5110309#2,183217909#0,2.508704237903737,54.0,389.0,976.0,1744.0,2947.0,4751.0,7006.0,9181.0,10705.0,11685.0,13148,0.9736482028703668
25941521#3,-891352731,14.168506194038471,1.0,15.0,227.0,1005.0,2383.0,3924.0,5342.0,6470.0,7359.0,8090.0,15001,0.43630549252679873
