origin,destination,euclidean,nb_0.1_paths,nb_0.2_paths,nb_0.3_paths,nb_0.4_paths,nb_0.5_paths,nb_0.6_paths,nb_0.7_paths,nb_0.8_paths,nb_0.9_paths,nb_1.0_paths,nb_paths
29470677#1,-132617719#0,0.9917179544799848,10.0,12.0,12.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16
197448006,28273082#0,17.019036740733384,69.0,459.0,1125.0,2048.0,3029.0,4068.0,5102.0,6227.0,7398.0,8710.0,14818
25731258#0,131476997#2,1.641359019799988,9.0,27.0,82.0,174.0,338.0,578.0,883.0,1217.0,1578.0,1895.0,3796
25699672#1,24163119#0,14.856577866776986,1.0,2.0,29.0,143.0,587.0,1608.0,3175.0,5174.0,7204.0,9108.0,15001
225863025#1,234043046#2,0.7036797799805345,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
28005642#3,48775175,2.0157490635260795,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
-126855990#4,24391309,10.005515151422602,67.0,339.0,623.0,922.0,1278.0,1635.0,2096.0,2722.0,3460.0,4363.0,15000
27421791#3,27457860#2,1.7424600375203738,44.0,495.0,1807.0,3625.0,5601.0,7551.0,9393.0,10915.0,12172.0,13014.0,14612
27856808,-476643770#0,9.061813739557516,64.0,522.0,1489.0,2995.0,4676.0,6275.0,7631.0,8717.0,9589.0,10281.0,14998
22884871#3,172865615#0,14.1263773570501,1.0,4.0,79.0,371.0,1131.0,2455.0,3961.0,5617.0,7187.0,8550.0,15001
197448006,124622228,10.697639401106573,9.0,151.0,584.0,1286.0,2239.0,3378.0,4745.0,6218.0,7680.0,9058.0,15001
128321241#0,-156805505,14.282208251336863,1.0,3.0,44.0,268.0,934.0,2128.0,3925.0,6087.0,8113.0,9922.0,15001
-190028512#1,-25699711,4.695861413190672,58.0,257.0,598.0,1073.0,1768.0,2671.0,3824.0,5106.0,6465.0,7724.0,14987
572824576#0,188066222#0,5.002263531848815,24.0,40.0,53.0,57.0,58.0,102.0,387.0,903.0,1452.0,2023.0,10269
26945729#0,26945080#2,1.7914697580292982,10.0,57.0,368.0,1342.0,2984.0,4551.0,5932.0,7059.0,7970.0,8590.0,9368
27620559#1,-50639092,7.744056251782443,285.0,1497.0,4111.0,7417.0,10287.0,12329.0,13602.0,14379.0,14730.0,14877.0,14987
22943544#3,-207516288,1.0434882364531035,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
184767410,-184817977#1,11.514162652859508,171.0,757.0,1728.0,3536.0,5864.0,8218.0,10203.0,11977.0,13163.0,13900.0,14821
27897990#2,35302147#0-AddedOffRampEdge,8.88127635498494,2.0,16.0,105.0,302.0,649.0,1143.0,1806.0,2669.0,3663.0,4828.0,15001
45011093#0,681572145#0,5.384925012954176,183.0,492.0,1012.0,1653.0,2271.0,2842.0,3509.0,4338.0,5289.0,6370.0,14189
-25699679#1,220168189#0,14.440983273039974,1.0,2.0,40.0,209.0,802.0,1995.0,3815.0,6001.0,7996.0,9774.0,15001
-207376912,-196928948,0.9307180035160968,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
-143920935#1,-1122924583#3,18.10209717546845,22.0,118.0,284.0,428.0,647.0,1022.0,1740.0,2903.0,4504.0,6420.0,15001
24210659#1,29267682#1,17.271604501763484,217.0,827.0,1482.0,2248.0,2982.0,3856.0,4839.0,5893.0,6994.0,8046.0,14980
27799413#0,48927524#13,2.500947166138343,33.0,162.0,463.0,1017.0,1783.0,2823.0,4065.0,5440.0,6845.0,8089.0,11348
28769085#0,24468734#0,17.44109342722647,1.0,28.0,122.0,377.0,982.0,2063.0,3481.0,5121.0,6745.0,8351.0,15001
25740216,23646502,7.118467609827835,6.0,32.0,173.0,537.0,1279.0,2598.0,4406.0,6444.0,8491.0,10247.0,15001
32572650,-123974277#6,7.208937783590787,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
136211722#1,24210659#1,19.452841554762795,1.0,2.0,118.0,765.0,2141.0,4265.0,6808.0,9543.0,11793.0,13286.0,15001
32572650,27898283#0,12.56229748373151,374.0,1882.0,4189.0,6219.0,7690.0,8883.0,9885.0,10816.0,11656.0,12276.0,14884
197448006,62163843#6,17.175893352636447,1.0,7.0,88.0,415.0,1173.0,2356.0,3861.0,5530.0,7287.0,8903.0,15001
-25699679#1,124243292#15,6.795771837944292,69.0,444.0,1234.0,2368.0,3743.0,5372.0,7060.0,8681.0,10239.0,11541.0,14966
-29267812#3,659556219,3.1216419039946324,10.0,61.0,147.0,274.0,505.0,778.0,1031.0,1232.0,1384.0,1475.0,1590
123974277#6,122763953#0,1.0246830874721202,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
123974277#10,227764344,0.923100967354434,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
122365284#0,58930439,1.164049872783632,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
572824576#0,-22897852#3,15.772720356569984,433.0,1170.0,1996.0,2975.0,3991.0,5224.0,6492.0,7784.0,9072.0,10282.0,14922
-212517335,24391309,1.0736481491820902,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
23780706#0,185140298,1.5772993774266464,34.0,206.0,508.0,1065.0,1787.0,2537.0,3139.0,3654.0,4128.0,4632.0,5615
211042715,-103271274,16.229412854568785,1.0,37.0,324.0,1224.0,2645.0,4367.0,6205.0,8023.0,9733.0,11334.0,15001
26947166#0,23785553,10.505658049771272,1.0,1.0,8.0,87.0,330.0,921.0,1917.0,3315.0,4946.0,6609.0,15001
-560990326#0,25699682,2.2080697916382714,237.0,349.0,490.0,701.0,1038.0,1156.0,1211.0,1253.0,1294.0,1302.0,1312
28006310#0,227764344,8.436277710819637,70.0,379.0,1057.0,1952.0,3007.0,4058.0,5228.0,6399.0,7521.0,8629.0,14605
143323476#4,-795435758,1.3437057678404023,0.0,0.0,0.0,0.0,2.0,8.0,9.0,9.0,9.0,9.0,9
164719711#0,-179445663,1.0615060240789536,1.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4
197448006,1016521102,7.287461692388045,145.0,534.0,1044.0,1785.0,2560.0,3528.0,4549.0,5785.0,7118.0,8373.0,14981
24210584#18,-27027040#2,14.192300948351058,1.0,10.0,75.0,353.0,1153.0,2591.0,4661.0,6982.0,9044.0,10790.0,15001
27797966#3,24210659#1,24.740483988384003,1.0,4.0,54.0,342.0,1107.0,2376.0,4019.0,5754.0,7502.0,9164.0,15001
25699710#0,-121392517#2,6.911123818823119,7.0,104.0,465.0,1197.0,2350.0,3859.0,5459.0,7036.0,8620.0,10081.0,15001
27164217#3,77618528#0,2.7848998772147824,133.0,461.0,974.0,1817.0,3037.0,4612.0,6359.0,8128.0,9745.0,11065.0,14524
-103271284,-24391388,1.0870858619233372,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
27620704,-194823527#3,1.299457133217845,1.0,1.0,2.0,2.0,3.0,5.0,7.0,13.0,19.0,30.0,230
128321262#0,35306337,13.88836821269171,1.0,3.0,18.0,126.0,498.0,1386.0,2806.0,4590.0,6677.0,8518.0,15001
