origin,destination,euclidean,nb_0.1_paths,nb_0.2_paths,nb_0.3_paths,nb_0.4_paths,nb_0.5_paths,nb_0.6_paths,nb_0.7_paths,nb_0.8_paths,nb_0.9_paths,nb_1.0_paths,nb_paths
-555811601#0,27023046,1.3313958508051411,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,701
377727142,24855076#0,7.438719548020645,74.0,481.0,1147.0,1931.0,2946.0,4208.0,5700.0,7297.0,8867.0,10461.0,14929
27122625#0,25026462#4,1.2023299172938122,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
-465272566#1,1076317290,2.0330456413711864,3.0,6.0,8.0,12.0,17.0,18.0,21.0,26.0,35.0,46.0,736
-168436709,348439788#0,4.149555565755347,524.0,1123.0,2338.0,3556.0,4176.0,4766.0,5291.0,5586.0,5781.0,5809.0,5824
1124431851,172621652#0,12.012638727854547,3.0,56.0,308.0,1093.0,2506.0,4456.0,6347.0,8151.0,9828.0,11280.0,15001
202760038,202500152#4,2.08136531048882,192.0,751.0,1715.0,3286.0,4935.0,6510.0,7856.0,8794.0,9442.0,9817.0,10187
25164934#2,309769500#1,1.7336544696672669,2.0,13.0,31.0,67.0,86.0,129.0,186.0,276.0,385.0,473.0,799
24880750#0,181202156#2,1.609585659578053,9.0,33.0,80.0,128.0,187.0,253.0,265.0,288.0,289.0,289.0,289
-280804041#1,45283746#0,1.765375916056196,18.0,63.0,117.0,199.0,275.0,387.0,567.0,715.0,828.0,928.0,1072
204521193,1072300621,4.813286360734829,155.0,877.0,1563.0,2670.0,4179.0,5772.0,7406.0,8817.0,10180.0,11203.0,14320
42567976#0,91873559#2,1.7991177944420749,446.0,2020.0,4076.0,5745.0,6891.0,7531.0,7826.0,7929.0,7951.0,7953.0,7953
443057090#1,8223621#0,1.754222493966143,4.0,4.0,4.0,4.0,8.0,10.0,10.0,10.0,11.0,12.0,12
27588409#2,-168436709,10.14430467191601,6.0,202.0,1223.0,3349.0,5982.0,8579.0,10853.0,12517.0,13622.0,14270.0,15001
26682439,-29072306#1,12.339257939724265,2.0,100.0,957.0,3367.0,6828.0,9957.0,12186.0,13544.0,14254.0,14664.0,15001
29189452#0,628068416#0,2.0407419198212446,3.0,3.0,17.0,52.0,83.0,131.0,215.0,349.0,544.0,690.0,2646
29189452#0-AddedOffRampEdge,26965245#0,1.989694507170975,2.0,15.0,27.0,73.0,105.0,146.0,203.0,275.0,422.0,627.0,1483
-42680549#1,708427346#0,1.3238014469094943,33.0,194.0,598.0,1349.0,2277.0,3130.0,3753.0,4276.0,4668.0,5093.0,6141
-871732560#1,311130443#0,1.4904333343574827,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31
-24854662#4,-503818424#7,6.95326457704892,12.0,352.0,1782.0,4345.0,7441.0,10181.0,12142.0,13422.0,14222.0,14598.0,15001
309769500#1,-288510375,1.67774162827428,6.0,8.0,53.0,165.0,276.0,459.0,775.0,1088.0,1344.0,1573.0,2498
309769500#0,-30250793#2,1.6836179492126129,4.0,4.0,23.0,83.0,129.0,194.0,320.0,556.0,832.0,1092.0,2714
1123283890,-705793430#2,1.3159518662091672,34.0,111.0,318.0,642.0,835.0,856.0,856.0,856.0,856.0,856.0,856
91875262,-25315120#1,3.4079168900179764,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
202760035,25315120#0,14.64144352592709,1.0,37.0,425.0,1685.0,3795.0,6045.0,8068.0,9807.0,11284.0,12477.0,15001
28170096#0,-652731613#1,2.530401131305668,21.0,113.0,225.0,285.0,310.0,310.0,310.0,310.0,310.0,310.0,310
29189452#0,8055446#1,3.6705622843468126,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
30095664-AddedOnRampEdge,280803422#2,4.632778300079208,37.0,116.0,313.0,682.0,1344.0,2423.0,4041.0,5361.0,6252.0,7065.0,10083
29189452#0-AddedOffRampEdge,-8054837#5,7.182842974066628,162.0,426.0,969.0,1976.0,3787.0,6109.0,8593.0,10638.0,12143.0,13278.0,14941
-44779247#0,224928151#3,1.6088959117283137,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
-1004938762,642888645#0,1.305594952653829,32.0,108.0,304.0,710.0,1355.0,2137.0,2768.0,3113.0,3280.0,3379.0,3407
-29072312#1,24549480#0,6.168385730045224,468.0,1767.0,3388.0,5557.0,7723.0,9548.0,10963.0,12051.0,12914.0,13542.0,14984
348439788#0,-383420514,1.8015008002488395,0.0,2.0,8.0,8.0,16.0,18.0,20.0,20.0,20.0,20.0,20
-42246096,8055217#3,3.464497530552312,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
-264223268,22930159,2.201178555499931,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
-42246096,473568313,5.604357837342598,104.0,1053.0,4329.0,7966.0,10295.0,11464.0,11957.0,12175.0,12271.0,12298.0,12309
25334554,-42677846#4,5.313348497414537,242.0,1321.0,3004.0,5138.0,7511.0,9837.0,11795.0,13186.0,14127.0,14601.0,14983
814268315#1,27623929#2,4.373740495073011,137.0,527.0,1363.0,2637.0,4697.0,6816.0,9012.0,10871.0,12093.0,12888.0,13708
555811599#0,680853750#0,1.328698243238038,4.0,14.0,31.0,55.0,80.0,106.0,127.0,155.0,188.0,219.0,247
29189452#0,599226364,2.3334641249336507,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
843932181#0,-154797088#9,1.951273640271946,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
25314977,24854722#3,5.654131863500033,29.0,115.0,268.0,786.0,1612.0,2606.0,3810.0,5237.0,6477.0,7556.0,11988
27019303,749785890,1.2047336803829003,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
29189452#0-AddedOffRampEdge,30095629,4.604663780106665,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
-25314493#2,204521194#2,1.3754137104361228,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
