origin,destination,euclidean,nb_0.1_paths,nb_0.2_paths,nb_0.3_paths,nb_0.4_paths,nb_0.5_paths,nb_0.6_paths,nb_0.7_paths,nb_0.8_paths,nb_0.9_paths,nb_1.0_paths,nb_paths,theta
44937066#0,-183706085#2,1.719098248773285,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,0.20375277487646232
23275822#0,270442487#0,11.848212828210348,1.0,1.0,19.0,176.0,675.0,1750.0,3195.0,4677.0,5971.0,7006.0,10001,0.9984551532175358
43061361,182821974,0.7939202086223138,2.0,3.0,6.0,10.0,12.0,16.0,21.0,26.0,29.0,32.0,35,0.19104021956676132
24359728,263676503#0,2.340469381049496,86.0,363.0,1220.0,2445.0,4013.0,5365.0,6402.0,7151.0,7644.0,7914.0,8048,0.14214876153183145
-201671810#0,338297366#0,24.16962170489975,1.0,3.0,44.0,410.0,1282.0,2527.0,4029.0,5402.0,6615.0,7634.0,10001,0.9425903945061334
264566222,270668145#0,3.192582202217119,13.0,75.0,249.0,682.0,1461.0,2663.0,4120.0,5619.0,6992.0,8077.0,10000,0.5015054753261332
-397316553#1,219674612#0,2.710115862309326,3.0,11.0,14.0,18.0,19.0,20.0,24.0,24.0,24.0,24.0,24,0.15630766639196028
286583306#0,400738632#0,1.2389181671847191,37.0,103.0,242.0,457.0,644.0,803.0,948.0,1102.0,1254.0,1416.0,1660,0.2910214626202926
274794949,247982359#1,1.985244534574676,6.0,10.0,39.0,58.0,110.0,206.0,375.0,647.0,967.0,1217.0,2889,0.5802811061653658
671578063,575296778#2,16.05798329037358,1.0,15.0,76.0,320.0,807.0,1618.0,2739.0,4120.0,5758.0,7255.0,10001,0.46047585568836435
279394415#0,-374801261#1,4.14102855327977,33.0,221.0,664.0,1367.0,2325.0,3344.0,4364.0,5281.0,6128.0,6867.0,10000,0.6196213821686205
-397316553#1,-265317023#2,9.909518565638548,2.0,67.0,372.0,1070.0,2079.0,3227.0,4463.0,5713.0,6800.0,7811.0,10001,0.5848264485572209
24233256#0,-271462291#2,4.150310249061058,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,0.2215293594291461
48957531#0,-891352731,11.255622142180252,2.0,56.0,331.0,880.0,1848.0,3175.0,4693.0,6119.0,7330.0,8279.0,10001,0.28287976562569805
27938300#0,-160615594#1,2.0086863337461733,24.0,222.0,808.0,1712.0,2685.0,3499.0,4324.0,4977.0,5551.0,5885.0,6529,0.6126925587144565
44937066#0,-23820762#2,5.568093315277066,13.0,73.0,280.0,722.0,1377.0,2179.0,3044.0,3959.0,4865.0,5817.0,10001,0.9228796759552672
274977514#0,264526650#0,0.7861615159527032,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,0.19046838059646187
353018598,-273827183,25.0501745944388,1.0,1.0,2.0,56.0,335.0,1107.0,2377.0,3880.0,5408.0,6685.0,10001,0.8193590932882211
24389793#0,-265317023#2,2.377314963760367,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,0.08947858359850296
231090808#0,-926309945,13.551825527037808,1.0,4.0,53.0,386.0,1094.0,2146.0,3274.0,4429.0,5668.0,6802.0,10001,0.9994038439742872
168773907#0,272651839#0,2.076346667703487,5.0,44.0,124.0,298.0,540.0,887.0,1432.0,2210.0,3092.0,3989.0,5868,0.5945876390398324
23249319#0,264566222,3.378296791992284,6.0,38.0,186.0,505.0,1175.0,2224.0,3565.0,4985.0,6255.0,7361.0,10001,0.5621115531998144
41773063#0,997690719,2.2003637323108896,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,0.9513006903471136
272661730#0,24492702#0,1.852793046891524,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,0.766897908621921
277216237,188280037#0,1.7274041044754425,110.0,357.0,808.0,1455.0,2208.0,3125.0,4070.0,4950.0,5749.0,6485.0,9195,0.21417756076413597
4017878#0,252418522#0,5.500380609292028,20.0,148.0,444.0,918.0,1602.0,2532.0,3483.0,4537.0,5611.0,6676.0,10001,0.946537877358448
-117421469#1,273909489#0,3.164688024223803,40.0,379.0,1174.0,2224.0,3410.0,4682.0,5798.0,6785.0,7688.0,8349.0,10000,0.4306036846316347
231090808#0,265517063#0,9.453874972572653,1.0,39.0,357.0,1356.0,2980.0,4676.0,6170.0,7382.0,8306.0,8922.0,10001,0.5616735258544011
267716685#0,273644584#0,4.0043250910370265,61.0,541.0,1727.0,3446.0,5417.0,7065.0,8200.0,8911.0,9358.0,9619.0,10001,0.7805023365210458
23729246#0,274794949,2.3121336892217075,353.0,1079.0,2397.0,3974.0,5427.0,6578.0,7336.0,7737.0,7964.0,8078.0,8173,0.8324401324423966
270668145#0,267716685#0,1.979361478059096,211.0,859.0,1622.0,2768.0,3973.0,4919.0,5950.0,6717.0,7313.0,7765.0,8565,0.2861518155404039
