,origin,destination,euclidean,nb_0.1_paths,nb_0.2_paths,nb_0.3_paths,nb_0.4_paths,nb_0.5_paths,nb_0.6_paths,nb_0.7_paths,nb_0.8_paths,nb_0.9_paths,nb_1.0_paths,nb_paths
0,1076317292#1,-965616564,11.0502437701167,7.0,64.0,285.0,640.0,981.0,1325.0,1484.0,1464.0,1250.0,950.0,10001
1,1097962018#0,25315120#0,3.803331192617405,206.0,847.0,1175.0,1107.0,1053.0,863.0,619.0,372.0,163.0,55.0,6484
2,25314977,172421027#2,3.5514861514177296,0.0,0.0,0.0,3.0,61.0,176.0,408.0,614.0,686.0,642.0,3277
3,-28170096#1,-37616074,14.781816088035775,1.0,13.0,172.0,764.0,1540.0,1698.0,1460.0,1212.0,929.0,786.0,10001
4,-633873260#1,27623939#0,2.2674355778264315,181.0,652.0,1021.0,1631.0,1832.0,1394.0,1090.0,646.0,409.0,265.0,9394
5,30095664,27623929#2,4.371129622244716,0.0,0.0,0.0,39.0,197.0,414.0,967.0,1446.0,1347.0,1116.0,6600
6,732252230#1,425366256,1.471019248354097,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
7,-172638590,680673395#0,4.023354327864677,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
8,612989583,615563686#5,2.3589879902304003,29.0,122.0,222.0,246.0,224.0,197.0,188.0,180.0,122.0,82.0,1735
9,26682439,348439788#0,4.384419651643399,20.0,79.0,75.0,258.0,1015.0,722.0,486.0,658.0,396.0,127.0,3875
10,-28235866#4,27366814#0,2.605149339692299,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
11,205385764#0,-28836163#0,1.4319819311398767,4.0,12.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24
12,1086865541,-465272566#1,1.2879190516775232,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
13,23005123#0,599226364,1.606454394473941,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
14,-29072306#1,27366814#0,1.7317097843599425,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
15,843932181#0,-411451801#5,13.066927652511865,2.0,122.0,596.0,1380.0,1554.0,1364.0,1230.0,927.0,760.0,556.0,10001
16,199728992#0,27587401#1,3.367483742190096,105.0,539.0,892.0,1114.0,1229.0,1073.0,920.0,758.0,605.0,436.0,8280
17,154797088#7,-43405558#5,1.233533526896869,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
18,1055602778,-256482763,2.9123930673876943,0.0,16.0,184.0,408.0,853.0,1172.0,559.0,173.0,62.0,7.0,3435
19,-576465698#1,154954727#5,9.689259854368288,56.0,291.0,530.0,835.0,976.0,1189.0,1240.0,1247.0,1112.0,860.0,10001
20,29189452#1,578839257,3.6817323523110295,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
21,-555811607#10,443244481#6,9.664492998252909,2.0,34.0,182.0,416.0,658.0,829.0,1001.0,1095.0,1080.0,974.0,10001
22,1081066600#5,319752146#3,1.6774291843956897,14.0,24.0,15.0,27.0,58.0,62.0,60.0,69.0,98.0,90.0,1663
23,-654158421,27623929#2,3.1321005464887346,16.0,37.0,29.0,170.0,440.0,758.0,815.0,725.0,517.0,308.0,4210
24,29189452#0-AddedOffRampEdge,11657519#0,2.377215554844518,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
25,309769500#0,-685376181,1.6836179492126129,4.0,0.0,31.0,66.0,59.0,103.0,204.0,280.0,266.0,243.0,2420
26,1124431851,319752146#3,1.7539004326689331,4.0,15.0,78.0,62.0,146.0,248.0,279.0,195.0,173.0,129.0,1888
27,204521195#0,28836171#0,13.585588743666822,3.0,21.0,210.0,634.0,1178.0,1401.0,1353.0,1219.0,1068.0,906.0,10001
28,-27588409#2,24713789#0,5.25572767513966,42.0,139.0,282.0,415.0,623.0,693.0,752.0,760.0,800.0,879.0,9998
29,138564213#0,24577060#3,1.2120527813824593,7.0,12.0,2.0,0.0,2.0,2.0,3.0,0.0,0.0,0.0,28
30,70936918,25334554,4.062056069225896,282.0,841.0,1177.0,1355.0,1460.0,1238.0,940.0,658.0,413.0,241.0,8839
31,29189453,-30270857#2,1.8471578208322816,4.0,0.0,17.0,54.0,36.0,53.0,107.0,136.0,123.0,67.0,1311
32,-154797088#5,843932181#0,2.142421419835356,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
33,29189453,25164982#0,2.2094019053796456,7.0,5.0,9.0,26.0,25.0,33.0,33.0,105.0,140.0,127.0,2604
34,30453877,761463237#0,1.534400371630777,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
35,-871732560#1,311130443#0,1.4904333343574827,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31
36,-1004938762,42784304#0,1.381011708044587,18.0,28.0,144.0,173.0,67.0,4.0,0.0,0.0,0.0,0.0,434
37,352150498#0,599226364,1.7567615281530595,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
38,190735673#0,576712227#0,1.5324041300410869,5.0,5.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,13
39,29189372#0,25164982#0,2.1314738364893056,9.0,12.0,9.0,15.0,21.0,37.0,39.0,71.0,102.0,107.0,2338
40,50414586#3,8055217#3,2.2263551046731465,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
41,25314977,24854755#0,5.660505603615802,52.0,90.0,150.0,423.0,628.0,720.0,839.0,933.0,843.0,699.0,8160
42,29189452#0,27588385#0,2.297018493784874,4.0,7.0,29.0,24.0,63.0,54.0,120.0,113.0,102.0,182.0,2373
43,4414036#0,-843932181#1,8.829594164644478,44.0,243.0,444.0,505.0,791.0,1122.0,1334.0,1557.0,1420.0,1081.0,9998
44,1081066600#7,319752146#3,1.7489927405540278,8.0,28.0,141.0,115.0,226.0,374.0,429.0,247.0,209.0,152.0,2520
45,204521195#0,-27022471#1,2.307143583675703,0.0,2.0,23.0,77.0,68.0,15.0,77.0,117.0,77.0,0.0,456
46,-557340725#5,-954656283#1,1.4769054354350473,10.0,41.0,81.0,116.0,127.0,128.0,131.0,146.0,75.0,42.0,999
47,555811601#1,8065899,1.28946027795724,4.0,8.0,11.0,20.0,21.0,25.0,30.0,34.0,31.0,22.0,270
48,1086865541,-516772080#1,7.969132633926785,10.0,82.0,307.0,582.0,824.0,981.0,902.0,792.0,740.0,598.0,10001
49,652731618#3,22930137,2.8264177155266714,33.0,123.0,226.0,244.0,305.0,440.0,538.0,421.0,425.0,356.0,4038
50,25315120#0,8055217#3,1.4447761832446906,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
51,30095664-AddedOnRampEdge,133750975,1.8127573412219025,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
52,-81467006#3,-224653324#1,1.820727016616696,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
53,1081066600#2,256482766#1,1.2048327219731938,17.0,44.0,53.0,62.0,52.0,81.0,84.0,42.0,31.0,23.0,499
54,26682439,-264223268,5.509757445271878,387.0,893.0,1313.0,1931.0,1735.0,1287.0,964.0,606.0,379.0,161.0,9828
55,181202156#2,-614268490#3,2.8024640546162973,117.0,668.0,916.0,871.0,743.0,737.0,752.0,762.0,726.0,615.0,7972
56,-649136602,172550483#1,10.90876100919044,2.0,55.0,446.0,1013.0,1532.0,1709.0,1547.0,1162.0,870.0,588.0,10001
57,-25460982#3,42679013#0,1.976589085319576,586.0,1436.0,1372.0,796.0,313.0,121.0,39.0,6.0,3.0,0.0,4672
58,26682439,642888620#0,10.015092305568356,27.0,485.0,1703.0,2345.0,1916.0,1322.0,843.0,545.0,312.0,226.0,10001
59,-168436709,348439788#0,4.149555565755347,455.0,482.0,913.0,917.0,431.0,430.0,346.0,195.0,130.0,10.0,4319
60,377727142,25164982#0,1.6752017502908658,9.0,4.0,20.0,28.0,30.0,34.0,118.0,122.0,140.0,202.0,1666
61,459819542#0,-42861887#0,6.071313707039049,224.0,436.0,550.0,755.0,996.0,1066.0,1060.0,1156.0,1107.0,884.0,9943
62,615563686#3,50414586#3,4.0602782226322365,382.0,416.0,896.0,1028.0,1254.0,1017.0,913.0,761.0,634.0,460.0,8518
63,582373789#0,27647145#0,2.422014680309412,185.0,772.0,1252.0,1347.0,1169.0,818.0,534.0,365.0,250.0,148.0,6926
64,1081066600#2,-28836435#2,13.026270559970396,1.0,15.0,118.0,349.0,676.0,1000.0,1272.0,1276.0,1245.0,1040.0,10001
65,590848307#0,-168436709,4.28879008535399,30.0,153.0,300.0,420.0,808.0,911.0,1133.0,796.0,449.0,201.0,5385
66,-23332383#1,24577087#3,1.2302064981816467,4.0,5.0,9.0,6.0,3.0,2.0,4.0,7.0,11.0,8.0,65
67,26682439,348439788#0,4.384419651643399,20.0,81.0,81.0,273.0,1047.0,716.0,514.0,640.0,374.0,123.0,3925
68,-62804504,431300063#6,1.7521759429645951,13.0,24.0,72.0,103.0,117.0,147.0,90.0,88.0,79.0,44.0,827
69,26682439,27204452#0,2.073017950585846,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6
70,599226364,23005123#0,1.770358675622668,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
71,224109225,295993551,1.990048701212667,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
72,205385764#0,-161661288,1.3213954423410743,3.0,7.0,4.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,20
73,-154797088#4,42246104#1,6.045144852440157,144.0,479.0,932.0,1262.0,915.0,1136.0,1123.0,826.0,722.0,606.0,9404
74,-8055051#10,-42246096,4.604527469717441,191.0,440.0,1617.0,1556.0,1642.0,1018.0,560.0,224.0,84.0,27.0,7365
75,734002870#0,380272839#0,5.872243585867278,209.0,433.0,436.0,703.0,1234.0,1543.0,1368.0,1116.0,818.0,521.0,9295
76,235605364#0,22930145,1.637662151354638,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
77,28235866#0,-25334431,3.4154727588523954,270.0,708.0,1047.0,1143.0,1058.0,895.0,678.0,416.0,284.0,165.0,6887
78,202760030#0,205385764#0,1.2115880806063255,34.0,18.0,17.0,60.0,3.0,21.0,7.0,0.0,0.0,0.0,160
79,1080195304,-29072312#1,4.136789207632557,348.0,1169.0,1512.0,1391.0,1089.0,840.0,583.0,351.0,234.0,118.0,7721
80,411451801#0,671809170#0,2.2647051919515486,31.0,50.0,47.0,42.0,29.0,13.0,18.0,26.0,33.0,32.0,1543
81,-557340725#2,8055217#3,5.096720948302497,289.0,1055.0,1565.0,1545.0,1368.0,1066.0,708.0,390.0,166.0,65.0,8255
82,25334370#0,23005138,3.198381013826969,104.0,681.0,1381.0,1650.0,1488.0,990.0,678.0,566.0,324.0,195.0,8272
83,23005128#0,319752148#0-AddedOnRampEdge,2.4783563332793404,38.0,131.0,313.0,530.0,552.0,566.0,590.0,539.0,506.0,437.0,5431
84,42679013#0,-162228161,2.185316986568512,344.0,1263.0,1361.0,1589.0,1233.0,493.0,148.0,21.0,3.0,0.0,6455
85,29189452#0-AddedOffRampEdge,411451801#3,3.601415527769731,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
86,503405666,180715206,8.120583899959856,43.0,346.0,624.0,867.0,913.0,1181.0,1370.0,1489.0,1389.0,905.0,9997
87,29072305,-27023123#4,3.631231201762904,159.0,898.0,1643.0,1783.0,1374.0,723.0,272.0,104.0,63.0,31.0,7066
88,288510375,25316149#0,2.3706033131802853,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
89,30095664,27623929#2,4.371129622244716,0.0,0.0,0.0,41.0,189.0,416.0,933.0,1364.0,1410.0,1041.0,6557
90,319752146#3,309769499,1.777478321895567,5.0,2.0,1.0,0.0,3.0,3.0,1.0,0.0,14.0,32.0,1731
91,-162228161,42679977#1,1.2602623482988071,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
92,1124431851,-30250793#1,1.6513775635976429,4.0,15.0,77.0,82.0,203.0,284.0,362.0,256.0,190.0,135.0,2088
93,-42680390#2,557340736#1,2.0587962738085395,16.0,38.0,62.0,206.0,352.0,438.0,567.0,707.0,680.0,747.0,6778
94,42679013#0,39021612#0,1.4748664767037705,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
95,91818465#0,29072306#0,4.039772008919386,170.0,706.0,1263.0,1631.0,1566.0,1368.0,950.0,559.0,232.0,87.0,8565
96,642888633,-27606526#4,1.5369487978048817,21.0,35.0,55.0,71.0,85.0,70.0,113.0,181.0,246.0,261.0,1872
97,1075956223,23005144#1,2.3879052615436707,5.0,12.0,22.0,3.0,9.0,17.0,78.0,153.0,189.0,227.0,3310
98,-25026466,161667690#0,1.86460974962708,3.0,9.0,8.0,1.0,8.0,14.0,37.0,13.0,0.0,13.0,117
99,24579133#5,-28838374#1,1.9117612594949325,7.0,14.0,79.0,107.0,196.0,190.0,188.0,299.0,206.0,300.0,2294
100,154797088#7,27123048#0,5.833615236553893,421.0,1803.0,2832.0,2039.0,1069.0,582.0,243.0,81.0,23.0,6.0,9100
101,319752146#3,1081066600#5,1.4797368862503302,6.0,10.0,9.0,16.0,9.0,16.0,19.0,40.0,45.0,46.0,540
102,24854693#2,24843193#0,4.251019680788128,132.0,141.0,705.0,871.0,1052.0,954.0,837.0,814.0,635.0,492.0,7616
103,-168436709,348439788#0,4.149555565755347,471.0,448.0,879.0,927.0,441.0,420.0,320.0,170.0,128.0,23.0,4240
104,-28838375,159918179#0,2.684370101433325,34.0,165.0,439.0,753.0,1201.0,1301.0,1266.0,1082.0,824.0,523.0,8283
105,158183864#7,-652731596#0,2.348995007402312,34.0,683.0,1509.0,1317.0,807.0,420.0,202.0,134.0,45.0,10.0,5162
106,29189452#1,235605364#0,14.196783149449145,2.0,63.0,352.0,754.0,979.0,1088.0,1140.0,1098.0,1048.0,936.0,10001
107,348439788#0,172547965,1.854449003457575,0.0,0.0,2.0,0.0,6.0,2.0,4.0,2.0,0.0,0.0,16
108,42783080#0,674283388#1,3.04655569583789,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
109,25314977,28235863#3,4.217696216454455,107.0,526.0,1176.0,1345.0,1135.0,1019.0,622.0,358.0,221.0,110.0,6695
110,645713219#4,81368470,4.170204272353722,14.0,115.0,422.0,767.0,1032.0,1210.0,1201.0,1184.0,974.0,771.0,9991
111,27366824#0,-42246096,4.576606506944317,203.0,419.0,1650.0,1605.0,1571.0,1001.0,509.0,209.0,67.0,32.0,7277
112,42679013#0,48272625#0,1.6959843127278709,23.0,135.0,407.0,638.0,807.0,598.0,312.0,202.0,101.0,35.0,3261
113,29189043#3,42665089,1.7022629987333362,2.0,34.0,74.0,127.0,87.0,64.0,100.0,133.0,158.0,256.0,1859
114,765685613#0,29072305,4.239322064734713,440.0,1098.0,1792.0,1883.0,1278.0,871.0,550.0,365.0,206.0,108.0,8692
115,202760030#0,205385764#0,1.2115880806063255,35.0,19.0,17.0,57.0,2.0,20.0,8.0,0.0,0.0,0.0,158
116,4414036#0,26897447#3,5.791827645966027,84.0,172.0,452.0,656.0,800.0,781.0,789.0,824.0,729.0,650.0,9489
117,42650929#0,-689686643#3,1.226801453250677,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
118,42651253#0,92413093,1.3445774218463291,18.0,49.0,112.0,148.0,196.0,167.0,127.0,99.0,43.0,14.0,978
119,-91873559#3,635918592#0,12.499721316769064,1.0,13.0,77.0,364.0,639.0,916.0,994.0,1142.0,1167.0,1056.0,10001
120,-168436709,348439788#0,4.149555565755347,448.0,453.0,956.0,853.0,454.0,430.0,355.0,215.0,121.0,21.0,4318
121,-190735673#3,-25314493#2,1.4108306338911252,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
122,179311986,-638029791,9.118278938850803,19.0,153.0,453.0,674.0,650.0,713.0,859.0,1087.0,1321.0,1310.0,9999
123,25314977,582373791#0,2.7109537915753497,4.0,9.0,28.0,53.0,106.0,158.0,123.0,117.0,95.0,44.0,788
124,-28558430,152994578,3.137457570948502,39.0,173.0,221.0,304.0,471.0,765.0,714.0,510.0,540.0,421.0,4853
125,249628858,43405558#3,1.2847893943501196,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
126,204521194#2,-469731874#1,2.996430353641312,0.0,18.0,122.0,129.0,479.0,918.0,631.0,140.0,1.0,0.0,2438
127,-162228161,-101362555,13.93947214244139,1.0,34.0,194.0,612.0,1057.0,1234.0,1412.0,1418.0,1117.0,891.0,10001
128,-202760020#8,28836435#1,1.342457744544236,4.0,7.0,13.0,31.0,36.0,43.0,67.0,77.0,66.0,60.0,479
129,-43138036#2,425366256,4.588726445110337,14.0,4.0,27.0,26.0,84.0,269.0,237.0,331.0,481.0,396.0,3096
130,172621653#0,172550483#4,1.5619804894140787,12.0,9.0,34.0,28.0,64.0,68.0,76.0,136.0,89.0,114.0,861
131,91873559#0,24855226#8,7.153132513310801,25.0,158.0,330.0,509.0,744.0,1022.0,1192.0,1226.0,1178.0,1036.0,10000
132,25316220,411451801#3,1.3151223852309544,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
133,29072305,180715168,13.457533506059203,1.0,64.0,369.0,860.0,1145.0,1415.0,1543.0,1375.0,1106.0,869.0,10001
134,29072305,27623929#2-AddedOnRampEdge,4.188745426033332,0.0,96.0,271.0,239.0,845.0,1170.0,786.0,386.0,99.0,20.0,3912
135,25314977,23005117#0,3.2814829748953813,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
136,734002870#0,28235863#0,2.54773469536364,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
137,-29072306#1,179311986,8.54490335125997,23.0,277.0,1002.0,1751.0,2124.0,1752.0,1256.0,751.0,473.0,264.0,10001
138,29189452#0-AddedOffRampEdge,4414036#0,6.4667204925474255,154.0,467.0,859.0,1111.0,1236.0,1288.0,1148.0,977.0,763.0,614.0,9701
139,23005121,729801542#0,2.018650041462072,3.0,2.0,4.0,4.0,3.0,8.0,13.0,7.0,4.0,4.0,74
140,30453877,133750975-AddedOffRampEdge,2.282655909298305,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
141,-168436709,383420514,3.989980701367567,505.0,585.0,591.0,775.0,1050.0,1148.0,870.0,584.0,225.0,120.0,6564
142,590848307#0,-168436709,4.28879008535399,32.0,153.0,276.0,451.0,783.0,951.0,1123.0,801.0,428.0,187.0,5336
143,612989586,24854298#0,1.7814461379191875,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
144,29189453,25196030#0,2.32445879222898,7.0,5.0,10.0,24.0,23.0,37.0,43.0,121.0,140.0,153.0,3126
145,-465272566#1,-555811601#1,2.595030914161148,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
146,-1072087776#2,22930156#0,1.786631830254075,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
147,-28905430#5,-964072170,1.3293596177972085,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
148,25314977,25334431,1.7802648134849977,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
149,29189453,615563689#3,6.969517942809281,199.0,330.0,446.0,596.0,998.0,1223.0,1176.0,986.0,783.0,634.0,9847
150,26682439,843932181#0,8.77340317757658,121.0,1091.0,2135.0,2181.0,1606.0,1030.0,781.0,502.0,281.0,148.0,10001
151,203573844#2,24885704#2,1.5400157763570144,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
152,24854692,-29072306#1,4.8734658517596525,39.0,61.0,277.0,609.0,1129.0,1286.0,1197.0,1021.0,854.0,660.0,8063
153,29189372#0,578839257,3.5011112975861454,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
154,431300073,173036810,2.239168704997985,12.0,48.0,128.0,324.0,605.0,831.0,755.0,600.0,420.0,321.0,4651
155,319752148#0-AddedOnRampEdge,27623929#2,1.7861069444853046,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2
156,-25314493#2,425366256,2.1194375487796417,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
157,204521193,-49773052#1,1.6695954302564964,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
158,180715197,1122916117,10.435181139172432,4.0,130.0,602.0,1088.0,1412.0,1628.0,1520.0,1276.0,948.0,632.0,10001
159,184612844,25026500#2,1.730736726847219,6.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
