,origin,destination,euclidean,nb_0.1_paths,nb_0.2_paths,nb_0.3_paths,nb_0.4_paths,nb_0.5_paths,nb_0.6_paths,nb_0.7_paths,nb_0.8_paths,nb_0.9_paths,nb_1.0_paths,nb_paths
0,122371529#0,-291263469,7.51889965711625,2.0,39.0,228.0,636.0,984.0,1233.0,1368.0,1268.0,1218.0,1010.0,10001
1,28663778#5,-175691412,1.046382046415922,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2,-60349895,27036530,0.8989158824076544,3.0,5.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,16
3,572824576#0,739694129,2.628755097618213,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
4,164719711#0,29267682#2,1.1656999952340643,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4
5,121897335#8,-308654652,0.9824448367210922,0.0,0.0,3.0,6.0,25.0,64.0,142.0,184.0,247.0,273.0,2008
6,23463107#8,-179445663,8.52243412912515,2.0,5.0,48.0,126.0,230.0,349.0,557.0,720.0,745.0,862.0,10001
7,27797966#2,-28037251,3.187826583147011,42.0,119.0,193.0,323.0,433.0,459.0,552.0,546.0,620.0,649.0,8292
8,-223153143,795435755#3,0.8878445252640556,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
9,47969742#0,-27776893#2,2.206444898651219,65.0,336.0,449.0,453.0,292.0,139.0,54.0,32.0,7.0,3.0,1832
10,164719711#0,-103271284,13.712616064537391,179.0,285.0,267.0,488.0,769.0,762.0,940.0,868.0,751.0,749.0,9936
11,164719711#0,171045857,17.065173248871947,1.0,0.0,17.0,119.0,392.0,740.0,1047.0,1217.0,1222.0,1173.0,10001
12,137112608#0,28663916#1,0.9229222928470416,6.0,6.0,15.0,22.0,16.0,18.0,17.0,13.0,12.0,1.0,128
13,22944650#1,78008468#1,1.828122990418695,3.0,11.0,56.0,184.0,327.0,492.0,714.0,902.0,956.0,862.0,7644
14,28279584#0,25877237#2-AddedOnRampEdge,16.74413151729425,139.0,439.0,570.0,610.0,662.0,683.0,775.0,841.0,823.0,865.0,9979
15,197448006,514879384#1,18.060091381581174,50.0,216.0,385.0,448.0,595.0,579.0,524.0,598.0,569.0,672.0,9933
16,164719711#0,-291263469,1.3225805697090078,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
17,164719711#0,-103968781,1.5767540148660055,3.0,1.0,0.0,0.0,0.0,5.0,6.0,4.0,1.0,0.0,20
18,-1122924583#3,-50639429,13.90348494816387,98.0,179.0,214.0,310.0,417.0,446.0,571.0,673.0,843.0,965.0,9977
19,-27458874#5,27457889#1,0.9477826036879832,5.0,7.0,17.0,37.0,70.0,103.0,108.0,127.0,101.0,67.0,735
20,-167578356#6,-179445663,8.82342772460781,2.0,5.0,31.0,99.0,236.0,339.0,523.0,689.0,798.0,927.0,10001
21,128364009#3,26664689#0,14.258396781510296,1.0,0.0,14.0,76.0,237.0,544.0,896.0,1243.0,1322.0,1294.0,10001
22,1125659040#2,-191709606,7.957914236614147,28.0,44.0,219.0,575.0,417.0,297.0,436.0,729.0,547.0,305.0,3890
23,982195954#5,122374424#1,13.156775634465104,14.0,83.0,184.0,323.0,481.0,549.0,583.0,700.0,878.0,976.0,10001
24,177853127#0,49624657#0,13.434959862161993,2.0,3.0,69.0,252.0,608.0,844.0,1013.0,1043.0,1059.0,970.0,10001
25,572824576#0,48863077#3,2.975086465922831,114.0,804.0,1573.0,1329.0,466.0,106.0,313.0,725.0,792.0,485.0,6854
26,29249215#3,164719711#11,8.495326893835086,1.0,6.0,62.0,114.0,246.0,421.0,596.0,756.0,965.0,962.0,10001
27,27897719,-159049527,6.445614357358293,1.0,14.0,89.0,201.0,433.0,741.0,1009.0,1209.0,1287.0,1143.0,10001
28,24210659#1,-28433587,6.658641718707457,8.0,347.0,814.0,1095.0,1299.0,1389.0,1349.0,1126.0,859.0,638.0,9894
