origin,destination,euclidean,nb_0.1_paths,nb_0.2_paths,nb_0.3_paths,nb_0.4_paths,nb_0.5_paths,nb_0.6_paths,nb_0.7_paths,nb_0.8_paths,nb_0.9_paths,nb_1.0_paths,nb_paths
26682439,27204452#0,2.073017950585846,4.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6
-465272566#1,30642828#0,2.6122076498731315,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
-168436709,202500151#1,4.537543882568789,283.0,1305.0,2381.0,3177.0,3721.0,4153.0,4444.0,4593.0,4728.0,4819.0,4936
27588045#2,25316216,2.224224614988408,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
-168436709,348439788#0,4.149555565755347,354.0,603.0,1128.0,1563.0,1746.0,1953.0,2078.0,2135.0,2174.0,2181.0,2182
734002870#0,954656275,1.624520844026926,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
431300057#0,23462357#0,3.54403516053623,47.0,106.0,402.0,780.0,1025.0,1128.0,1182.0,1209.0,1216.0,1219.0,1219
1050955556#1,159918184#0,1.7493226930242989,6.0,12.0,19.0,41.0,87.0,204.0,381.0,603.0,865.0,1142.0,2021
732252230#1,425366256,1.471019248354097,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
24579918#8,172550483#2,1.9926862757472168,6.0,20.0,29.0,35.0,48.0,113.0,197.0,277.0,441.0,604.0,1391
-557340725#5,27022403,1.7889573923644235,9.0,33.0,75.0,116.0,191.0,256.0,294.0,331.0,358.0,368.0,370
-705728922,25196212,1.4265730679418698,12.0,41.0,77.0,125.0,186.0,250.0,299.0,346.0,376.0,390.0,403
29189453,685376181,2.072030426794802,4.0,4.0,44.0,106.0,159.0,282.0,470.0,669.0,852.0,952.0,1455
29072306#0,30092807#4,3.6424694282871433,181.0,1155.0,2456.0,3341.0,3728.0,3875.0,3957.0,3999.0,4010.0,4013.0,4015
-674283386#1,909643935#0,1.8584970518744743,3.0,11.0,23.0,37.0,58.0,73.0,96.0,145.0,215.0,317.0,562
27624083-AddedOffRampEdge,1072300621-AddedOffRampEdge,5.738888068660775,57.0,258.0,575.0,1033.0,1662.0,2394.0,2989.0,3443.0,3807.0,4089.0,4773
309769500#0,25164982#0,1.78131961477021,5.0,12.0,15.0,34.0,52.0,73.0,97.0,126.0,208.0,299.0,959
602994941,589896785,3.6050986788165176,92.0,359.0,784.0,1305.0,1941.0,2517.0,2938.0,3180.0,3292.0,3338.0,3382
-28560389#3,443241954#0,1.7497667042083875,4.0,24.0,60.0,120.0,243.0,379.0,537.0,757.0,962.0,1111.0,1294
29189452#0,29072306#0,4.357478403568359,405.0,1697.0,2727.0,3293.0,3553.0,3631.0,3650.0,3650.0,3650.0,3650.0,3650
-582373785#12,203939994#2,11.759988251042987,2.0,37.0,236.0,652.0,1262.0,1969.0,2755.0,3448.0,3988.0,4393.0,5001
615225473#7,8055217#3,5.702016449019977,282.0,1121.0,2182.0,3291.0,3992.0,4373.0,4565.0,4676.0,4731.0,4763.0,4793
29189452#1,25315120#0,3.494116986499401,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
674283386#0,25164982#0,2.5423708782064702,81.0,349.0,743.0,1313.0,1867.0,2280.0,2661.0,2999.0,3226.0,3403.0,3678
-190735673#3,599226364,1.825256184941895,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
1086865541,27623929#2,3.6538676416162734,0.0,57.0,289.0,456.0,919.0,1416.0,1847.0,2018.0,2088.0,2101.0,2105
235605364#0,24567076#2,7.905678358948463,3.0,82.0,390.0,966.0,1582.0,2250.0,2871.0,3431.0,3829.0,4161.0,5001
30250793#2,309769500#0,1.6580573881409064,1.0,7.0,14.0,32.0,60.0,86.0,134.0,163.0,209.0,243.0,476
-162228161,671809170#3,4.3022981082330585,190.0,659.0,1126.0,1479.0,1756.0,2023.0,2378.0,2831.0,3279.0,3595.0,4236
638029811#3,194210642#3,1.3481888774470472,7.0,15.0,24.0,60.0,110.0,175.0,244.0,308.0,347.0,384.0,435
-24854662#3,-843932181#1,8.317271427699609,31.0,149.0,351.0,664.0,1105.0,1870.0,2785.0,3594.0,4253.0,4627.0,5000
615563689#1,203573846,2.3662504467088565,60.0,130.0,191.0,240.0,522.0,984.0,1308.0,1518.0,1636.0,1711.0,1757
42936805#3,1076317292#1,3.160012413989511,68.0,279.0,661.0,1029.0,1322.0,1599.0,1844.0,2011.0,2144.0,2228.0,2367
-29072306#1,555811607#7,4.022034013078365,232.0,952.0,1908.0,2893.0,3533.0,3791.0,3873.0,3890.0,3890.0,3890.0,3890
8054857#0,-37616074,1.35330478349468,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
-42246096,29072305,3.927670916673269,47.0,105.0,180.0,323.0,618.0,1045.0,1401.0,1592.0,1630.0,1631.0,1631
28235681,202760019#9,10.27916852622584,3.0,26.0,141.0,371.0,776.0,1276.0,1809.0,2358.0,2913.0,3396.0,5001
348439788#0,172547965,1.854449003457575,0.0,0.0,2.0,2.0,8.0,10.0,14.0,16.0,16.0,16.0,16
1081066600#6-AddedOffRampEdge,-30250793#1,1.617404171519801,2.0,2.0,6.0,20.0,24.0,60.0,160.0,283.0,421.0,644.0,1643
-168436709,172547965,3.916189342828996,341.0,784.0,1015.0,1548.0,2129.0,2638.0,3017.0,3208.0,3339.0,3367.0,3388
28235870,431300063#7,6.345384329624588,84.0,282.0,490.0,790.0,1244.0,1871.0,2580.0,3192.0,3650.0,3994.0,4927
29189452#0,686501664#0,5.956800235984581,97.0,688.0,1624.0,2609.0,3422.0,4008.0,4382.0,4647.0,4782.0,4873.0,4970
-42246096,-24880769,2.430801851042651,10.0,22.0,41.0,99.0,212.0,355.0,432.0,482.0,509.0,524.0,542
1080195304,680853751,1.2186684397698413,11.0,29.0,52.0,74.0,88.0,113.0,152.0,192.0,220.0,237.0,277
-154797088#4,27624411,11.32040649012566,20.0,140.0,352.0,716.0,1214.0,1783.0,2395.0,2924.0,3342.0,3655.0,5001
674283383,27367087#0,1.3815538435826622,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2
205385764#0,25026462#2,10.13971484410817,1.0,22.0,179.0,578.0,1209.0,1938.0,2699.0,3363.0,3911.0,4311.0,5001
29189452#0,309769927,1.7855795864705308,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
30095664,25314487#4,1.6153356734371365,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
-81233523,29395125#6,2.6998736710709936,11.0,64.0,242.0,497.0,788.0,1049.0,1261.0,1406.0,1468.0,1492.0,1502
-42246096,8055217#3,3.464497530552312,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
29189452#1,-168436709,11.29362379839063,5.0,145.0,684.0,1596.0,2550.0,3303.0,3877.0,4341.0,4647.0,4840.0,5001
-29072312#1,348439788#0,14.47945538788711,3.0,47.0,466.0,1440.0,2454.0,3257.0,3888.0,4385.0,4687.0,4858.0,5001
319752146#3,29189450,2.1031367295294365,8.0,36.0,72.0,110.0,164.0,251.0,355.0,431.0,495.0,526.0,577
-172421018#4,24854662#4,1.7847015026388968,6.0,15.0,23.0,25.0,33.0,43.0,45.0,45.0,45.0,45.0,45
42862065,319752146#2,2.16867964241418,67.0,250.0,545.0,923.0,1426.0,1913.0,2389.0,2831.0,3282.0,3666.0,4647
843425328,-27040679#1,1.840194063512992,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
49773052#0,162782257#0,2.133928925575876,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
-25334554,352158878#0,2.3257528209930887,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
25316149#3,469731874#0,1.867262629709372,5.0,29.0,43.0,55.0,75.0,83.0,112.0,143.0,148.0,157.0,164
-168436709,348439788#0,4.149555565755347,368.0,669.0,1192.0,1675.0,1852.0,2053.0,2179.0,2244.0,2275.0,2281.0,2281
30095664-AddedOnRampEdge,256482763,3.359734972973326,0.0,0.0,0.0,1.0,30.0,132.0,350.0,704.0,1062.0,1330.0,1582
686828899#1,81368470,1.4050678048981735,48.0,252.0,595.0,1041.0,1557.0,2109.0,2567.0,2918.0,3180.0,3360.0,3540
-380272839#3,42246096,1.802148741657356,3.0,8.0,28.0,46.0,51.0,68.0,100.0,111.0,113.0,123.0,134
590848307#0,185717979#0,6.037994401209165,13.0,157.0,698.0,1575.0,2559.0,3340.0,3871.0,4225.0,4461.0,4641.0,5001
590848307#0,589896785,4.443360723714212,16.0,34.0,90.0,243.0,378.0,558.0,810.0,1143.0,1425.0,1745.0,2463
-42246096,1107721772#0,5.485970006459303,83.0,256.0,686.0,1270.0,1846.0,2351.0,2811.0,3233.0,3579.0,3867.0,4606
-28170096#1,235605364#0,1.2442046852942503,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
280801859#0,-615563686#6,1.540284825577977,7.0,28.0,45.0,70.0,102.0,113.0,117.0,122.0,125.0,126.0,126
-590991055#1,-28836435#2,2.197720237269547,140.0,634.0,1414.0,2160.0,2703.0,3063.0,3269.0,3391.0,3451.0,3486.0,3543
964072170,27623929#2-AddedOnRampEdge,2.348600117037828,3.0,17.0,29.0,41.0,46.0,58.0,91.0,148.0,216.0,238.0,243
24843193#0,203478088#2,4.992447410927897,70.0,281.0,598.0,938.0,1329.0,1856.0,2422.0,2942.0,3367.0,3716.0,4965
27273312#0,589896785,3.6050986788165176,91.0,366.0,814.0,1373.0,2006.0,2573.0,2962.0,3224.0,3343.0,3409.0,3441
92413093,964072170,1.5925042529650544,16.0,34.0,72.0,126.0,157.0,205.0,260.0,309.0,349.0,378.0,409
25314977,25342655#0,4.228769531516838,56.0,338.0,879.0,1530.0,2157.0,2733.0,3091.0,3312.0,3462.0,3532.0,3599
30453877,761463237#0,1.534400371630777,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
