origin,destination,euclidean,nb_0.1_paths,nb_0.2_paths,nb_0.3_paths,nb_0.4_paths,nb_0.5_paths,nb_0.6_paths,nb_0.7_paths,nb_0.8_paths,nb_0.9_paths,nb_1.0_paths,nb_paths
1076317292#1,-965616564,11.0502437701167,7.0,71.0,356.0,996.0,1977.0,3302.0,4786.0,6250.0,7500.0,8450.0,10001
1097962018#0,25315120#0,3.803331192617405,206.0,1053.0,2228.0,3335.0,4388.0,5251.0,5870.0,6242.0,6405.0,6460.0,6484
25314977,172421027#2,3.5514861514177296,0.0,0.0,0.0,3.0,64.0,240.0,648.0,1262.0,1948.0,2590.0,3277
-28170096#1,-37616074,14.781816088035775,1.0,14.0,186.0,950.0,2490.0,4188.0,5648.0,6860.0,7789.0,8575.0,10001
-633873260#1,27623939#0,2.2674355778264315,181.0,833.0,1854.0,3485.0,5317.0,6711.0,7801.0,8447.0,8856.0,9121.0,9394
30095664,27623929#2,4.371129622244716,0.0,0.0,0.0,39.0,236.0,650.0,1617.0,3063.0,4410.0,5526.0,6600
732252230#1,425366256,1.471019248354097,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
-172638590,680673395#0,4.023354327864677,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
612989583,615563686#5,2.3589879902304003,29.0,151.0,373.0,619.0,843.0,1040.0,1228.0,1408.0,1530.0,1612.0,1735
26682439,348439788#0,4.384419651643399,20.0,99.0,174.0,432.0,1447.0,2169.0,2655.0,3313.0,3709.0,3836.0,3875
-28235866#4,27366814#0,2.605149339692299,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
205385764#0,-28836163#0,1.4319819311398767,4.0,16.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24
1086865541,-465272566#1,1.2879190516775232,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
23005123#0,599226364,1.606454394473941,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
-29072306#1,27366814#0,1.7317097843599425,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
843932181#0,-411451801#5,13.066927652511865,2.0,124.0,720.0,2100.0,3654.0,5018.0,6248.0,7175.0,7935.0,8491.0,10001
199728992#0,27587401#1,3.367483742190096,105.0,644.0,1536.0,2650.0,3879.0,4952.0,5872.0,6630.0,7235.0,7671.0,8280
154797088#7,-43405558#5,1.233533526896869,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
1055602778,-256482763,2.9123930673876943,0.0,16.0,200.0,608.0,1461.0,2633.0,3192.0,3365.0,3427.0,3434.0,3435
-576465698#1,154954727#5,9.689259854368288,56.0,347.0,877.0,1712.0,2688.0,3877.0,5117.0,6364.0,7476.0,8336.0,10001
29189452#1,578839257,3.6817323523110295,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
-555811607#10,443244481#6,9.664492998252909,2.0,36.0,218.0,634.0,1292.0,2121.0,3122.0,4217.0,5297.0,6271.0,10001
1081066600#5,319752146#3,1.6774291843956897,14.0,38.0,53.0,80.0,138.0,200.0,260.0,329.0,427.0,517.0,1663
-654158421,27623929#2,3.1321005464887346,16.0,53.0,82.0,252.0,692.0,1450.0,2265.0,2990.0,3507.0,3815.0,4210
29189452#0-AddedOffRampEdge,11657519#0,2.377215554844518,1.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3
309769500#0,-685376181,1.6836179492126129,4.0,4.0,35.0,101.0,160.0,263.0,467.0,747.0,1013.0,1256.0,2420
1124431851,319752146#3,1.7539004326689331,4.0,19.0,97.0,159.0,305.0,553.0,832.0,1027.0,1200.0,1329.0,1888
204521195#0,28836171#0,13.585588743666822,3.0,24.0,234.0,868.0,2046.0,3447.0,4800.0,6019.0,7087.0,7993.0,10001
-27588409#2,24713789#0,5.25572767513966,42.0,181.0,463.0,878.0,1501.0,2194.0,2946.0,3706.0,4506.0,5385.0,9998
138564213#0,24577060#3,1.2120527813824593,7.0,19.0,21.0,21.0,23.0,25.0,28.0,28.0,28.0,28.0,28
70936918,25334554,4.062056069225896,282.0,1123.0,2300.0,3655.0,5115.0,6353.0,7293.0,7951.0,8364.0,8605.0,8839
29189453,-30270857#2,1.8471578208322816,4.0,4.0,21.0,75.0,111.0,164.0,271.0,407.0,530.0,597.0,1311
-154797088#5,843932181#0,2.142421419835356,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
29189453,25164982#0,2.2094019053796456,7.0,12.0,21.0,47.0,72.0,105.0,138.0,243.0,383.0,510.0,2604
30453877,761463237#0,1.534400371630777,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
-871732560#1,311130443#0,1.4904333343574827,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31
-1004938762,42784304#0,1.381011708044587,18.0,46.0,190.0,363.0,430.0,434.0,434.0,434.0,434.0,434.0,434
352150498#0,599226364,1.7567615281530595,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
190735673#0,576712227#0,1.5324041300410869,5.0,10.0,12.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13
29189372#0,25164982#0,2.1314738364893056,9.0,21.0,30.0,45.0,66.0,103.0,142.0,213.0,315.0,422.0,2338
50414586#3,8055217#3,2.2263551046731465,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
25314977,24854755#0,5.660505603615802,52.0,142.0,292.0,715.0,1343.0,2063.0,2902.0,3835.0,4678.0,5377.0,8160
29189452#0,27588385#0,2.297018493784874,4.0,11.0,40.0,64.0,127.0,181.0,301.0,414.0,516.0,698.0,2373
4414036#0,-843932181#1,8.829594164644478,44.0,287.0,731.0,1236.0,2027.0,3149.0,4483.0,6040.0,7460.0,8541.0,9998
1081066600#7,319752146#3,1.7489927405540278,8.0,36.0,177.0,292.0,518.0,892.0,1321.0,1568.0,1777.0,1929.0,2520
204521195#0,-27022471#1,2.307143583675703,0.0,2.0,25.0,102.0,170.0,185.0,262.0,379.0,456.0,456.0,456
-557340725#5,-954656283#1,1.4769054354350473,10.0,51.0,132.0,248.0,375.0,503.0,634.0,780.0,855.0,897.0,999
555811601#1,8065899,1.28946027795724,4.0,12.0,23.0,43.0,64.0,89.0,119.0,153.0,184.0,206.0,270
1086865541,-516772080#1,7.969132633926785,10.0,92.0,399.0,981.0,1805.0,2786.0,3688.0,4480.0,5220.0,5818.0,10001
652731618#3,22930137,2.8264177155266714,33.0,156.0,382.0,626.0,931.0,1371.0,1909.0,2330.0,2755.0,3111.0,4038
25315120#0,8055217#3,1.4447761832446906,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
30095664-AddedOnRampEdge,133750975,1.8127573412219025,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
-81467006#3,-224653324#1,1.820727016616696,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
1081066600#2,256482766#1,1.2048327219731938,17.0,61.0,114.0,176.0,228.0,309.0,393.0,435.0,466.0,489.0,499
26682439,-264223268,5.509757445271878,387.0,1280.0,2593.0,4524.0,6259.0,7546.0,8510.0,9116.0,9495.0,9656.0,9828
181202156#2,-614268490#3,2.8024640546162973,117.0,785.0,1701.0,2572.0,3315.0,4052.0,4804.0,5566.0,6292.0,6907.0,7972
-649136602,172550483#1,10.90876100919044,2.0,57.0,503.0,1516.0,3048.0,4757.0,6304.0,7466.0,8336.0,8924.0,10001
-25460982#3,42679013#0,1.976589085319576,586.0,2022.0,3394.0,4190.0,4503.0,4624.0,4663.0,4669.0,4672.0,4672.0,4672
26682439,642888620#0,10.015092305568356,27.0,512.0,2215.0,4560.0,6476.0,7798.0,8641.0,9186.0,9498.0,9724.0,10001
-168436709,348439788#0,4.149555565755347,455.0,937.0,1850.0,2767.0,3198.0,3628.0,3974.0,4169.0,4299.0,4309.0,4319
377727142,25164982#0,1.6752017502908658,9.0,13.0,33.0,61.0,91.0,125.0,243.0,365.0,505.0,707.0,1666
459819542#0,-42861887#0,6.071313707039049,224.0,660.0,1210.0,1965.0,2961.0,4027.0,5087.0,6243.0,7350.0,8234.0,9943
615563686#3,50414586#3,4.0602782226322365,382.0,798.0,1694.0,2722.0,3976.0,4993.0,5906.0,6667.0,7301.0,7761.0,8518
582373789#0,27647145#0,2.422014680309412,185.0,957.0,2209.0,3556.0,4725.0,5543.0,6077.0,6442.0,6692.0,6840.0,6926
1081066600#2,-28836435#2,13.026270559970396,1.0,16.0,134.0,483.0,1159.0,2159.0,3431.0,4707.0,5952.0,6992.0,10001
590848307#0,-168436709,4.28879008535399,30.0,183.0,483.0,903.0,1711.0,2622.0,3755.0,4551.0,5000.0,5201.0,5385
-23332383#1,24577087#3,1.2302064981816467,4.0,9.0,18.0,24.0,27.0,29.0,33.0,40.0,51.0,59.0,65
26682439,348439788#0,4.384419651643399,20.0,101.0,182.0,455.0,1502.0,2218.0,2732.0,3372.0,3746.0,3869.0,3925
-62804504,431300063#6,1.7521759429645951,13.0,37.0,109.0,212.0,329.0,476.0,566.0,654.0,733.0,777.0,827
26682439,27204452#0,2.073017950585846,4.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6
599226364,23005123#0,1.770358675622668,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
224109225,295993551,1.990048701212667,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
205385764#0,-161661288,1.3213954423410743,3.0,10.0,14.0,17.0,20.0,20.0,20.0,20.0,20.0,20.0,20
-154797088#4,42246104#1,6.045144852440157,144.0,623.0,1555.0,2817.0,3732.0,4868.0,5991.0,6817.0,7539.0,8145.0,9404
-8055051#10,-42246096,4.604527469717441,191.0,631.0,2248.0,3804.0,5446.0,6464.0,7024.0,7248.0,7332.0,7359.0,7365
734002870#0,380272839#0,5.872243585867278,209.0,642.0,1078.0,1781.0,3015.0,4558.0,5926.0,7042.0,7860.0,8381.0,9295
235605364#0,22930145,1.637662151354638,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
28235866#0,-25334431,3.4154727588523954,270.0,978.0,2025.0,3168.0,4226.0,5121.0,5799.0,6215.0,6499.0,6664.0,6887
202760030#0,205385764#0,1.2115880806063255,34.0,52.0,69.0,129.0,132.0,153.0,160.0,160.0,160.0,160.0,160
1080195304,-29072312#1,4.136789207632557,348.0,1517.0,3029.0,4420.0,5509.0,6349.0,6932.0,7283.0,7517.0,7635.0,7721
411451801#0,671809170#0,2.2647051919515486,31.0,81.0,128.0,170.0,199.0,212.0,230.0,256.0,289.0,321.0,1543
-557340725#2,8055217#3,5.096720948302497,289.0,1344.0,2909.0,4454.0,5822.0,6888.0,7596.0,7986.0,8152.0,8217.0,8255
25334370#0,23005138,3.198381013826969,104.0,785.0,2166.0,3816.0,5304.0,6294.0,6972.0,7538.0,7862.0,8057.0,8272
23005128#0,319752148#0-AddedOnRampEdge,2.4783563332793404,38.0,169.0,482.0,1012.0,1564.0,2130.0,2720.0,3259.0,3765.0,4202.0,5431
42679013#0,-162228161,2.185316986568512,344.0,1607.0,2968.0,4557.0,5790.0,6283.0,6431.0,6452.0,6455.0,6455.0,6455
29189452#0-AddedOffRampEdge,411451801#3,3.601415527769731,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
503405666,180715206,8.120583899959856,43.0,389.0,1013.0,1880.0,2793.0,3974.0,5344.0,6833.0,8222.0,9127.0,9997
29072305,-27023123#4,3.631231201762904,159.0,1057.0,2700.0,4483.0,5857.0,6580.0,6852.0,6956.0,7019.0,7050.0,7066
288510375,25316149#0,2.3706033131802853,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
30095664,27623929#2,4.371129622244716,0.0,0.0,0.0,41.0,230.0,646.0,1579.0,2943.0,4353.0,5394.0,6557
319752146#3,309769499,1.777478321895567,5.0,7.0,8.0,8.0,11.0,14.0,15.0,15.0,29.0,61.0,1731
-162228161,42679977#1,1.2602623482988071,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
1124431851,-30250793#1,1.6513775635976429,4.0,19.0,96.0,178.0,381.0,665.0,1027.0,1283.0,1473.0,1608.0,2088
-42680390#2,557340736#1,2.0587962738085395,16.0,54.0,116.0,322.0,674.0,1112.0,1679.0,2386.0,3066.0,3813.0,6778
42679013#0,39021612#0,1.4748664767037705,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
91818465#0,29072306#0,4.039772008919386,170.0,876.0,2139.0,3770.0,5336.0,6704.0,7654.0,8213.0,8445.0,8532.0,8565
642888633,-27606526#4,1.5369487978048817,21.0,56.0,111.0,182.0,267.0,337.0,450.0,631.0,877.0,1138.0,1872
