origin,destination,euclidean,nb_0.1_paths,nb_0.2_paths,nb_0.3_paths,nb_0.4_paths,nb_0.5_paths,nb_0.6_paths,nb_0.7_paths,nb_0.8_paths,nb_0.9_paths,nb_1.0_paths,nb_paths
196903053#5,329347640,9.823863456830928,51.0,757.0,2829.0,5339.0,7367.0,8813.0,9893.0,10757.0,11373.0,11872.0,15000
89939818#2,274926560#1,2.974748589831551,36.0,160.0,360.0,615.0,962.0,1387.0,1862.0,2264.0,2537.0,2703.0,2880
280227937#5,44220555#0,4.156839681980492,337.0,1752.0,3837.0,5743.0,7283.0,8812.0,10236.0,11397.0,12376.0,13049.0,14472
-172410764#2,700135582#1,3.5631452817104288,844.0,3553.0,6216.0,8259.0,9127.0,9405.0,9505.0,9543.0,9553.0,9564.0,9565
145123632#3,91814425#0,2.368716306464951,80.0,1337.0,5036.0,8375.0,10126.0,10897.0,11269.0,11436.0,11515.0,11533.0,11539
29026067#0,47686670#2,1.5265411803399984,2.0,7.0,23.0,41.0,60.0,92.0,150.0,276.0,360.0,501.0,1402
4968774,-23176449#8,10.600014412449912,200.0,1587.0,3880.0,5945.0,7196.0,7885.0,8416.0,9029.0,9757.0,10580.0,14976
-167107633#7,30337183#1,3.9901043746581935,158.0,1097.0,3185.0,5865.0,8270.0,10137.0,11770.0,13079.0,14026.0,14496.0,14931
342649440#2-AddedOnRampEdge,-201673007,1.167269459298315,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
-4012098#3,931673333,9.78922483288464,5.0,62.0,339.0,1167.0,2751.0,5088.0,7679.0,9950.0,11760.0,13057.0,15001
189333224#2,154635213#0,19.45348800229596,1.0,1.0,23.0,171.0,592.0,1429.0,2657.0,3985.0,5177.0,6229.0,15001
-427006710,164512892,3.421898678807756,130.0,272.0,352.0,587.0,975.0,1512.0,2140.0,2917.0,3689.0,4415.0,7202
-257917686#1,154819927,0.6068592828521826,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
575728051,1008827546#1,2.515398214961737,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
912309235,32394309#0,15.716857218500852,8.0,400.0,1435.0,2731.0,3956.0,5045.0,6144.0,7294.0,8587.0,9983.0,15001
668139707,-44722537,2.6919887005164047,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
4969364,-59310707,6.162461804432035,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
-173957702#1,657154350,1.4070640891813453,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
