origin,destination,euclidean,nb_0.1_paths,nb_0.2_paths,nb_0.3_paths,nb_0.4_paths,nb_0.5_paths,nb_0.6_paths,nb_0.7_paths,nb_0.8_paths,nb_0.9_paths,nb_1.0_paths,nb_paths,theta
27494708#0,1029004063,9.67798154666382,1.0,17.0,60.0,181.0,467.0,939.0,1590.0,2493.0,3530.0,4630.0,10001,0.7343398034114362
-26944473#4,22801764#5,10.10123301626551,12.0,46.0,127.0,347.0,740.0,1329.0,2158.0,3070.0,3991.0,4911.0,10001,0.6304636135328013
236894418#0,463432074#0,2.309135959642614,25.0,190.0,664.0,1345.0,2099.0,2833.0,3528.0,4317.0,5271.0,6231.0,8755,0.7537113860109166
202591022#1,51081959#0,3.647550260753631,12.0,66.0,245.0,647.0,1402.0,2399.0,3571.0,4911.0,6156.0,7283.0,9997,0.5441973074291786
463432074#0,278328412#0,2.331039096655571,41.0,233.0,617.0,1136.0,1774.0,2441.0,2992.0,3388.0,3672.0,3893.0,5733,0.6837947922962003
247815600#0,92811445#0,4.7192404774977215,26.0,153.0,411.0,788.0,1266.0,1767.0,2363.0,3017.0,3788.0,4650.0,10001,0.8258747154975058
-26944473#4,-27671815,9.25682901062319,10.0,57.0,147.0,390.0,860.0,1642.0,2538.0,3508.0,4506.0,5497.0,10001,0.5670978319582609
26592323#0,247815600#0,4.318268045970533,22.0,163.0,523.0,1055.0,1798.0,2789.0,3826.0,4959.0,6005.0,6933.0,10000,0.6908419683096425
190502846#3,50281042,11.19597880869697,1.0,5.0,66.0,296.0,812.0,1697.0,2822.0,4099.0,5421.0,6540.0,10001,0.8898083966532
-126146476,95644996#1,2.0505321125411204,43.0,159.0,393.0,759.0,1166.0,1760.0,2555.0,3293.0,4452.0,5586.0,6636,0.31632322847216976
-207814830,-52031786#4,12.460589228248718,3.0,84.0,731.0,2099.0,3737.0,5297.0,6557.0,7463.0,8175.0,8732.0,9983,0.36826384712934046
202591022#1,-118569836#4,2.169756584395752,49.0,275.0,876.0,1912.0,3276.0,4785.0,6043.0,7024.0,7771.0,8282.0,9162,0.34433986535167427
92811445#0,-4245346#1,5.039778838050394,53.0,237.0,607.0,1062.0,1630.0,2260.0,2988.0,3827.0,4748.0,5722.0,10001,0.8662209970827103
-78411474,32819285#0,17.14970223476119,1.0,3.0,23.0,118.0,369.0,924.0,1877.0,3225.0,4845.0,6434.0,10001,0.556897499258572
27494708#0,27374273#1,9.267322555940636,2.0,18.0,107.0,331.0,730.0,1304.0,2097.0,3157.0,4300.0,5441.0,10001,0.6308171697357391
128669220#6,-26943239#3,1.7797944411317916,11.0,62.0,284.0,724.0,1237.0,1566.0,1827.0,2022.0,2128.0,2200.0,2345,0.08136767920650177
232886171#6,463432074#0,1.0102038144898868,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,0.27566981086526515
190502846#3,184817931#0,11.275426808790575,1.0,7.0,21.0,131.0,411.0,952.0,1693.0,2556.0,3490.0,4399.0,10001,0.772112391662072
51081959#0,34860256#0,5.227443316438668,11.0,56.0,190.0,439.0,910.0,1501.0,2228.0,2964.0,3820.0,4683.0,10001,0.902053088535099
-28676357#2,199249790,2.1483530116654825,59.0,420.0,1343.0,2717.0,4284.0,5618.0,6572.0,7185.0,7562.0,7813.0,8084,0.7603039232808031
200858515#0,-201419943#1,2.363352207119311,64.0,288.0,959.0,2122.0,3522.0,4932.0,5989.0,6830.0,7435.0,7858.0,8398,0.8674742533064097
22978888#0,144175042#0,1.464461396333783,11.0,40.0,115.0,277.0,559.0,925.0,1322.0,1642.0,1832.0,1921.0,1969,0.40696215219455684
-94827734#6,-78411474,15.747696207085102,1.0,15.0,92.0,371.0,893.0,1813.0,3102.0,4677.0,6239.0,7544.0,10001,0.4698156334993251
