,origin,destination,euclidean,nb_0.1_paths,nb_0.2_paths,nb_0.3_paths,nb_0.4_paths,nb_0.5_paths,nb_0.6_paths,nb_0.7_paths,nb_0.8_paths,nb_0.9_paths,nb_1.0_paths,nb_paths
0,199418330#0,442468876,1.2692766757715184,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
1,-899831802,248637518,1.2977145447576313,10.0,9.0,8.0,3.0,0.0,0.0,0.0,2.0,2.0,0.0,34
2,-167107638#18,62253952,4.7186773401450655,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
3,329347624,132041441,3.027678989349122,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
4,15972072#0,209108554#3,3.17855282544452,10.0,26.0,41.0,144.0,157.0,198.0,270.0,377.0,427.0,372.0,3145
5,172431735#0,140576484#0,16.372913866720584,2.0,2.0,19.0,84.0,150.0,261.0,331.0,487.0,514.0,528.0,5001
6,306849443,-172431730,15.194878314650248,1.0,1.0,39.0,181.0,484.0,718.0,773.0,659.0,564.0,468.0,5001
7,25961661#0,25895445#0,1.0747489732797886,4.0,2.0,6.0,15.0,24.0,23.0,15.0,12.0,13.0,21.0,378
8,236789965,32059411,2.192224750871715,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
9,-565727007#4,27654588#0,1.5077943100973712,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
10,967094042#2,1106797682,1.4720058689995574,5.0,9.0,7.0,12.0,34.0,17.0,0.0,1.0,5.0,2.0,180
11,123521910,85521035#0,3.060476560207184,87.0,485.0,1097.0,1101.0,803.0,503.0,245.0,99.0,42.0,24.0,4497
12,1036789795,690004296,14.36174049987517,8.0,157.0,272.0,332.0,393.0,422.0,419.0,446.0,470.0,437.0,5001
13,24545700,-26192710#1,3.407167791573454,96.0,363.0,796.0,865.0,689.0,374.0,272.0,145.0,100.0,81.0,3824
14,-353021172#4,210588071,2.404153063906804,5.0,7.0,42.0,87.0,140.0,220.0,234.0,208.0,284.0,364.0,3482
15,591311355#0,-75538648#2,3.798322717811889,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
16,34761131#0,-166636453#2,3.348698798295965,171.0,689.0,625.0,479.0,460.0,425.0,379.0,234.0,191.0,113.0,3971
17,770270885,41432210#1,2.0451865645943195,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
18,24959660#4,330245745,1.323429230523353,23.0,129.0,224.0,192.0,223.0,168.0,151.0,181.0,140.0,136.0,1817
19,59891418#6,78288193#1,0.7402604677837565,5.0,5.0,6.0,13.0,11.0,8.0,10.0,7.0,4.0,2.0,71
20,313251853#7,701386976,2.612576873373621,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
21,33806837#1,-24300277#0,1.747997881917889,3.0,4.0,13.0,10.0,4.0,1.0,0.0,50.0,275.0,500.0,1715
22,447706830,244949437#2,3.8125327050575137,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
23,265814434,-236789965,13.546979214831424,3.0,56.0,163.0,256.0,391.0,621.0,758.0,722.0,682.0,571.0,5001
24,34427441,232256747#0,0.8623589953856702,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
25,-743682780,26192708#4,3.0435489490123566,165.0,423.0,677.0,759.0,642.0,594.0,416.0,295.0,249.0,148.0,4575
26,37999581#0,270551075#0,3.8693491534426623,29.0,168.0,502.0,746.0,821.0,730.0,568.0,463.0,339.0,204.0,5001
27,372343799#0,-255760030,3.7680540744350015,69.0,198.0,332.0,502.0,623.0,643.0,593.0,503.0,375.0,283.0,4732
28,599293510#0,100992663,12.23859937464459,5.0,31.0,204.0,764.0,1082.0,925.0,673.0,509.0,335.0,229.0,5001
29,62253979#1-AddedOnRampEdge,-832193661#2,3.1196794665496523,11.0,23.0,44.0,60.0,92.0,254.0,200.0,74.0,77.0,110.0,1188
30,43092238#0,699702668#0,6.87713403310592,188.0,233.0,1420.0,941.0,457.0,223.0,102.0,53.0,44.0,39.0,4058
31,55936539,-118232443#5,3.343357813564752,8.0,281.0,489.0,363.0,382.0,316.0,198.0,132.0,120.0,65.0,3526
32,23126599,174286971#1,1.7081444045161602,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
33,-169015350#9,34761131#1,23.34291340461377,1.0,0.0,10.0,116.0,390.0,726.0,990.0,886.0,688.0,504.0,5001
34,231028256#0,275512389#0,5.423706172522365,5.0,50.0,152.0,339.0,495.0,571.0,619.0,602.0,565.0,491.0,5001
35,25303224#0,102161456,4.940205622180862,4.0,75.0,265.0,483.0,576.0,659.0,631.0,551.0,419.0,371.0,4917
36,-743621895,290053958#0,4.589523860887937,74.0,153.0,330.0,452.0,638.0,560.0,469.0,398.0,342.0,265.0,4712
37,-205979515#4,1062609219,2.1863523931492024,80.0,222.0,477.0,614.0,567.0,429.0,278.0,164.0,75.0,51.0,3070
38,900439226,34379916,1.7057671769267713,2.0,2.0,5.0,5.0,16.0,12.0,19.0,10.0,20.0,12.0,110
39,156964940#0,52045188#0,12.650408420426324,1.0,18.0,151.0,411.0,470.0,463.0,430.0,444.0,479.0,437.0,5001
40,353028458#0,-370456857#1,1.992342237033597,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
41,24552235,24754174#0,3.125108706919026,2.0,7.0,24.0,230.0,703.0,816.0,586.0,368.0,159.0,56.0,3028
42,120066542,-283803819#1,10.084885390604924,12.0,93.0,266.0,460.0,688.0,862.0,841.0,704.0,492.0,288.0,5001
43,14580806#0,913274109,3.5420315328403,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
44,34427441,274572886,23.24196175438747,17.0,44.0,71.0,228.0,497.0,645.0,634.0,583.0,596.0,475.0,4978
45,353017629#1,26603894,17.24805855828895,3.0,20.0,156.0,477.0,943.0,1073.0,950.0,614.0,376.0,223.0,5001
46,55936539,-353012711#3,2.560853602871069,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
47,55936539-AddedOnRampEdge,-60009332#3,13.37335728586724,22.0,268.0,433.0,531.0,526.0,545.0,494.0,376.0,222.0,172.0,4612
48,24959554,900439226,24.096565574834138,8.0,40.0,76.0,186.0,390.0,627.0,670.0,692.0,669.0,577.0,5001
49,-272126321#3,-273269515,1.2607072129621908,4.0,4.0,5.0,7.0,6.0,6.0,6.0,7.0,5.0,16.0,127
50,167107645#1,-85521036#3,9.621180241316749,8.0,112.0,300.0,555.0,609.0,625.0,573.0,543.0,505.0,413.0,5001
51,232256747#0,623182790#3,18.98946340143572,1.0,6.0,38.0,253.0,799.0,1178.0,1172.0,832.0,438.0,185.0,5001
52,-44130918,381755652#1,1.4041466056181868,20.0,4.0,19.0,21.0,16.0,12.0,1.0,1.0,0.0,0.0,94
53,88773639#0,-396618492,1.4853048910017803,3.0,2.0,2.0,9.0,6.0,10.0,12.0,2.0,0.0,0.0,46
54,537191927,353612402,3.828516334325168,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
55,288148101#0,-236789965,12.502673665483057,3.0,67.0,208.0,311.0,462.0,774.0,825.0,735.0,582.0,436.0,5001
56,-30337183#2,1034586148,3.283956879181646,83.0,175.0,119.0,97.0,200.0,432.0,490.0,404.0,372.0,349.0,3161
