,origin,destination,euclidean,nb_0.1_paths,nb_0.2_paths,nb_0.3_paths,nb_0.4_paths,nb_0.5_paths,nb_0.6_paths,nb_0.7_paths,nb_0.8_paths,nb_0.9_paths,nb_1.0_paths,nb_paths
0,197448006,124643416#2,10.911460212393427,17.0,132.0,301.0,557.0,783.0,947.0,1205.0,1333.0,1462.0,1372.0,15001
1,164719711#0,29267926,0.7554046037067161,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2,100968568,40726920#6,14.056928339834904,1.0,12.0,110.0,332.0,728.0,1242.0,1918.0,2325.0,2254.0,1812.0,15001
3,-27340254#0,-1071661242,1.3520693620649196,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
4,27806634,48996848,2.4484044769800573,449.0,1052.0,1619.0,1839.0,1993.0,1865.0,1568.0,1032.0,745.0,491.0,14185
5,105003382,-27856820#3,1.013150850468172,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
6,27318433,24392110,8.509085889987348,179.0,354.0,603.0,517.0,482.0,628.0,690.0,780.0,1018.0,1295.0,15001
7,-123974277#10,-24391388,0.8379198118362553,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
8,27921142,164719711#11,7.601895390448746,2.0,21.0,133.0,597.0,1236.0,1846.0,2141.0,2089.0,1859.0,1597.0,15001
9,-29267812#3,-27186946,19.75955676689885,1.0,0.0,4.0,66.0,317.0,745.0,1178.0,1553.0,1683.0,1766.0,15001
10,28686628#3,-1015477919,0.7741219570644693,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
11,164719711#0,-22897852#3,2.2903761768080915,3.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8
12,-224494290,128321241#2,16.705548999024273,1.0,0.0,4.0,38.0,179.0,499.0,1057.0,1643.0,1994.0,2154.0,15001
13,-102613795#1,-1122924583#3,9.405279312336605,1.0,5.0,39.0,107.0,235.0,375.0,609.0,815.0,1090.0,1244.0,15001
14,133369682,121997939#3,1.096024289095329,3.0,2.0,4.0,10.0,13.0,19.0,22.0,30.0,35.0,25.0,545
15,143415281#0,-23946407,10.130448061519278,1.0,4.0,65.0,317.0,881.0,1657.0,2049.0,2209.0,2107.0,1676.0,15001
16,-50639429,122763953#0,1.031103820787753,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
17,164719711#0,128364005,1.558943041087549,3.0,1.0,2.0,2.0,3.0,8.0,5.0,10.0,8.0,1.0,43
18,203672999#1,164719711#12,11.82555180438389,1.0,2.0,27.0,98.0,273.0,557.0,778.0,999.0,1325.0,1474.0,15001
19,43129262,50639430,1.161797294807977,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
20,-50640017,-212517335,0.8497562325125247,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
21,30966481,164719711#11,9.2679353302,115.0,713.0,1455.0,1922.0,2029.0,1815.0,1539.0,1321.0,1077.0,748.0,14432
22,543948213,27864618,1.5367581485528792,3.0,6.0,23.0,30.0,94.0,161.0,189.0,144.0,111.0,53.0,2340
23,-679458128,128321262#0,16.74643551685124,1.0,1.0,2.0,29.0,127.0,426.0,871.0,1428.0,1794.0,1989.0,15001
24,32601842,23481754#0,17.5120913140509,218.0,797.0,1094.0,1646.0,1869.0,1964.0,1611.0,1250.0,992.0,726.0,15001
25,196279823,-51036726,1.1722181634058384,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
26,32601842,74464019#2,15.373568074836072,281.0,801.0,1191.0,1650.0,1719.0,1625.0,1459.0,1267.0,1133.0,913.0,14998
27,33600916#1,76499562,12.953632229421409,1.0,11.0,65.0,304.0,745.0,1168.0,1486.0,1603.0,1520.0,1461.0,15001
28,-22897852#3,-903421712,9.001799915555893,2.0,29.0,156.0,434.0,835.0,1224.0,1693.0,1809.0,1884.0,1729.0,15001
29,-22897852#3,27896855#0,8.626825844331766,7.0,29.0,110.0,264.0,572.0,865.0,1210.0,1477.0,1760.0,1714.0,15001
30,29391219,-24391388,8.572364200938532,36.0,444.0,1049.0,1229.0,1264.0,1289.0,1233.0,1330.0,1327.0,1232.0,14962
31,123974277#6,-24391309,1.121467650368466,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
32,164752117#1,-476643770#1,8.950054701755013,56.0,437.0,908.0,1317.0,1497.0,1332.0,1110.0,996.0,914.0,820.0,14996
33,-142391300#4,680652726#7,0.8086100725845887,61.0,487.0,721.0,652.0,689.0,576.0,424.0,283.0,106.0,61.0,4091
34,572824576#0,27337101,23.654766195702447,1.0,2.0,54.0,222.0,583.0,999.0,1447.0,1679.0,1867.0,1851.0,15001
35,-478446663,-190850064,3.939155569425889,98.0,408.0,690.0,1084.0,1400.0,1526.0,1501.0,1183.0,933.0,677.0,10879
36,25699643,23914020#2,13.920855369500613,1.0,5.0,89.0,460.0,1133.0,2087.0,2489.0,2444.0,1940.0,1511.0,15001
37,43129262,-123974278,0.8990809939238047,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
38,27720828#0,25699711,4.824204414724526,63.0,203.0,373.0,516.0,1031.0,1287.0,1496.0,1531.0,1356.0,1148.0,14992
39,190062963,35302147#0-AddedOffRampEdge,9.43345040912936,215.0,1027.0,1690.0,1949.0,1966.0,1679.0,1383.0,1124.0,753.0,556.0,13339
40,-171045856#3,-26945023#7,1.5332472151012844,4.0,75.0,419.0,853.0,1153.0,1146.0,920.0,694.0,462.0,317.0,6566
41,24039913#3,190062922,0.9416220318875254,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
42,208624943#6,-190022920#0,0.9051709780841128,3.0,7.0,8.0,13.0,23.0,54.0,87.0,89.0,68.0,52.0,568
43,28686528#1,35302147#0,17.85151237508446,44.0,155.0,212.0,193.0,250.0,382.0,747.0,1119.0,1574.0,1773.0,15000
44,28769085#0,25699696#1,14.579282516225264,253.0,384.0,524.0,538.0,582.0,648.0,793.0,933.0,974.0,989.0,14887
45,168143579#4,-207516268,1.5783243979015924,14.0,78.0,256.0,596.0,935.0,995.0,861.0,654.0,412.0,296.0,5585
46,27875454#1,209669189#1,0.7728395706570148,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
