origin,destination,euclidean,nb_0.1_paths,nb_0.2_paths,nb_0.3_paths,nb_0.4_paths,nb_0.5_paths,nb_0.6_paths,nb_0.7_paths,nb_0.8_paths,nb_0.9_paths,nb_1.0_paths,nb_paths,theta
-25163955#11,-305689934#1,13.256848300933836,1.0,10.0,72.0,301.0,805.0,1626.0,2607.0,3680.0,4766.0,5806.0,10001,0.8772790940844123
49137080#0,888683700,0.6782741983108056,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,0.1328278238536212
172962794#2,491331618#4,2.0030076662363343,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,0.9015327701744343
24937323,-30030782#6,2.671857770458549,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,0.8563400817617272
-158020275#4,-80397754#8,4.976647213359722,13.0,193.0,829.0,1935.0,3370.0,4915.0,6318.0,7493.0,8307.0,8831.0,9994,0.803167725403408
549206863#0,25340253#0,1.616941061498011,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,0.5689791110924745
25157015#1,24985704#2,5.067724363074601,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,0.9348592559439248
354964366#3,-25340239#1,0.9905673244762548,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,0.2516617169072933
11655636#0-AddedOnRampEdge,466171351,4.229205573546186,312.0,1192.0,2217.0,3020.0,3718.0,4564.0,5631.0,6620.0,7362.0,7871.0,9751,0.6348133662350721
158020256#5,888683700,2.5463398770936267,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,0.9684853428851801
1017363471,888683700,1.4869856750950472,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,0.48183216026607995
354964410#0,-27202659#8,2.1568020301236377,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,0.2619058446762008
27317795#0,-30030782#6,2.0842565684066288,0.0,0.0,0.0,770.0,2977.0,4605.0,5089.0,5276.0,5349.0,5377.0,9242,0.7170949788615597
24937323,-25005050#1,2.4783446131450613,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,0.896758147136495
43024557,-94342353#13,1.789808546859299,29.0,94.0,242.0,403.0,490.0,526.0,534.0,534.0,534.0,534.0,1029,0.21913255558444902
1086284413,172496052#0,0.3156138071662226,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,0.05421608707339925
22926846#0,8169839,1.7299929658630344,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,0.2799874252864655
-27202663#2,-590598818#1,3.148225878472678,386.0,1816.0,3736.0,5240.0,6427.0,7267.0,7855.0,8303.0,8613.0,8782.0,8906,0.4546197256074054
24975582#0,354964366#3,2.51470741358945,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,0.7782803209074725
24808689#0,915828044#0,1.0105863472720211,4.0,11.0,16.0,18.0,20.0,23.0,38.0,55.0,86.0,131.0,272,0.22183812801977992
24937323,915119863#0,0.2694454356864858,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,0.042123024452108186
24695297#0,354964366#3,1.6530790873836207,8.0,42.0,156.0,445.0,1040.0,1832.0,2498.0,2997.0,3347.0,3604.0,4218,0.5297014681872991
-886571928#1,-705573917,4.913522032130915,42.0,293.0,793.0,1514.0,2478.0,3654.0,4867.0,6044.0,6997.0,7794.0,10001,0.8826810544937277
354964366#3,24578989,2.0677661135861083,38.0,262.0,735.0,1614.0,3019.0,4588.0,5682.0,6274.0,6598.0,6755.0,6891,0.6600417720714161
915828044#0,549206863#0,2.103746809947441,0.0,425.0,1720.0,3459.0,5049.0,5977.0,6472.0,6680.0,6725.0,6734.0,6735,0.7983099692304068
-705573917,-94342353#13,1.3287459486439892,2.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4,0.1499302979709984
172496052#0,-25005050#1,2.319485257296709,552.0,2865.0,5563.0,7169.0,7768.0,7892.0,7904.0,7907.0,7907.0,7907.0,7907,0.9748429646047004
305428846#1,608929071#0,3.255607053988835,158.0,839.0,2087.0,3620.0,5072.0,6296.0,7298.0,8045.0,8652.0,9131.0,9949,0.4622754162437106
24550665#0,1086284413,1.3896687951828262,2.0,3.0,7.0,17.0,31.0,43.0,60.0,78.0,96.0,119.0,194,0.3968792066996867
-94342353#13,306145142#1,3.9305730300904975,567.0,1148.0,2660.0,3879.0,4750.0,5041.0,5340.0,5481.0,5646.0,5696.0,5763,0.609012705090873
915522877#0,172496052#0,2.848658540899365,17.0,146.0,556.0,1236.0,2110.0,3017.0,3890.0,4778.0,5615.0,6327.0,8296,0.8876953425758648
-27202659#8,-80397754#8,3.353155370835289,202.0,1054.0,2406.0,3820.0,4943.0,5723.0,6267.0,6611.0,6970.0,7308.0,8238,0.40465792641555853
24937323,25340253#0,1.1991611995824285,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,0.32043599773609605
-80397754#8,24701900#3,4.47456862537492,29.0,132.0,437.0,918.0,1556.0,2432.0,3396.0,4498.0,5529.0,6474.0,9988,0.6932575415713933
225402530#1,25006730#0,9.849020876387971,17.0,304.0,1321.0,3152.0,5002.0,6520.0,7620.0,8366.0,8939.0,9343.0,10000,0.6388606119050486
22926846#0,-110575582#2,0.9461133548677492,1.0,2.0,2.0,5.0,7.0,8.0,12.0,18.0,30.0,42.0,1493,0.13743153773218017
549206863#0,915828044#0,2.4050836058907143,83.0,388.0,708.0,1374.0,2263.0,3052.0,3880.0,4797.0,5607.0,6255.0,7657,0.7983099692304068
24975582#0,915119863#0,2.6433733409551112,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,0.8374733416461975
305428846#1,202760019#6,5.440949125702854,84.0,562.0,1535.0,3001.0,4680.0,6215.0,7449.0,8332.0,8926.0,9320.0,9886,0.8812201162648697
-172962794#1,549206863#0,1.9921190850676336,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,0.900933475633764
-49773053#10,154816260#0,4.707267851233439,241.0,1357.0,3288.0,5364.0,7173.0,8352.0,9040.0,9438.0,9669.0,9798.0,9965,0.21492967018320494
24975582#0,1086284413,2.464620478845769,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,0.9779652925262936
