origin,destination,euclidean,nb_0.1_paths,nb_0.2_paths,nb_0.3_paths,nb_0.4_paths,nb_0.5_paths,nb_0.6_paths,nb_0.7_paths,nb_0.8_paths,nb_0.9_paths,nb_1.0_paths,nb_paths,theta
158020256#5,24597934#0,2.707227296332778,198.0,794.0,1772.0,2703.0,3541.0,4070.0,4306.0,4407.0,4459.0,4472.0,4476,0.9755294496025096
24695297#0,172496052#0,1.2566262407441957,2.0,4.0,19.0,32.0,54.0,88.0,131.0,157.0,187.0,233.0,448,0.38423258364187707
306145142#1,-110575582#2,4.003335211580585,22.0,120.0,358.0,781.0,1400.0,2112.0,2884.0,3603.0,4124.0,4488.0,5001,0.6687540234737354
-583703158#7,27588412#0,13.373040587972715,1.0,16.0,151.0,425.0,889.0,1470.0,2147.0,2800.0,3465.0,4014.0,5001,0.8931077675941733
23390363#0,159915363#0,1.8663349970609484,5.0,29.0,124.0,314.0,571.0,731.0,838.0,990.0,1217.0,1466.0,1951,0.23361125405736574
305428846#1,24985704#2,5.0742442179325495,130.0,833.0,1910.0,3159.0,4020.0,4435.0,4624.0,4726.0,4787.0,4829.0,4890,0.8274718645678792
202760019#6,608929071#0,3.8291689714323183,58.0,312.0,856.0,1662.0,2475.0,3219.0,3823.0,4269.0,4574.0,4742.0,4999,0.6565044674914197
159915376#2,324493318#0,4.604167420842192,114.0,381.0,725.0,1124.0,1619.0,2134.0,2669.0,3183.0,3667.0,4013.0,4989,0.692791654250856
-24844937#7,-49773053#10,3.969322335104533,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,0.20256108865523184
46201350#0,11655636#0-AddedOnRampEdge,0.6819049748249942,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,0.08024590097218547
-769920219#1,159915363#0,2.93783583638678,69.0,378.0,1010.0,1827.0,2663.0,3322.0,3870.0,4257.0,4486.0,4624.0,4760,0.44396303930075
