,origin,destination,euclidean,nb_paths,nb_0.1_paths,nb_0.2_paths,nb_0.3_paths,nb_0.4_paths,nb_0.5_paths,nb_0.6_paths,nb_0.7_paths,nb_0.8_paths,nb_0.9_paths,nb_1.0_paths
654,246809608#0,-236638982,4.00226869085686,9005,15.0,127.0,345.0,522.0,554.0,735.0,779.0,752.0,717.0,723.0
655,4059164#1-AddedOnRampEdge,284262319,6.953619406638003,5645,161.0,513.0,442.0,343.0,342.0,410.0,319.0,271.0,299.0,358.0
656,264363585#0,1005203821,9.883388338181057,10001,1.0,16.0,138.0,518.0,984.0,1274.0,1374.0,1356.0,1229.0,1003.0
657,-280020566#3,264684345,24.50150840724031,10001,1.0,0.0,14.0,78.0,293.0,690.0,1002.0,1407.0,1521.0,1495.0
658,-378950420,-264591214#2,5.009549950005926,8939,119.0,557.0,873.0,918.0,1054.0,1046.0,963.0,880.0,707.0,554.0
659,-23884768#2,264428402#0,1.366832402036675,3470,7.0,64.0,276.0,644.0,610.0,579.0,428.0,381.0,233.0,170.0
660,584191147#0,23105532,2.06134896522439,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
661,252472885#0,45198492-AddedOnRampEdge,4.263064408289769,9632,148.0,965.0,2053.0,1864.0,1396.0,1104.0,817.0,533.0,344.0,202.0
662,-55641550#11,51183235#1,0.7772101387789138,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
663,172345913,33796671,3.95285784328695,9440,209.0,268.0,265.0,215.0,185.0,262.0,502.0,701.0,857.0,844.0
664,4521129#0,931673333,9.702309796786682,10001,2.0,24.0,161.0,487.0,1093.0,1799.0,1917.0,1702.0,1123.0,752.0
665,545268461#0,236789965,8.851424484655434,10001,6.0,20.0,140.0,374.0,695.0,1206.0,1454.0,1463.0,1344.0,1065.0
666,9823960#0,273253061#0,1.911746863413127,9418,68.0,74.0,158.0,277.0,372.0,571.0,757.0,929.0,881.0,1006.0
667,4969364,-228692787,3.2255011696940654,1593,4.0,20.0,36.0,1.0,0.0,0.0,0.0,0.0,0.0,7.0
668,520623302,172410734#1,1.6278132450071896,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
669,161364982,-46270718#0,13.302592614419725,10001,1.0,7.0,75.0,346.0,794.0,1384.0,1614.0,1644.0,1445.0,1048.0
670,264617048,263984458#0,1.1705914094678576,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
671,199418330#1,274572887-AddedOnRampEdge,1.5242156638905109,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
672,95111031,100966855,20.88809562022474,10001,1.0,0.0,13.0,111.0,367.0,669.0,792.0,872.0,734.0,676.0
673,-24317966#7,329347634,24.165204702115982,10001,1.0,28.0,254.0,640.0,1100.0,1222.0,968.0,696.0,661.0,582.0
674,49806848#0,4013161,8.809813804611434,7843,855.0,1942.0,1075.0,691.0,508.0,376.0,379.0,303.0,195.0,115.0
675,28875585#0,113752524#1,1.854399451285225,2843,22.0,60.0,130.0,239.0,230.0,255.0,320.0,363.0,318.0,269.0
676,285268614#0,1051205981,9.832374176072998,10001,14.0,174.0,447.0,593.0,451.0,432.0,701.0,1093.0,1286.0,1190.0
677,-263534865,267264315#0,1.3908112334633849,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
678,-23126064,154231280,2.604717721332351,2583,30.0,125.0,228.0,394.0,570.0,521.0,383.0,201.0,72.0,45.0
679,378950432,22735149#4,13.407246201600836,10001,1.0,3.0,57.0,281.0,706.0,1199.0,1438.0,1467.0,1344.0,1124.0
680,274919595-AddedOnRampEdge,303315580,1.1536737304729208,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
681,25802990#0,1051205981,22.190392855578803,10001,1.0,7.0,86.0,374.0,567.0,882.0,1096.0,1133.0,1124.0,1055.0
682,1086753709,243051430#0,0.649444004171554,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
683,442540042#0,43071900,0.9637951751029962,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
684,-43760376,196204277#1,2.037358361187122,579,3.0,2.0,12.0,20.0,29.0,51.0,59.0,91.0,73.0,50.0
685,329347624,1051205980#0,23.5906214175984,10001,1.0,3.0,60.0,239.0,601.0,962.0,1339.0,1653.0,1579.0,1325.0
686,-33782335#3,58424650-AddedOffRampEdge,1.2807860923764147,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
687,45774385#0,-81130465#1,10.2434074824582,9993,3.0,68.0,338.0,751.0,1102.0,1200.0,1014.0,866.0,713.0,620.0
688,4968774,623182790#4,1.7013158485306783,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
689,26923056#0,-24643337#2,2.1896380230444064,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
690,-77767390#1,353002775#0,1.248531085109479,36,4.0,0.0,1.0,10.0,2.0,5.0,3.0,3.0,2.0,6.0
691,379874714,155617358,1.8739234042642,4105,119.0,371.0,509.0,512.0,394.0,243.0,161.0,107.0,107.0,68.0
692,44307994#0,1051205980#0,20.47119046621204,10001,1.0,19.0,249.0,469.0,717.0,935.0,1079.0,1127.0,980.0,923.0
693,39894343#0,23259291#0,3.702857075489418,9754,84.0,363.0,892.0,1404.0,1554.0,1320.0,1115.0,819.0,650.0,459.0
694,4968774,248637521#1,2.271248337524288,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
695,264333622#0,264776935#0,2.105747514660035,8886,77.0,309.0,756.0,1125.0,1271.0,1231.0,1106.0,943.0,728.0,543.0
696,-31057718#2,134012768#1,2.096434536390197,4641,4.0,21.0,104.0,196.0,598.0,1060.0,702.0,803.0,512.0,309.0
697,196204263#0,-22735149#4,4.361371599919545,9889,200.0,1045.0,1662.0,1463.0,1054.0,858.0,771.0,625.0,458.0,401.0
698,243644955#1,45245532#0,1.559478758710429,3432,6.0,9.0,23.0,30.0,29.0,38.0,106.0,176.0,351.0,319.0
699,350878472,29026050#5,3.575364256261487,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
700,161786108#0,23815295#0,1.95940668784872,9928,284.0,718.0,1270.0,1578.0,1783.0,1552.0,1119.0,701.0,436.0,232.0
701,-45336715#5,189333224#1,20.930365347073693,10001,1.0,1.0,34.0,233.0,617.0,882.0,852.0,794.0,583.0,534.0
702,122562099,25301399,0.96830542498488,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
703,29026703#1,340151700#0,2.507065606848827,7836,9.0,97.0,358.0,740.0,638.0,532.0,645.0,1014.0,1095.0,938.0
704,169015350#7,624242875,23.2589587216606,10001,1.0,0.0,21.0,194.0,706.0,1391.0,1635.0,1585.0,1416.0,1107.0
705,49810378#5,267237018,2.6485556616714065,6024,153.0,406.0,754.0,824.0,777.0,816.0,689.0,641.0,457.0,269.0
706,23396423#0,266130216,1.832226385429324,2968,27.0,98.0,314.0,588.0,719.0,544.0,315.0,191.0,88.0,37.0
707,75538648#2,30337183#1,21.062094375932187,10001,1.0,1.0,7.0,95.0,445.0,958.0,1368.0,1424.0,1263.0,1015.0
708,275322688#0,-4861589#2,0.7944256688072182,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
709,195987489#0,203301204#2,12.509490987032574,10001,3.0,47.0,155.0,509.0,1053.0,1465.0,1650.0,1368.0,971.0,813.0
710,252006890#0,-134017542,2.523189501234503,6450,6.0,14.0,42.0,107.0,181.0,244.0,360.0,509.0,546.0,634.0
711,-172431730,329347634,22.997797762928112,10000,1.0,0.0,128.0,559.0,1118.0,1139.0,938.0,688.0,590.0,511.0
712,-45774385#2,172431735#0,20.47903583119884,10001,1.0,2.0,32.0,187.0,510.0,754.0,896.0,793.0,723.0,672.0
713,336658009#2,336658021#0,1.651132317442041,211,4.0,9.0,33.0,61.0,71.0,30.0,3.0,0.0,0.0,0.0
714,-30636647#9,-59310707,7.526673955110401,9618,305.0,1804.0,2240.0,1966.0,1181.0,810.0,598.0,412.0,198.0,81.0
715,340443775#5,942307526,2.9066504822774344,9946,23.0,106.0,229.0,412.0,547.0,784.0,797.0,946.0,957.0,985.0
716,-191971490#1,-191971495#3,2.8890943019210384,4070,47.0,156.0,263.0,467.0,486.0,575.0,588.0,473.0,336.0,292.0
717,24973031#7,4520379#0,10.918570793514816,10001,11.0,124.0,360.0,595.0,795.0,877.0,899.0,862.0,873.0,850.0
718,274572882,-442465068#1,1.9589088914102888,4,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
719,244564998,43760376,1.2658080685672803,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
720,424190057,100966864#0,1.8475934799683489,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
721,976302760,168734379#0,17.69507100891481,10001,3.0,155.0,490.0,1041.0,1123.0,1008.0,950.0,851.0,785.0,748.0
722,272126321#0,148958918#0,12.971122014698617,10001,1.0,2.0,19.0,115.0,287.0,592.0,978.0,1299.0,1474.0,1411.0
723,-967094042#1,166257412,2.2965365077344813,5854,15.0,65.0,66.0,371.0,686.0,859.0,866.0,532.0,430.0,406.0
724,668139707,722583957,20.61673748775949,10001,1.0,11.0,438.0,2162.0,3339.0,2384.0,1128.0,395.0,114.0,24.0
725,268558651,188692815#0,12.668337437962778,10001,1.0,28.0,187.0,396.0,569.0,641.0,734.0,928.0,1114.0,1123.0
726,25558032#1,-148958918#3,19.70222375874638,9983,1.0,6.0,173.0,734.0,1097.0,1074.0,939.0,738.0,530.0,435.0
727,145123632#3,185096698,2.528271982262297,8065,67.0,324.0,798.0,1085.0,1049.0,1101.0,1141.0,990.0,650.0,379.0
728,-23659988#1,-78009546#0,0.8360005085304779,20,0.0,0.0,0.0,2.0,1.0,5.0,2.0,6.0,2.0,2.0
729,1000070951,246809622#0,9.675472030255564,9998,8.0,120.0,435.0,835.0,1040.0,1102.0,1064.0,1131.0,1138.0,987.0
730,267459409,329347634,12.914364585956438,10001,2.0,110.0,506.0,992.0,1101.0,1158.0,1113.0,1119.0,945.0,822.0
731,-751637804#1,269381550,1.5386728293986878,2155,16.0,84.0,141.0,274.0,429.0,516.0,336.0,205.0,111.0,39.0
732,1014285885#0,274929579,10.2699081876052,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
733,-48611945#4,285960607,0.7716542913450805,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
734,668139707,248054794,10.804681034286958,9988,10.0,166.0,995.0,2069.0,2144.0,1921.0,1367.0,784.0,354.0,138.0
735,24545700,196664109#0,3.928981650587298,8200,5.0,31.0,317.0,913.0,1121.0,1355.0,1395.0,1177.0,823.0,361.0
736,-143380475#1,-27676194,1.2931966742724132,2483,8.0,47.0,45.0,141.0,179.0,149.0,295.0,273.0,338.0,275.0
737,-172431733,-167107651#5,1.459661999011054,563,13.0,43.0,142.0,179.0,123.0,54.0,6.0,3.0,0.0,0.0
738,4969364,1051205981,15.787549744514893,9808,51.0,128.0,235.0,344.0,587.0,1007.0,1348.0,1484.0,1440.0,1101.0
739,396874142#0,-280661220#2,11.336347662767128,10001,205.0,751.0,801.0,847.0,720.0,844.0,976.0,1043.0,1039.0,863.0
740,-211314858#0,305541272#4-AddedOffRampEdge,1.2497803659963107,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
741,78825081#0,370628335,1.7698289841816968,4733,3.0,8.0,28.0,108.0,110.0,42.0,10.0,1.0,71.0,523.0
742,353012716,266669650,1.0843110387942765,40,7.0,8.0,8.0,13.0,4.0,0.0,0.0,0.0,0.0,0.0
743,44157788#2,565324120#9,2.3826542983246632,6509,63.0,279.0,646.0,1208.0,1238.0,1068.0,723.0,526.0,296.0,174.0
744,30337183#1,329347640,24.344076809655647,9992,20.0,202.0,490.0,829.0,1080.0,1164.0,1089.0,956.0,814.0,623.0
745,26603867#0,23231684,17.707527743489194,10001,1.0,0.0,22.0,279.0,858.0,1554.0,1908.0,1810.0,1447.0,982.0
746,52026998,1051205981,22.32445886575197,10001,1.0,3.0,95.0,332.0,551.0,933.0,1128.0,1148.0,1207.0,1123.0
747,379059897#0,41731945,2.5629727576254275,6523,245.0,591.0,932.0,1088.0,907.0,723.0,552.0,541.0,428.0,272.0
748,-236789965,4836538,1.79660055093147,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
749,-196208751#0,169770011#2,2.383235476236218,6164,150.0,765.0,611.0,679.0,658.0,658.0,571.0,555.0,485.0,348.0
750,-203091603#1,365570700,2.354819846867501,2056,4.0,5.0,14.0,25.0,32.0,78.0,86.0,115.0,139.0,167.0
751,44157788#5,338331681#0,11.187113167828088,10001,13.0,128.0,577.0,1352.0,1813.0,1848.0,1495.0,1035.0,693.0,422.0
752,-39894345#5,-27655376#0,2.594683766471078,7596,55.0,196.0,356.0,459.0,447.0,624.0,954.0,992.0,796.0,658.0
753,912309235,1000342580#0,0.9639873658886254,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
754,25765201#1,1111585547,2.416189286531753,3798,138.0,188.0,258.0,295.0,209.0,214.0,232.0,266.0,236.0,191.0
755,-271103557#1,1005203821,4.279164652879643,9415,74.0,261.0,548.0,960.0,1185.0,1343.0,1204.0,1153.0,838.0,594.0
756,329347624,-78009545#2,3.1929337976347494,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
757,25802994,4861404,1.7523506062826923,18,2.0,3.0,3.0,6.0,4.0,0.0,0.0,0.0,0.0,0.0
758,1086753710,172410734#5,1.1544376462919566,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
759,-249590546#3,940470883#0,10.43859159264978,10001,2.0,44.0,393.0,883.0,1083.0,1043.0,1028.0,1046.0,1049.0,956.0
760,900439226,84553066#1,7.423334937902624,6454,120.0,362.0,360.0,452.0,358.0,485.0,646.0,860.0,613.0,466.0
761,218120986,-29262262#2,14.49981126844792,10001,1.0,0.0,3.0,41.0,206.0,609.0,1216.0,1668.0,1800.0,1517.0
762,23126064,329347640,1.802470404685062,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
763,-167107633#7,33797546#1,4.0387522324485525,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
764,32060855,-243051430#0,0.7714352260208175,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
765,-51729292,25941409#0,1.3087959562977762,209,4.0,8.0,8.0,7.0,6.0,18.0,19.0,15.0,20.0,17.0
766,31771703,53536957#0,1.2342917038119368,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
767,-1053273107#1,397321889#0,4.041315815112402,9796,147.0,332.0,554.0,765.0,810.0,866.0,834.0,897.0,959.0,974.0
768,38893161,274928869-AddedOnRampEdge,1.6833963322558527,3,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
769,111507178#0,201671808#1,1.2170283879153732,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
770,-44157795#7,4860774,4.794876043854737,8654,171.0,659.0,1021.0,1110.0,1056.0,1504.0,775.0,404.0,338.0,223.0
771,-577584841,26624965,1.6392718987917816,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
772,25802990#0,13076786#0,24.093182530284395,9999,1.0,16.0,192.0,685.0,1069.0,1189.0,1185.0,1225.0,1199.0,899.0
773,-499699506#0,350878471,1.7848824381223225,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
774,28901011#0,-267219954#1,3.2460601514902843,9565,287.0,596.0,757.0,967.0,904.0,769.0,668.0,723.0,701.0,618.0
775,240181965#0,168044212#0,3.492707337210787,6512,152.0,974.0,1371.0,1109.0,840.0,678.0,565.0,419.0,203.0,117.0
776,240181965#0,-44308005#0,1.2659872002891164,933,3.0,1.0,16.0,27.0,49.0,91.0,96.0,119.0,78.0,19.0
777,1071630933,58865442#0,1.0880729968510137,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
778,46741679#0,172431730,16.881738260391653,10001,1.0,2.0,45.0,301.0,830.0,1172.0,1170.0,1129.0,1024.0,928.0
779,211285108#0,14580735#0,2.20898117351944,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
780,-145127850#4,114333620#0,2.5031121909060405,7021,90.0,353.0,540.0,565.0,656.0,890.0,1026.0,945.0,733.0,442.0
781,391880682#0,-266669651,1.0255288839382235,2360,39.0,157.0,228.0,406.0,368.0,423.0,277.0,211.0,109.0,93.0
782,41427658#0,658279899,4.737217767417144,7229,20.0,134.0,355.0,635.0,819.0,851.0,799.0,702.0,607.0,542.0
783,264763342#0,565727007#3,11.597992179086347,10001,6.0,56.0,249.0,519.0,757.0,793.0,933.0,1024.0,1261.0,1262.0
784,668139707,274803756,18.71747835549946,9999,1.0,75.0,298.0,642.0,1077.0,1238.0,1314.0,1262.0,1019.0,832.0
785,-353022078#0,1051205980#0,22.77457040589899,10001,1.0,4.0,112.0,411.0,744.0,1134.0,1374.0,1442.0,1337.0,1043.0
786,1022982875,204902851,5.154110586099535,8290,13.0,82.0,384.0,792.0,1456.0,1817.0,1672.0,1125.0,520.0,245.0
787,29026703#1,340000796#0,3.5603329020199963,9507,295.0,1132.0,1497.0,1364.0,1107.0,1018.0,930.0,708.0,525.0,338.0
788,370582333#9,1034296967#0,0.968765546581618,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
789,266117330#0,23300767,2.090420433142451,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
790,424190058,172431730,1.452859121570482,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
791,29262260,1051205980#0,18.83073041618123,10001,1.0,2.0,26.0,133.0,309.0,494.0,836.0,1278.0,1487.0,1515.0
792,264287859,-264588964#1,2.962755376609499,9840,35.0,110.0,281.0,402.0,518.0,617.0,815.0,998.0,1094.0,1102.0
793,-280020566#6,335067365#1,3.256730883459784,8356,81.0,159.0,422.0,473.0,413.0,369.0,316.0,341.0,381.0,364.0
794,4969364,-44124733#0,7.677881230253939,5158,187.0,892.0,1335.0,1239.0,775.0,414.0,168.0,78.0,43.0,19.0
795,353017350,24754163#0-AddedOnRampEdge,0.4157804751600106,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
796,77767390#0,-236789965,21.92527747013397,10001,1.0,3.0,57.0,178.0,452.0,1209.0,1871.0,1948.0,1452.0,1034.0
797,-431711277,280020566#10,1.4034240625943375,1918,14.0,44.0,123.0,256.0,347.0,338.0,311.0,216.0,151.0,71.0
798,394316203,-172410734#1,1.7500457242446574,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
799,180534094#1,116051208,2.465747471611681,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
800,78250947#0,277547395,2.2497592784989835,2801,179.0,367.0,472.0,476.0,347.0,214.0,124.0,86.0,102.0,142.0
801,439079660,172927149#0,10.284563823818536,10001,1.0,67.0,423.0,929.0,1210.0,1304.0,1146.0,1092.0,843.0,659.0
802,4059164#0,-1028638193,0.7403588282893333,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
803,329347631,370411957#0,6.009130342621175,8769,297.0,1636.0,2151.0,1689.0,979.0,559.0,326.0,277.0,235.0,184.0
804,-264284773#2,-23263504#1,0.9603248498175598,1500,85.0,72.0,161.0,128.0,184.0,141.0,170.0,150.0,119.0,108.0
805,45336756,269577835,5.127683773540116,9419,28.0,237.0,720.0,1150.0,1340.0,1297.0,1172.0,1005.0,802.0,559.0
806,-45336731,-39894343#1,1.285837081391353,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
807,668139707,34696886#0,10.562142016348272,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
808,133644915#0,250328447,20.35328597233369,10001,1.0,5.0,94.0,380.0,719.0,1060.0,1275.0,1335.0,1342.0,1170.0
809,-378950413#1,31053097#10,1.308995073053866,6,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
810,25802990#0,49077114,1.2161063883477186,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
811,-145123632#4,49808633#4,1.0203854366278535,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
812,1106797686,329347629,2.9710567256802194,1040,1.0,0.0,1.0,1.0,3.0,11.0,23.0,30.0,27.0,39.0
813,4857582,247323432#0,6.815921587220704,10001,1.0,29.0,106.0,248.0,403.0,526.0,660.0,846.0,1014.0,1194.0
814,4969364,24349028#0,14.723524427592285,10001,3.0,106.0,593.0,1204.0,1548.0,1571.0,1367.0,1153.0,901.0,611.0
815,274926582-AddedOffRampEdge,24389882#0,0.6048107217015741,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
816,120066566,-373912913,1.2078731820528048,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
817,23227363#0,146658379#0,3.416907326963174,9999,17.0,131.0,391.0,663.0,962.0,1079.0,1216.0,1114.0,997.0,846.0
818,302896159#0,270551078#0,1.313313734464418,3068,7.0,31.0,89.0,213.0,341.0,360.0,389.0,321.0,323.0,277.0
819,-33421760#2,699702668#1,8.973254496538992,8869,59.0,519.0,457.0,350.0,679.0,618.0,550.0,532.0,554.0,709.0
820,28336495#0,148902020#2,1.7502909115254088,5400,36.0,56.0,53.0,99.0,130.0,196.0,257.0,326.0,410.0,631.0
821,39403004,-43073118#1,3.615707420930216,7574,218.0,749.0,1603.0,1888.0,1210.0,572.0,395.0,328.0,283.0,164.0
822,668139707,-154231289#2,4.391939331828249,960,1.0,2.0,1.0,0.0,0.0,14.0,24.0,48.0,69.0,89.0
823,668139707,44572125#0,5.923427465356863,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
824,50306071#5,350878471,11.600968744412766,8362,3.0,55.0,236.0,592.0,853.0,1106.0,939.0,808.0,669.0,536.0
825,329347631,15969940#4,3.5003487594563274,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
826,386676734,203671036#0,3.399317307840953,4238,0.0,14.0,71.0,272.0,744.0,774.0,394.0,357.0,492.0,431.0
827,49825045,-93933759#4,1.472247296636862,2308,8.0,9.0,22.0,54.0,73.0,169.0,181.0,299.0,319.0,308.0
828,204910483#0,4683936,10.324790990865033,10001,1.0,11.0,92.0,392.0,770.0,1042.0,1061.0,999.0,867.0,784.0
829,329347625#0,-302024346#3,3.4026749823343576,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
830,-189145628#5,-78825081#10,1.047421561635824,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
831,-172431710#2,33797546#0,3.5069781616001383,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
832,-263347690#2,-34761282#3,16.506948252342045,10001,1.0,10.0,172.0,656.0,1068.0,1199.0,1225.0,1260.0,1263.0,1134.0
833,52118696,330209041,2.663710997726948,3568,18.0,93.0,109.0,251.0,283.0,342.0,345.0,402.0,378.0,379.0
834,158013167#0-AddedOnRampEdge,319629444#0,1.2549166842113102,17,1.0,1.0,0.0,0.0,3.0,3.0,5.0,4.0,0.0,0.0
835,-378950433#3,84811914,2.2046491894950773,7910,151.0,539.0,905.0,1111.0,1224.0,1219.0,981.0,729.0,433.0,287.0
836,25245894,52835940#1-AddedOnRampEdge,9.344113120814454,9837,4.0,63.0,258.0,572.0,940.0,1266.0,1317.0,1165.0,1088.0,913.0
837,-663713792#3,849448259,7.236446514745473,8724,533.0,1329.0,1910.0,1750.0,1256.0,884.0,534.0,274.0,164.0,65.0
838,178942074#0,274928866,3.2531356300923866,876,2.0,3.0,2.0,3.0,4.0,16.0,19.0,13.0,55.0,33.0
839,283832372,-623182790#2,19.246678851718823,10001,1.0,5.0,84.0,420.0,1056.0,1423.0,1628.0,1507.0,1251.0,920.0
840,-1092670891,180534094#1,11.517563219238314,10001,1.0,24.0,201.0,517.0,860.0,983.0,1144.0,1330.0,1382.0,1205.0
841,236827529,-293695573#1,1.1419788050120383,392,6.0,7.0,12.0,43.0,39.0,29.0,39.0,32.0,24.0,33.0
842,-353017627,24009213,2.3138802659581663,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
843,575728051,-210627752,21.107800701051733,10001,1.0,1.0,17.0,109.0,358.0,909.0,1401.0,1498.0,1409.0,1212.0
844,-145038651#3,141331298,2.3542245003619424,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
845,668139707,639995660#0,14.142551733982335,8592,50.0,473.0,997.0,1047.0,909.0,834.0,825.0,650.0,476.0,305.0
846,30337183#1,-243051430#2,3.50944773201005,9638,367.0,1593.0,3191.0,1814.0,636.0,183.0,82.0,210.0,644.0,536.0
847,-172410725#0,472413854#0,1.0972846508306129,90,16.0,1.0,22.0,12.0,14.0,1.0,5.0,10.0,2.0,7.0
848,-39894345#3,56141410,1.1474495152213324,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
849,-45336715#1,24545700,0.8449199357353635,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
850,49810378#5,-81130439#3,1.2022794471553893,638,10.0,22.0,25.0,34.0,56.0,64.0,108.0,110.0,74.0,60.0
851,248637520,203301211#0,2.9109417760693987,7116,581.0,1609.0,1127.0,1341.0,1167.0,559.0,411.0,175.0,97.0,26.0
852,378465226#0,34760911,4.714127574572802,9563,801.0,2612.0,3300.0,1589.0,618.0,332.0,214.0,75.0,21.0,1.0
853,668139707,-340151721#0,5.984477844403927,6923,341.0,1630.0,744.0,1162.0,783.0,463.0,357.0,278.0,273.0,254.0
854,43760386,246809622#0,10.710229077167542,10001,2.0,56.0,394.0,864.0,1125.0,1306.0,1237.0,1250.0,1137.0,917.0
855,28901803#1,185100058,2.7264212176552656,9019,634.0,1131.0,1494.0,1498.0,1082.0,714.0,496.0,646.0,566.0,388.0
856,49810378#6,30637272,2.1352422919795475,4510,29.0,181.0,311.0,521.0,562.0,581.0,460.0,277.0,269.0,239.0
857,22929821#0,1051205980#0,10.79984400923892,10001,7.0,128.0,360.0,545.0,532.0,471.0,620.0,1010.0,1234.0,1331.0
858,-353018598,190029467#0,2.0728858036653617,5689,9.0,11.0,104.0,206.0,370.0,415.0,348.0,337.0,486.0,769.0
859,266590590#0,166257413#1,13.48676605656426,10001,1.0,0.0,4.0,78.0,349.0,772.0,1126.0,1371.0,1355.0,1303.0
860,27879362#0,942307531#0,0.7020241230985811,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
861,189145628#0,-577584841,19.88082688860393,10001,1.0,3.0,74.0,304.0,546.0,919.0,1101.0,1249.0,1361.0,1341.0
862,52026998,172431733,23.61591850576332,10001,1.0,0.0,16.0,165.0,521.0,990.0,1241.0,1435.0,1330.0,1204.0
863,456107645,-832193661#2,2.946483537102668,1406,9.0,26.0,79.0,32.0,140.0,429.0,399.0,232.0,58.0,2.0
