,origin,destination,euclidean,nb_paths,nb_0.1_paths,nb_0.2_paths,nb_0.3_paths,nb_0.4_paths,nb_0.5_paths,nb_0.6_paths,nb_0.7_paths,nb_0.8_paths,nb_0.9_paths,nb_1.0_paths
509,52026998,-259714471#0,3.4370610588063384,6447,6.0,21.0,85.0,184.0,339.0,462.0,511.0,658.0,614.0,676.0
510,52026998,703831244,2.25612911798939,2813,3.0,2.0,13.0,27.0,35.0,56.0,195.0,237.0,189.0,121.0
511,85864384,277565888,1.9176609728483005,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
512,-25802990#4,-259714471#2,2.287529697109504,3336,2.0,8.0,11.0,31.0,67.0,104.0,177.0,195.0,258.0,350.0
513,-1040768490,156888736#6,4.095794357669483,9689,44.0,269.0,501.0,639.0,705.0,679.0,713.0,695.0,823.0,680.0
514,329347624,373179925,4.651519110497663,4837,91.0,246.0,545.0,601.0,487.0,643.0,539.0,323.0,271.0,242.0
515,211285108#0,45831503#1,1.8012068143856486,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
516,51183235#3,93724456#5,1.062968713565766,418,12.0,16.0,23.0,29.0,54.0,62.0,46.0,29.0,38.0,27.0
517,111599181,-166636453#3,1.2791517075982175,456,20.0,47.0,111.0,118.0,95.0,46.0,19.0,0.0,0.0,0.0
518,294556832#1,274919606,1.4404720859074374,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
519,16736173,283811532#3,1.1406062670880337,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
520,378950435#0,144277522,3.631095172816286,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
521,891174715,-243051430#0,3.744780943813091,6660,225.0,1314.0,1700.0,1250.0,426.0,110.0,86.0,249.0,472.0,476.0
522,257917686#1,24490288,2.6062411636084715,4456,4.0,21.0,48.0,149.0,318.0,402.0,686.0,690.0,638.0,631.0
