,origin,destination,euclidean,nb_0.1_paths,nb_0.2_paths,nb_0.3_paths,nb_0.4_paths,nb_0.5_paths,nb_0.6_paths,nb_0.7_paths,nb_0.8_paths,nb_0.9_paths,nb_1.0_paths,nb_paths
684,-411451801#1,-557015628#2,3.805402316607502,17.0,1228.0,2817.0,2867.0,1869.0,1021.0,364.0,121.0,30.0,7.0,10343
685,472063000#0,28235863#3,5.606868976280643,95.0,298.0,815.0,1303.0,1932.0,2239.0,2072.0,1750.0,1456.0,1057.0,14940
686,348439788#0,183329870#0,2.4840233025480587,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
687,26183143#0,674283388#1,1.765815255866407,1.0,0.0,7.0,6.0,12.0,12.0,18.0,25.0,16.0,15.0,145
688,30095664-AddedOnRampEdge,27623929#2-AddedOnRampEdge,4.413770486722324,0.0,0.0,0.0,47.0,233.0,488.0,1298.0,2059.0,1935.0,1518.0,9124
689,-208249143#0,92413093,9.998553108855056,24.0,154.0,467.0,971.0,1432.0,1747.0,1730.0,1555.0,1422.0,1287.0,15001
690,29072306#0,599226364,1.8903986298560227,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
691,734002870#0,954656275,1.624520844026926,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
692,-194210642#3,30429412,1.6680008804233606,10.0,36.0,53.0,106.0,138.0,201.0,187.0,112.0,57.0,10.0,914
693,133750975,29072306#0,1.9090704051588032,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
694,-49773052#1,92413093,1.5847806532218192,4.0,3.0,14.0,27.0,21.0,41.0,53.0,59.0,41.0,68.0,661
695,652731596#0,8055217#3,14.049629888523627,23.0,387.0,1735.0,3351.0,3433.0,2497.0,1562.0,890.0,554.0,315.0,15001
696,-168436709,184276199,8.212791579965653,51.0,427.0,968.0,1300.0,1444.0,1472.0,1639.0,1718.0,1515.0,1368.0,15000
697,25314977,184612851,7.505839824241264,271.0,867.0,1219.0,1464.0,1570.0,1761.0,1704.0,1500.0,1143.0,1029.0,14501
698,24579918#4,-28170096#1,1.9777087014152064,8.0,25.0,7.0,119.0,153.0,338.0,443.0,520.0,524.0,440.0,3290
699,352150498#0,-27366829#8,1.6574280783701911,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
700,582044574#22,28170084#0,2.006523278542189,101.0,307.0,399.0,368.0,319.0,400.0,493.0,431.0,295.0,188.0,3888
701,172547963#0,202760028#0,2.659322664348504,21.0,50.0,151.0,248.0,410.0,507.0,609.0,373.0,246.0,130.0,2949
702,27647149#4,27623929#2,2.297756673303857,11.0,12.0,30.0,35.0,66.0,65.0,112.0,211.0,243.0,406.0,3758
703,25006294#0,27623929#2-AddedOnRampEdge,5.8635755824931,196.0,876.0,1275.0,1830.0,2062.0,1950.0,1639.0,1356.0,1012.0,790.0,14962
704,642888620#0,413041610#0,4.614252217640497,463.0,1708.0,2619.0,2570.0,2054.0,1545.0,1013.0,553.0,277.0,144.0,13064
705,-203573844#1,-614451708,1.609834202478924,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
706,199728991#1,27623929#2,3.67218436155235,0.0,114.0,302.0,355.0,1369.0,1438.0,593.0,75.0,0.0,0.0,4246
707,1086865540,24696981#0,10.930007244810527,5.0,88.0,464.0,1010.0,1304.0,1526.0,1340.0,1257.0,1114.0,1034.0,15001
708,843932181#0,37616074,12.605897743364714,2.0,165.0,945.0,1995.0,2374.0,2211.0,1923.0,1484.0,1094.0,794.0,15001
709,29189452#0,425366256,4.905297896892316,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
710,561074654#0,42679013#1,3.146298790616178,4.0,13.0,29.0,139.0,285.0,423.0,319.0,28.0,3.0,0.0,1243
711,-25314493#2,280808419#0,1.9331473208723613,2.0,1.0,1.0,7.0,10.0,15.0,26.0,27.0,39.0,47.0,423
712,1124431851,319752146#3,1.7539004326689331,4.0,14.0,82.0,72.0,158.0,283.0,313.0,255.0,212.0,178.0,2314
713,91873559#2,589896784,10.745304263567416,2.0,59.0,476.0,1391.0,2240.0,2657.0,2534.0,2074.0,1360.0,912.0,15001
714,-224928159,44779234#5,1.9407128413466337,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
715,-168436709,-27647145#4,9.35209254970058,22.0,281.0,987.0,2121.0,2465.0,2348.0,1957.0,1614.0,1249.0,777.0,15001
716,25315120#0,43138033#1,5.223213987864588,369.0,728.0,715.0,1597.0,1528.0,1931.0,1757.0,1491.0,1216.0,832.0,13270
717,-654158421,27023046,1.8430723537327127,21.0,33.0,14.0,1.0,19.0,27.0,5.0,0.0,8.0,2.0,130
718,-154797088#9,319752150,10.152914730641092,36.0,177.0,482.0,701.0,1046.0,1302.0,1548.0,1573.0,1441.0,1251.0,15001
719,-658421304,-24854660#0,5.598005791847901,148.0,1025.0,1545.0,2175.0,2147.0,2455.0,1417.0,681.0,290.0,115.0,12086
720,-42246096,23005128#0,3.302751161761061,8.0,6.0,18.0,112.0,250.0,275.0,350.0,479.0,633.0,659.0,4420
721,-42246096,24854810#0,2.1975867600005263,10.0,10.0,18.0,8.0,2.0,2.0,6.0,8.0,3.0,4.0,71
722,27606771#2,954656278,2.565180061752006,12.0,17.0,73.0,118.0,128.0,240.0,220.0,317.0,395.0,382.0,3663
723,181200686#0-AddedOnRampEdge,425366256,4.091056512507584,8.0,0.0,15.0,11.0,11.0,2.0,42.0,23.0,89.0,113.0,459
724,-593761442#10,27623929#2,2.191941993125704,2.0,4.0,6.0,16.0,21.0,35.0,83.0,130.0,247.0,312.0,3090
725,-162228161,-42679977#0,1.1722811642884008,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
726,635696678,-42246096,6.907544467670225,190.0,382.0,587.0,826.0,1035.0,1397.0,1590.0,1640.0,1458.0,1410.0,14980
727,-228113970,27366824#0,3.054459926016172,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
728,-37616075#2,-26897771#3,3.013487720060192,0.0,18.0,301.0,1152.0,1519.0,1082.0,600.0,201.0,30.0,6.0,4910
729,431300073,29420593#2,9.474174168675376,4.0,164.0,740.0,1504.0,1911.0,2367.0,2256.0,1870.0,1475.0,1038.0,15001
730,-615563686#6,-205385764#0,11.305729071386631,7.0,146.0,826.0,1687.0,2360.0,2485.0,2222.0,1678.0,1300.0,866.0,15001
731,-29072306#1,599226364,2.104473342343633,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
732,28534337,37616075#0,4.563475449970568,505.0,1520.0,1776.0,1952.0,2009.0,1719.0,1351.0,977.0,602.0,361.0,13166
733,-571195848#3,172674877,13.86551572811567,3.0,65.0,365.0,1056.0,1807.0,2133.0,2081.0,1811.0,1580.0,1327.0,15001
734,590848307#0,-168436709,4.28879008535399,34.0,178.0,337.0,603.0,1105.0,1372.0,1622.0,1189.0,676.0,285.0,7638
735,1051171674,172621652#4,1.935927778040994,1.0,1.0,2.0,2.0,1.0,2.0,6.0,11.0,18.0,23.0,1168
736,272552029,42246097-AddedOnRampEdge,2.4255384897328525,30.0,148.0,384.0,471.0,506.0,689.0,577.0,471.0,377.0,279.0,4327
737,-172945845#5,-465272566#1,3.1997412791915627,13.0,45.0,50.0,42.0,108.0,157.0,184.0,288.0,257.0,230.0,3681
738,-190735673#3,27123047,4.942477691804041,239.0,680.0,1399.0,2126.0,2001.0,1785.0,1593.0,1213.0,872.0,621.0,13235
739,-184276190#1,25164982#0,10.268937961153616,39.0,269.0,596.0,883.0,1062.0,1258.0,1376.0,1469.0,1532.0,1390.0,15001
740,-658442405,843932181#0,2.124960379741129,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
741,103638682,267258078#0,2.414163409826008,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,27.0,241
742,30095664-AddedOnRampEdge,348439788#0,15.012955648566273,3.0,280.0,1175.0,2162.0,2394.0,2142.0,1866.0,1613.0,1248.0,901.0,15001
743,184612844,24854764,1.6957981514329168,2.0,3.0,5.0,30.0,85.0,164.0,251.0,261.0,205.0,120.0,1279
744,27623939#0,-964072140#2,1.999249672873581,60.0,48.0,119.0,103.0,76.0,231.0,398.0,396.0,448.0,413.0,3302
745,49773052#0,181580237#0,2.220919062639408,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
746,154797088#7,843932181#0,2.142421419835356,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
747,26682439,-42246096,9.97391839771319,13.0,188.0,1118.0,2573.0,3412.0,3066.0,2154.0,1187.0,635.0,345.0,15001
748,26682439,622847969#2,5.277709521930406,442.0,1431.0,2252.0,2716.0,2399.0,1919.0,1442.0,941.0,586.0,361.0,14924
